,STATE_NAME,DISTRICT,Centroid
499,Rajasthan,AJMER,POINT (74.77516654103503 26.228584894840047)
500,Rajasthan,ALWAR,POINT (76.6060217401318 27.590115352404652)
501,Rajasthan,BANSWARA,POINT (74.36390236637854 23.47396524968025)
502,Rajasthan,BARAN,POINT (76.75659048953375 24.9939066194516)
503,Rajasthan,BARMER,POINT (71.47326823032721 25.734289755481313)
504,Rajasthan,BHARATPUR,POINT (77.2788276384333 27.244307920408726)
505,Rajasthan,BHILWARA,POINT (74.72907159152777 25.478682509778032)
506,Rajasthan,BIKANER,POINT (73.17739742139828 28.176347313816464)
507,Rajasthan,BUNDI,POINT (75.77747858940276 25.468754940551403)
508,Rajasthan,CHITTAURGARH,POINT (74.77979562833394 24.827424546513818)
509,Rajasthan,CHURU,POINT (74.69851608909333 28.344122510694334)
510,Rajasthan,DAUSA,POINT (76.51394716765296 26.854762088147936)
511,Rajasthan,DHOLPUR,POINT (77.70334298198796 26.679460240749385)
512,Rajasthan,DUNGARPUR,POINT (73.85513491596329 23.731269081503058)
513,Rajasthan,GANGANAGAR,POINT (73.56315473092403 29.39406282776685)
514,Rajasthan,HANUMANGARH,POINT (74.54901121419724 29.269978872587245)
515,Rajasthan,JAIPUR,POINT (75.72430978199237 26.97911364368214)
516,Rajasthan,JAISELMER,POINT (70.90338473672772 27.076059075141426)
517,Rajasthan,JALOR,POINT (72.21186451303531 25.09649984747385)
518,Rajasthan,JHALAWAR,POINT (76.19677044384889 24.32761510363124)
519,Rajasthan,JHUNJHUNUN,POINT (75.55240663749115 28.090532051959773)
520,Rajasthan,JODHPUR,POINT (72.78802779066773 26.74950000468893)
521,Rajasthan,KARAULI,POINT (76.96385107037456 26.51935706938095)
522,Rajasthan,KOTA,POINT (76.12931691712173 25.122858253473495)
523,Rajasthan,NAGAUR,POINT (74.18794833846685 27.06269902767947)
524,Rajasthan,PALI,POINT (73.52064882221102 25.706580421327555)
525,Rajasthan,PRATAPGARH1,POINT (74.68095957013028 24.028194728713665)
526,Rajasthan,RAJSMAND,POINT (73.89230196495397 25.21504992300777)
527,Rajasthan,SIKAR,POINT (75.28754479843201 27.635237279754794)
528,Rajasthan,SIROHI,POINT (72.77431396125597 24.75764707254419)
529,Rajasthan,SWAIMADHOPUR,POINT (76.46792133428643 26.215541466670835)
530,Rajasthan,TONK,POINT (75.67186563485195 26.144470834148596)
531,Rajasthan,UDAIPUR,POINT (73.70640300419136 24.40641002328322)
