Day Month Year Tmin(C) Tmax(C) Prcp(mm) Et0(mm)
1 1 1990 6.1 24.05 0.0 3.03
2 1 1990 5.64 23.51 0.0 3.28
3 1 1990 5.92 24.6 0.0 3.69
4 1 1990 7.35 26.31 0.0 3.08
5 1 1990 6.74 25.11 0.0 3.58
6 1 1990 8.31 28.11 0.0 3.88
7 1 1990 7.37 26.01 0.0 3.29
8 1 1990 7.18 25.34 0.01 3.09
9 1 1990 6.56 25.58 0.0 3.21
10 1 1990 7.47 27.0 0.0 3.05
11 1 1990 9.81 28.44 0.0 3.56
12 1 1990 12.98 30.48 0.0 2.97
13 1 1990 13.66 30.56 0.0 4.67
14 1 1990 11.99 29.22 0.0 4.29
15 1 1990 8.55 26.98 0.0 3.72
16 1 1990 9.73 28.1 0.0 2.99
17 1 1990 13.59 30.7 0.0 3.15
18 1 1990 12.01 31.48 0.0 3.87
19 1 1990 10.1 29.73 0.0 4.39
20 1 1990 12.05 29.74 0.0 4.65
21 1 1990 14.24 30.94 0.0 3.66
22 1 1990 13.25 31.05 0.0 3.65
23 1 1990 12.44 31.08 0.0 4.22
24 1 1990 12.33 30.51 0.0 4.47
25 1 1990 12.52 32.04 0.0 4.42
26 1 1990 14.68 32.19 0.0 4.75
27 1 1990 13.98 31.3 0.0 6.48
28 1 1990 10.43 28.9 0.0 4.74
29 1 1990 9.46 25.51 0.0 4.32
30 1 1990 9.0 27.8 0.0 3.97
31 1 1990 9.81 29.53 0.0 4.72
1 2 1990 9.6 27.1 0.0 4.37
2 2 1990 8.29 26.01 0.0 4.22
3 2 1990 7.2 27.51 0.0 3.56
4 2 1990 8.74 28.03 0.0 4.12
5 2 1990 12.73 29.65 0.0 3.38
6 2 1990 15.02 30.7 0.0 4.04
7 2 1990 15.04 29.83 0.0 4.15
8 2 1990 16.76 31.7 0.0 4.12
9 2 1990 15.06 30.44 0.0 3.64
10 2 1990 15.16 29.24 0.04 4.11
11 2 1990 13.38 29.98 0.0 4.27
12 2 1990 17.25 31.38 0.58 3.77
13 2 1990 14.33 22.9 3.94 3.0
14 2 1990 10.51 26.04 0.0 3.41
15 2 1990 9.44 25.35 0.7 3.88
16 2 1990 8.16 25.04 0.01 3.72
17 2 1990 8.86 28.38 0.0 5.92
18 2 1990 8.68 24.01 0.0 3.49
19 2 1990 8.96 23.42 5.21 2.95
20 2 1990 9.54 24.43 0.0 3.45
21 2 1990 11.04 26.62 0.0 3.58
22 2 1990 10.58 27.7 0.0 3.86
23 2 1990 16.02 28.26 0.22 4.03
24 2 1990 14.05 28.71 1.45 3.96
25 2 1990 12.9 27.59 1.11 4.53
26 2 1990 12.35 27.84 5.19 4.18
27 2 1990 13.82 19.29 0.64 2.45
28 2 1990 11.26 25.48 13.13 2.94
1 3 1990 10.21 25.83 0.25 4.0
2 3 1990 8.32 24.44 0.0 4.53
3 3 1990 9.98 26.55 0.0 3.89
4 3 1990 11.15 27.95 0.0 4.1
5 3 1990 8.42 27.47 0.0 4.05
6 3 1990 9.57 27.87 0.0 5.05
7 3 1990 9.94 28.31 0.0 4.16
8 3 1990 13.62 31.33 0.0 3.98
9 3 1990 14.21 32.31 0.0 4.63
10 3 1990 16.89 33.75 0.0 4.73
11 3 1990 14.83 34.54 0.0 6.26
12 3 1990 13.81 31.45 0.0 6.58
13 3 1990 12.48 32.56 0.0 5.75
14 3 1990 16.89 35.48 0.0 5.23
15 3 1990 15.93 36.77 0.0 5.23
16 3 1990 19.4 37.0 0.0 4.98
17 3 1990 20.25 36.15 0.0 4.69
18 3 1990 17.08 37.5 0.0 6.87
19 3 1990 17.37 37.87 0.0 8.32
20 3 1990 19.51 36.07 0.0 8.98
21 3 1990 20.4 35.08 0.0 9.22
22 3 1990 19.07 31.1 0.0 8.2
23 3 1990 12.38 29.96 0.0 7.33
24 3 1990 11.72 30.54 0.0 5.43
25 3 1990 13.36 31.71 0.0 5.32
26 3 1990 14.76 31.62 0.0 5.48
27 3 1990 16.66 27.65 0.0 4.85
28 3 1990 13.81 30.96 0.0 5.82
29 3 1990 17.58 34.01 0.02 7.84
30 3 1990 16.62 32.31 0.0 7.71
31 3 1990 15.27 31.11 0.0 6.84
1 4 1990 15.2 33.01 0.0 6.72
2 4 1990 17.3 32.24 0.04 7.28
3 4 1990 17.83 34.86 0.0 6.73
4 4 1990 17.23 36.09 0.02 5.08
5 4 1990 18.2 38.2 0.0 7.04
6 4 1990 16.53 38.81 0.0 8.2
7 4 1990 19.55 38.21 0.03 7.7
8 4 1990 20.23 37.25 1.39 8.78
9 4 1990 18.8 36.75 0.0 7.44
10 4 1990 20.19 39.03 0.0 8.12
11 4 1990 22.05 39.39 0.0 9.31
12 4 1990 22.13 36.51 0.0 9.0
13 4 1990 22.83 37.5 0.0 9.7
14 4 1990 18.52 37.6 0.0 7.79
15 4 1990 20.39 39.62 0.0 6.52
16 4 1990 22.21 40.65 0.0 7.53
17 4 1990 23.49 40.83 0.0 10.52
18 4 1990 23.36 40.78 0.0 11.86
19 4 1990 24.02 40.9 0.0 11.27
20 4 1990 23.83 41.51 0.0 11.39
21 4 1990 23.82 41.23 0.0 10.66
22 4 1990 24.12 40.65 0.0 10.4
23 4 1990 24.59 41.32 0.0 9.58
24 4 1990 24.87 41.65 0.0 10.7
25 4 1990 24.64 42.36 0.0 9.79
26 4 1990 27.02 42.4 0.0 12.51
27 4 1990 26.22 42.21 0.0 11.1
28 4 1990 26.09 42.47 0.0 11.85
29 4 1990 23.6 42.62 0.0 7.53
30 4 1990 25.19 42.64 0.0 8.61
1 5 1990 25.87 40.06 0.0 7.96
2 5 1990 25.71 41.42 0.0 9.72
3 5 1990 24.55 41.38 0.36 7.9
4 5 1990 25.16 41.26 0.08 8.44
5 5 1990 25.56 42.1 5.09 6.76
6 5 1990 25.54 39.46 0.0 5.45
7 5 1990 25.87 41.17 0.12 8.61
8 5 1990 27.07 41.41 0.0 7.93
9 5 1990 25.98 42.33 0.0 8.8
10 5 1990 27.01 43.29 0.0 9.82
11 5 1990 29.01 43.87 0.0 8.94
12 5 1990 28.93 42.28 0.0 9.63
13 5 1990 28.61 42.76 0.0 7.88
14 5 1990 29.58 43.32 0.0 12.06
15 5 1990 30.11 42.8 0.0 13.78
16 5 1990 28.24 43.28 0.06 13.97
