Day Month Year Tmin(C) Tmax(C) Prcp(mm) Et0(mm)
1 1 1990 5.55 23.6 0.0 3.08
2 1 1990 5.92 23.09 0.0 2.72
3 1 1990 6.69 23.43 0.0 2.5
4 1 1990 8.59 25.62 0.0 2.82
5 1 1990 7.13 25.33 0.0 3.35
6 1 1990 7.69 26.53 0.0 3.07
7 1 1990 7.88 25.47 0.0 2.86
8 1 1990 7.56 23.69 0.0 3.45
9 1 1990 6.15 24.08 0.0 3.59
10 1 1990 7.94 26.79 0.0 4.34
11 1 1990 10.6 27.63 0.0 4.57
12 1 1990 11.37 29.75 0.0 4.12
13 1 1990 12.01 30.08 0.0 3.84
14 1 1990 10.86 28.62 0.0 3.9
15 1 1990 9.04 26.67 0.0 4.57
16 1 1990 8.84 28.34 0.0 4.01
17 1 1990 10.74 30.7 0.0 4.29
18 1 1990 10.98 31.23 0.0 4.25
19 1 1990 11.73 29.3 0.0 5.33
20 1 1990 13.76 29.83 0.0 6.03
21 1 1990 14.15 30.87 0.0 4.51
22 1 1990 13.76 30.71 0.0 4.07
23 1 1990 12.13 29.69 0.0 4.85
24 1 1990 11.06 29.19 0.0 4.83
25 1 1990 11.26 31.84 0.0 4.78
26 1 1990 14.01 31.89 0.0 4.25
27 1 1990 13.14 32.53 0.0 5.9
28 1 1990 10.44 29.01 0.0 4.89
29 1 1990 10.4 24.11 0.0 4.85
30 1 1990 9.6 24.78 0.0 4.52
31 1 1990 10.15 29.03 0.0 3.81
1 2 1990 11.18 28.08 0.0 3.53
2 2 1990 8.39 25.24 0.0 4.54
3 2 1990 7.42 26.68 0.0 3.99
4 2 1990 9.85 27.61 0.0 4.97
5 2 1990 12.45 29.73 0.0 4.85
6 2 1990 15.19 29.48 0.0 3.2
7 2 1990 14.44 25.92 0.0 3.54
8 2 1990 12.65 30.06 0.03 3.75
9 2 1990 13.1 30.39 0.03 3.87
10 2 1990 15.36 28.52 0.27 3.56
11 2 1990 11.87 28.02 0.34 3.08
12 2 1990 15.41 29.53 0.16 3.25
13 2 1990 13.59 21.46 9.55 2.07
14 2 1990 11.28 24.43 1.73 2.99
15 2 1990 8.87 24.42 0.0 3.66
16 2 1990 7.92 25.16 0.11 3.78
17 2 1990 8.81 27.25 0.0 3.83
18 2 1990 10.07 21.23 14.95 2.83
19 2 1990 8.08 23.21 3.1 2.27
20 2 1990 11.54 22.96 0.04 3.12
21 2 1990 10.15 26.78 0.0 4.11
22 2 1990 10.03 27.33 0.0 4.16
23 2 1990 13.06 27.98 0.0 3.51
24 2 1990 12.6 27.02 0.24 4.05
25 2 1990 10.9 27.25 4.8 2.91
26 2 1990 12.72 27.81 0.12 3.21
27 2 1990 13.49 20.08 8.25 1.25
28 2 1990 11.77 23.15 28.91 2.38
1 3 1990 10.2 24.15 0.36 3.46
2 3 1990 7.51 24.1 0.0 4.34
3 3 1990 8.4 26.4 0.0 4.36
4 3 1990 11.99 27.87 0.0 3.8
5 3 1990 9.41 27.56 0.0 3.33
6 3 1990 9.05 27.57 0.0 4.67
7 3 1990 10.55 29.32 0.0 4.53
8 3 1990 13.51 31.4 0.0 4.65
