Day Month Year Tmin(C) Tmax(C) Prcp(mm) Et0(mm)
1 1 1990 10.73 28.79 0.31 4.07
2 1 1990 10.65 29.01 0.0 4.69
3 1 1990 10.65 30.15 0.0 4.97
4 1 1990 14.45 31.13 0.0 3.64
5 1 1990 16.19 31.69 0.0 4.37
6 1 1990 15.72 32.53 0.0 5.05
7 1 1990 12.21 31.44 0.22 4.5
8 1 1990 12.33 31.62 0.4 4.3
9 1 1990 12.73 31.08 0.0 4.49
10 1 1990 11.92 30.77 0.0 4.37
11 1 1990 11.49 31.76 0.0 4.25
12 1 1990 13.11 33.86 0.0 4.05
13 1 1990 16.08 33.33 0.0 4.82
14 1 1990 14.12 32.01 0.0 4.34
15 1 1990 12.73 30.98 0.0 4.5
16 1 1990 12.79 32.03 0.0 4.51
17 1 1990 13.09 33.31 0.0 5.06
18 1 1990 13.8 33.51 0.0 4.33
19 1 1990 11.99 32.96 0.0 5.35
20 1 1990 12.41 32.68 0.0 5.05
21 1 1990 13.87 33.55 0.0 4.27
22 1 1990 13.57 33.93 0.0 4.44
23 1 1990 14.24 34.93 0.0 4.73
24 1 1990 14.75 34.25 0.0 5.39
25 1 1990 14.24 35.28 0.0 5.53
26 1 1990 14.05 34.8 0.0 5.33
27 1 1990 16.33 33.83 0.0 5.7
28 1 1990 15.68 32.69 0.0 5.07
29 1 1990 13.35 32.71 0.0 5.49
30 1 1990 13.51 33.89 0.0 5.2
31 1 1990 16.98 32.89 0.0 5.79
1 2 1990 13.7 30.19 0.0 5.05
2 2 1990 11.33 30.27 0.0 5.41
3 2 1990 10.96 32.73 0.0 6.0
4 2 1990 11.73 32.76 0.0 5.52
5 2 1990 14.83 33.62 0.0 5.2
6 2 1990 16.05 35.39 0.0 5.54
7 2 1990 18.62 34.87 0.0 5.85
8 2 1990 19.35 32.56 0.0 4.82
9 2 1990 18.37 34.1 0.0 4.16
10 2 1990 19.33 33.46 1.91 5.05
11 2 1990 18.76 34.15 1.28 5.67
12 2 1990 21.18 35.5 0.5 5.75
13 2 1990 19.31 28.45 1.27 3.93
14 2 1990 14.63 29.8 0.01 4.59
15 2 1990 11.22 29.39 0.46 4.66
16 2 1990 11.38 30.05 0.0 4.63
17 2 1990 11.71 30.34 0.0 6.32
