Day Month Year Tmin(C) Tmax(C) Prcp(mm) Et0(mm)
1 1 1990 8.94 25.87 0.25 3.52
2 1 1990 8.94 26.0 0.0 4.11
3 1 1990 9.35 26.91 0.0 4.33
4 1 1990 10.76 28.33 0.0 3.81
5 1 1990 11.65 27.5 0.0 4.51
6 1 1990 12.17 30.15 0.0 4.44
7 1 1990 12.53 29.88 0.0 3.8
8 1 1990 10.58 28.33 0.91 3.97
9 1 1990 9.23 27.18 0.0 3.86
10 1 1990 8.44 27.07 0.0 3.71
11 1 1990 10.43 27.83 0.0 3.66
12 1 1990 12.69 30.89 0.0 3.7
13 1 1990 12.79 30.86 0.0 4.18
14 1 1990 10.42 29.73 0.0 4.29
15 1 1990 9.44 26.97 0.0 3.99
16 1 1990 9.69 28.87 0.0 3.95
17 1 1990 13.69 31.05 0.0 3.62
18 1 1990 13.86 31.98 0.0 3.9
19 1 1990 13.04 30.32 0.0 4.75
20 1 1990 11.85 30.4 0.0 4.73
21 1 1990 12.92 30.29 0.0 3.78
22 1 1990 16.55 31.82 0.0 3.71
23 1 1990 14.96 32.15 0.0 4.17
24 1 1990 11.95 30.23 0.0 4.73
25 1 1990 12.41 32.62 0.0 4.54
26 1 1990 12.55 32.39 0.0 4.73
27 1 1990 13.23 33.56 0.0 5.87
28 1 1990 12.92 30.64 0.0 4.8
29 1 1990 9.49 29.23 0.0 4.61
30 1 1990 10.64 29.61 0.0 4.57
31 1 1990 12.15 31.59 0.0 5.19
1 2 1990 9.66 28.26 0.0 4.36
2 2 1990 8.91 27.08 0.0 4.59
3 2 1990 8.51 29.12 0.0 4.41
4 2 1990 10.16 29.73 0.0 4.74
5 2 1990 12.54 30.13 0.0 4.24
6 2 1990 15.15 32.33 0.0 4.37
7 2 1990 15.89 33.44 0.0 5.52
8 2 1990 16.32 31.95 0.0 5.92
9 2 1990 16.18 32.5 0.0 3.82
10 2 1990 17.7 28.73 1.04 4.32
11 2 1990 14.47 31.58 0.19 4.04
12 2 1990 18.69 29.78 0.12 3.92
13 2 1990 16.48 25.91 8.94 3.07
14 2 1990 12.47 26.68 0.0 3.07
15 2 1990 10.33 26.28 1.05 3.59
16 2 1990 8.9 26.08 0.2 3.64
17 2 1990 10.62 29.98 0.0 5.69
18 2 1990 11.33 24.4 0.0 4.49
19 2 1990 10.79 24.66 3.64 3.31
20 2 1990 10.45 25.45 0.0 3.94
21 2 1990 10.9 27.03 0.0 4.03
22 2 1990 11.52 27.78 0.0 4.28
23 2 1990 14.51 29.58 0.0 4.17
24 2 1990 13.95 29.66 0.27 4.75
25 2 1990 14.69 29.56 0.26 5.1
26 2 1990 12.62 29.76 1.45 4.79
27 2 1990 14.9 26.72 0.23 3.09
28 2 1990 14.96 27.16 7.73 4.05
1 3 1990 11.49 27.96 0.03 4.17
2 3 1990 10.14 25.68 0.06 4.38
3 3 1990 8.51 27.43 0.0 4.71
4 3 1990 9.51 29.5 0.0 5.03
5 3 1990 11.55 30.65 0.0 6.4
6 3 1990 10.8 30.12 0.0 5.48
7 3 1990 10.33 30.68 0.0 5.14
8 3 1990 12.45 32.72 0.0 5.39
9 3 1990 13.62 33.86 0.0 5.59
10 3 1990 14.24 35.72 0.0 6.01
11 3 1990 14.89 35.52 0.0 6.82
12 3 1990 16.8 32.91 0.0 6.76
13 3 1990 13.76 32.88 0.02 5.55
14 3 1990 16.08 35.3 0.0 6.22
15 3 1990 15.11 37.13 0.0 6.29
16 3 1990 15.89 37.48 0.0 6.45
17 3 1990 19.67 38.86 0.0 7.05
18 3 1990 18.47 38.4 0.0 7.46
19 3 1990 19.13 38.84 0.0 7.36
20 3 1990 17.84 37.58 0.0 8.42
21 3 1990 19.35 34.58 0.0 8.12
22 3 1990 20.58 34.66 0.0 8.46
23 3 1990 15.05 32.73 0.0 8.42
24 3 1990 11.37 31.23 0.0 5.96
25 3 1990 12.19 33.19 0.0 6.49
26 3 1990 16.13 34.05 0.0 5.85
27 3 1990 17.18 26.35 0.0 4.16
28 3 1990 17.15 32.29 0.0 5.73
29 3 1990 19.01 34.98 0.15 6.7
30 3 1990 16.74 34.05 0.0 7.84
31 3 1990 16.98 32.28 0.0 7.53
1 4 1990 16.65 33.21 0.0 7.58
2 4 1990 16.12 32.98 0.0 8.2
3 4 1990 16.54 34.84 0.0 7.19
4 4 1990 16.19 36.11 0.0 6.52
5 4 1990 20.03 38.48 0.0 7.68
6 4 1990 19.31 39.78 0.0 10.36
7 4 1990 20.51 39.06 0.06 7.73
8 4 1990 19.41 38.3 0.04 9.17
9 4 1990 19.33 36.8 0.01 7.78
10 4 1990 19.74 39.07 0.0 7.74
11 4 1990 20.26 40.28 0.0 7.36
12 4 1990 21.27 39.98 0.0 9.19
13 4 1990 22.48 39.15 0.0 9.34
14 4 1990 20.48 37.97 0.0 8.33
