Day Month Year Tmin(C) Tmax(C) Prcp(mm) Et0(mm)
1 1 1990 8.44 24.66 0.0 4.41
2 1 1990 8.84 25.14 0.0 3.69
3 1 1990 10.09 25.94 0.0 3.09
4 1 1990 12.65 27.36 0.0 3.76
5 1 1990 11.73 26.93 0.07 4.58
6 1 1990 11.68 27.44 0.0 4.75
7 1 1990 11.48 26.17 0.0 4.98
8 1 1990 10.11 24.8 0.0 4.2
9 1 1990 8.87 25.59 0.0 4.25
10 1 1990 9.33 27.3 0.0 4.46
11 1 1990 12.12 30.06 0.0 3.35
12 1 1990 13.9 31.01 0.0 3.67
13 1 1990 13.53 29.78 0.0 4.84
14 1 1990 12.53 28.33 0.0 4.39
15 1 1990 10.85 28.08 0.0 4.21
16 1 1990 12.64 30.08 0.0 3.38
17 1 1990 16.04 30.62 0.0 3.9
18 1 1990 15.16 30.95 0.0 3.85
19 1 1990 13.29 29.65 0.0 5.17
20 1 1990 12.92 29.43 0.0 3.77
21 1 1990 17.26 30.49 0.0 3.99
22 1 1990 17.49 31.4 0.0 3.85
23 1 1990 15.25 31.81 0.0 4.36
24 1 1990 15.32 32.37 0.0 4.75
25 1 1990 16.55 32.41 0.0 4.84
26 1 1990 14.48 32.18 0.0 5.65
27 1 1990 15.33 27.8 0.0 6.03
28 1 1990 9.73 26.9 0.0 5.34
29 1 1990 11.96 24.69 0.0 5.46
30 1 1990 11.37 28.03 0.0 5.69
31 1 1990 12.98 27.9 0.0 5.13
1 2 1990 9.6 26.37 0.0 4.95
2 2 1990 10.76 27.05 0.0 5.28
3 2 1990 9.45 27.94 0.0 4.98
4 2 1990 12.03 29.09 0.0 5.54
5 2 1990 13.64 31.23 0.0 4.26
6 2 1990 19.0 32.3 0.0 4.36
7 2 1990 19.39 33.45 0.0 4.76
8 2 1990 18.61 31.98 0.0 5.12
9 2 1990 17.7 29.49 0.0 3.92
10 2 1990 19.16 30.19 0.02 6.0
11 2 1990 16.47 30.49 0.04 5.51
12 2 1990 18.2 30.33 0.07 4.87
13 2 1990 16.62 26.7 1.8 3.68
14 2 1990 12.58 26.66 0.0 4.25
15 2 1990 11.32 26.43 0.0 5.05
