Day Month Year Tmin(C) Tmax(C) Prcp(mm) Et0(mm)
1 1 1990 5.27 23.9 0.0 2.94
2 1 1990 5.75 23.46 0.0 2.69
3 1 1990 6.28 24.0 0.0 2.42
4 1 1990 9.23 26.07 0.0 2.96
5 1 1990 6.99 25.69 0.0 3.32
6 1 1990 7.68 27.49 0.0 3.09
7 1 1990 8.03 26.53 0.0 2.98
8 1 1990 7.84 24.54 0.0 3.42
9 1 1990 5.83 24.71 0.0 3.47
10 1 1990 7.05 27.39 0.0 4.13
11 1 1990 9.61 28.27 0.0 4.33
12 1 1990 10.51 30.3 0.0 4.02
13 1 1990 11.49 30.19 0.0 3.75
14 1 1990 11.47 29.22 0.0 3.76
15 1 1990 8.62 27.2 0.0 4.27
16 1 1990 8.19 28.4 0.0 3.83
17 1 1990 10.24 30.94 0.0 4.32
18 1 1990 10.14 31.53 0.0 4.29
19 1 1990 11.4 30.55 0.0 5.31
20 1 1990 13.76 30.87 0.0 5.72
21 1 1990 13.38 31.13 0.0 4.22
22 1 1990 13.51 30.96 0.0 3.86
23 1 1990 11.93 30.6 0.0 4.62
24 1 1990 10.38 29.7 0.0 4.64
25 1 1990 10.64 31.9 0.0 4.72
26 1 1990 13.8 31.97 0.0 4.2
27 1 1990 12.8 33.23 0.0 5.21
28 1 1990 11.51 30.2 0.0 5.02
29 1 1990 9.51 25.05 0.0 4.62
30 1 1990 9.84 26.33 0.0 4.51
31 1 1990 9.77 29.62 0.0 3.71
1 2 1990 11.76 29.05 0.0 3.57
2 2 1990 8.61 26.14 0.0 4.48
3 2 1990 6.93 27.1 0.0 3.8
4 2 1990 9.23 28.33 0.0 4.65
5 2 1990 11.94 29.83 0.0 4.58
6 2 1990 14.95 29.17 0.0 3.05
7 2 1990 13.62 28.38 0.0 3.89
8 2 1990 13.79 31.56 0.0 4.05
9 2 1990 14.51 31.25 0.0 3.81
10 2 1990 16.01 30.01 1.75 3.92
11 2 1990 12.6 29.3 0.01 3.23
12 2 1990 15.96 30.26 0.01 2.6
13 2 1990 15.81 22.45 8.19 2.28
14 2 1990 11.98 25.44 1.78 3.18
15 2 1990 9.69 25.19 0.0 3.77
16 2 1990 8.09 25.59 0.42 3.68
17 2 1990 9.12 28.38 0.0 4.36
18 2 1990 11.08 22.87 13.18 2.77
19 2 1990 8.46 24.08 0.1 2.34
20 2 1990 11.98 23.39 0.08 3.33
21 2 1990 10.66 27.35 0.0 4.09
22 2 1990 10.03 27.8 0.0 4.28
23 2 1990 12.73 29.0 0.0 3.57
24 2 1990 11.67 27.37 0.29 3.79
25 2 1990 12.07 27.79 4.46 3.28
26 2 1990 11.9 28.42 0.11 3.4
27 2 1990 13.72 19.51 10.65 1.22
28 2 1990 13.69 24.29 25.6 2.68
1 3 1990 11.18 25.62 0.77 3.84
2 3 1990 8.19 24.76 0.08 4.5
3 3 1990 8.6 26.74 0.0 4.37
4 3 1990 12.65 28.26 0.0 3.71
5 3 1990 9.05 28.33 0.0 3.85
6 3 1990 9.48 28.68 0.0 4.94
7 3 1990 10.19 29.66 0.0 4.42
8 3 1990 12.98 31.42 0.0 4.47
9 3 1990 14.89 32.89 0.0 4.62
10 3 1990 15.45 34.33 0.0 4.92
11 3 1990 13.29 33.76 0.0 5.95
12 3 1990 13.19 30.8 0.0 4.87
13 3 1990 12.68 31.96 0.0 5.2
14 3 1990 15.95 33.28 0.13 4.79
15 3 1990 14.0 34.99 0.0 5.31
16 3 1990 14.23 35.94 0.0 5.4
17 3 1990 15.88 35.55 0.0 6.68
18 3 1990 16.69 37.62 0.0 6.82
19 3 1990 15.93 37.55 0.0 5.74
20 3 1990 15.99 37.19 0.0 6.38
21 3 1990 18.02 35.72 0.0 6.48
22 3 1990 20.51 34.82 0.0 7.97
23 3 1990 14.53 31.63 0.0 6.69
24 3 1990 11.28 29.81 0.0 5.12
25 3 1990 10.23 31.52 0.0 5.24
26 3 1990 12.57 31.68 0.0 4.41
27 3 1990 16.13 30.15 0.01 5.08
28 3 1990 12.62 30.83 0.06 4.4
29 3 1990 15.94 32.89 0.05 4.91
30 3 1990 16.46 33.9 0.28 6.76
31 3 1990 17.4 31.39 0.0 7.2
1 4 1990 14.33 32.66 0.0 6.95
2 4 1990 14.44 30.66 0.0 6.8
3 4 1990 14.74 34.17 0.0 6.74
4 4 1990 16.73 35.7 0.0 5.09
5 4 1990 16.08 36.94 0.0 7.54
6 4 1990 19.47 38.3 0.0 8.44
7 4 1990 18.69 38.26 0.15 6.42
8 4 1990 20.02 38.23 0.09 7.61
9 4 1990 19.4 37.01 0.69 9.25
10 4 1990 19.29 39.23 0.0 9.55
11 4 1990 20.77 40.8 0.0 7.13
12 4 1990 24.16 39.4 0.0 9.11
13 4 1990 22.21 39.42 0.0 7.72
14 4 1990 19.55 37.51 0.27 9.05
15 4 1990 19.35 39.12 0.0 8.36
16 4 1990 21.96 41.91 0.0 7.32
17 4 1990 23.9 42.78 0.0 9.15
18 4 1990 23.78 42.95 0.0 10.47
19 4 1990 23.8 42.19 0.0 9.8
20 4 1990 22.15 43.22 0.0 9.95
21 4 1990 21.38 42.21 0.0 9.22
22 4 1990 24.15 42.7 0.0 8.23
23 4 1990 23.98 43.68 0.0 11.88
24 4 1990 23.44 43.4 0.16 11.23
25 4 1990 26.06 44.37 0.0 9.82
26 4 1990 27.37 44.94 0.0 10.22
27 4 1990 27.19 42.62 0.0 8.46
28 4 1990 27.3 44.39 0.0 10.0
29 4 1990 22.29 42.96 0.0 8.3
30 4 1990 25.84 43.28 0.0 9.1
1 5 1990 22.86 41.9 0.0 7.34
2 5 1990 26.4 41.95 0.17 7.83
3 5 1990 24.87 42.09 0.12 7.04
4 5 1990 26.8 41.37 0.22 6.32
5 5 1990 26.5 41.98 2.56 8.66
6 5 1990 23.26 38.15 19.78 6.8
7 5 1990 23.37 37.86 13.03 6.42
8 5 1990 25.8 39.87 0.09 6.95
9 5 1990 25.33 40.5 0.0 7.78
10 5 1990 26.44 42.4 0.0 7.92
11 5 1990 29.93 42.61 0.0 8.29
12 5 1990 27.79 40.23 0.0 8.39
13 5 1990 27.94 39.65 0.0 5.68
14 5 1990 28.96 42.56 0.0 7.61
15 5 1990 28.52 43.2 0.75 7.99
16 5 1990 30.59 44.97 0.07 10.44
17 5 1990 29.14 45.07 0.0 10.65
18 5 1990 30.15 43.83 0.04 8.7
19 5 1990 29.59 44.43 0.01 10.23
20 5 1990 25.14 42.73 8.76 10.14
21 5 1990 27.01 42.86 0.56 11.86
22 5 1990 26.84 43.3 0.0 12.73
23 5 1990 27.75 44.37 0.0 10.78
24 5 1990 26.25 45.64 0.0 9.96
25 5 1990 28.65 45.99 0.0 9.21
26 5 1990 31.65 46.81 0.0 10.79
27 5 1990 29.69 45.76 0.0 13.04
28 5 1990 30.44 45.64 1.99 12.74
29 5 1990 33.08 45.75 0.06 10.98
30 5 1990 32.88 43.73 0.03 9.67
31 5 1990 31.36 42.41 0.53 6.16
1 6 1990 32.56 42.76 0.27 8.58
2 6 1990 28.78 43.03 4.2 11.66
3 6 1990 31.24 44.73 0.0 11.81
4 6 1990 31.23 43.58 0.0 10.88
5 6 1990 28.69 44.92 0.0 12.13
6 6 1990 29.41 45.19 0.0 12.22
7 6 1990 31.44 44.71 1.48 10.42
8 6 1990 33.26 44.76 0.44 10.95
9 6 1990 30.55 44.27 0.83 11.38
10 6 1990 32.15 44.06 0.0 12.05
11 6 1990 31.21 44.49 0.0 11.36
12 6 1990 30.23 43.16 0.64 9.9
13 6 1990 31.58 42.88 0.82 8.89
14 6 1990 30.63 42.88 0.51 8.82
15 6 1990 30.7 44.73 0.0 9.84
16 6 1990 30.52 42.98 0.0 9.87
17 6 1990 32.24 44.26 0.85 8.44
18 6 1990 32.0 46.11 0.26 7.3
19 6 1990 33.19 46.71 0.06 8.81
20 6 1990 33.3 44.08 5.02 7.91
21 6 1990 31.33 43.39 0.44 7.71
22 6 1990 32.14 43.8 2.33 9.11
23 6 1990 30.55 42.33 9.37 9.12
24 6 1990 30.54 42.93 0.33 10.64
25 6 1990 31.91 43.92 0.12 10.69
26 6 1990 32.55 45.43 0.0 9.65
27 6 1990 34.75 44.77 1.68 8.61
28 6 1990 31.62 41.34 4.83 7.17
29 6 1990 30.69 38.99 5.12 7.1
30 6 1990 30.14 36.42 8.01 5.93
1 7 1990 29.49 34.66 13.28 2.19
2 7 1990 28.24 30.93 18.17 3.26
3 7 1990 26.86 33.78 19.45 4.33
4 7 1990 27.11 33.62 15.71 3.52
5 7 1990 26.4 35.84 3.6 4.79
6 7 1990 26.38 36.99 2.14 5.41
7 7 1990 26.55 34.91 1.5 6.17
8 7 1990 27.48 36.53 0.9 5.31
9 7 1990 27.09 32.11 3.02 4.08
10 7 1990 26.31 34.57 3.17 3.87
11 7 1990 26.96 36.53 0.7 5.45
12 7 1990 28.66 39.36 0.09 7.27
13 7 1990 27.68 40.77 0.58 8.99
14 7 1990 28.06 39.12 0.03 7.03
15 7 1990 28.37 38.36 0.01 4.84
16 7 1990 28.71 33.73 12.49 4.11
17 7 1990 27.58 34.73 19.02 4.76
18 7 1990 27.98 38.31 5.46 6.27
19 7 1990 27.52 34.12 35.31 5.56
20 7 1990 26.23 34.36 55.95 6.11
21 7 1990 25.89 34.97 11.74 4.83
22 7 1990 27.19 35.42 0.44 4.29
23 7 1990 26.15 31.69 4.06 2.66
24 7 1990 26.04 33.69 1.41 4.84
25 7 1990 26.85 34.17 1.51 5.1
26 7 1990 27.02 34.98 0.33 5.94
27 7 1990 26.43 35.56 1.23 4.7
28 7 1990 26.23 34.94 10.56 5.01
29 7 1990 25.59 35.64 1.61 5.58
30 7 1990 26.29 36.26 0.46 4.01
31 7 1990 26.7 35.03 2.28 3.59
1 8 1990 26.48 36.61 5.75 4.07
2 8 1990 26.77 33.44 17.06 3.73
3 8 1990 25.4 32.55 2.1 5.11
4 8 1990 25.05 32.09 4.92 3.68
5 8 1990 25.7 31.31 2.89 4.4
6 8 1990 25.62 31.4 2.2 5.02
7 8 1990 25.56 32.58 0.4 4.5
8 8 1990 26.51 32.25 1.96 4.74
9 8 1990 25.97 30.63 19.57 3.19
10 8 1990 26.01 30.92 3.89 2.22
11 8 1990 25.94 33.55 4.95 3.6
12 8 1990 26.65 33.27 3.78 4.65
13 8 1990 25.13 33.76 2.85 4.52
14 8 1990 25.41 32.93 1.49 4.85
15 8 1990 24.95 30.16 0.19 4.24
16 8 1990 24.73 33.51 0.36 4.52
17 8 1990 26.7 33.83 3.28 5.2
18 8 1990 26.33 33.37 0.8 5.03
19 8 1990 26.9 33.73 0.17 5.13
20 8 1990 26.72 33.35 0.03 4.6
21 8 1990 27.08 33.22 0.69 3.77
22 8 1990 27.34 31.65 7.8 1.59
23 8 1990 26.51 31.57 11.28 4.23
24 8 1990 26.08 33.08 5.81 4.7
25 8 1990 25.19 34.36 0.77 5.49
26 8 1990 25.83 34.69 0.26 4.73
27 8 1990 25.64 35.84 0.01 5.39
28 8 1990 26.09 33.02 0.26 3.4
29 8 1990 24.94 32.77 16.44 3.96
30 8 1990 25.45 33.59 12.71 4.59
31 8 1990 25.87 33.57 1.24 4.77
1 9 1990 25.4 35.67 0.21 5.0
2 9 1990 26.66 36.33 0.01 5.26
3 9 1990 25.98 34.01 0.03 5.27
4 9 1990 24.87 34.98 1.44 4.14
5 9 1990 25.29 32.74 13.89 4.61
6 9 1990 24.77 31.24 6.51 2.07
7 9 1990 26.0 30.19 10.78 1.91
8 9 1990 25.55 32.23 10.35 3.8
9 9 1990 24.45 33.13 3.27 4.42
10 9 1990 24.69 34.03 0.33 5.09
11 9 1990 23.56 34.77 0.03 5.62
12 9 1990 23.63 35.4 0.02 5.84
13 9 1990 22.41 35.12 0.11 5.35
14 9 1990 25.29 35.12 0.05 4.53
15 9 1990 25.34 32.9 0.21 4.03
16 9 1990 25.19 30.17 20.91 2.39
17 9 1990 24.49 31.93 26.91 1.96
18 9 1990 22.73 32.33 46.09 3.38
19 9 1990 23.53 29.88 1.64 2.89
20 9 1990 23.31 30.33 8.98 3.46
21 9 1990 23.71 30.7 5.47 3.72
22 9 1990 23.97 30.37 14.54 4.09
23 9 1990 23.58 31.66 0.38 4.22
24 9 1990 24.44 31.83 0.1 4.14
25 9 1990 23.94 31.7 0.07 3.18
26 9 1990 23.73 31.75 0.59 3.61
27 9 1990 22.68 33.15 0.0 3.98
28 9 1990 22.89 34.18 0.02 4.06
29 9 1990 23.18 33.83 0.35 4.11
30 9 1990 23.12 33.15 0.17 4.06
1 10 1990 23.38 31.55 3.2 4.58
2 10 1990 23.03 32.76 0.02 4.74
3 10 1990 21.96 33.52 0.0 4.32
4 10 1990 22.94 34.44 0.0 4.46
5 10 1990 21.91 33.87 0.0 4.2
6 10 1990 21.07 33.35 0.0 4.09
7 10 1990 22.99 34.48 0.0 4.41
8 10 1990 21.57 35.03 0.0 4.56
9 10 1990 21.18 34.7 0.0 4.47
10 10 1990 21.3 35.44 0.0 4.59
11 10 1990 19.16 35.52 0.0 4.46
12 10 1990 19.96 34.84 0.0 4.36
13 10 1990 19.84 34.3 0.0 3.27
14 10 1990 20.62 33.43 0.0 3.98
15 10 1990 20.99 34.03 0.0 4.16
16 10 1990 19.64 35.32 0.0 4.38
17 10 1990 16.99 35.57 0.0 4.52
18 10 1990 18.55 34.31 0.0 3.76
19 10 1990 20.05 34.83 0.0 4.17
20 10 1990 18.98 33.91 0.0 4.49
21 10 1990 18.82 33.03 0.0 4.08
22 10 1990 14.33 31.97 0.0 4.21
23 10 1990 14.81 32.05 0.0 3.74
24 10 1990 18.22 27.58 0.0 3.49
25 10 1990 18.6 30.52 0.0 3.63
26 10 1990 17.03 31.94 0.06 3.61
27 10 1990 15.08 31.17 0.02 3.7
28 10 1990 16.44 32.23 0.0 3.57
29 10 1990 13.74 32.51 0.0 3.81
30 10 1990 14.9 33.13 0.0 3.99
31 10 1990 16.22 33.57 0.0 3.67
1 11 1990 16.63 32.83 0.0 3.83
2 11 1990 18.16 32.84 0.0 4.45
3 11 1990 14.91 32.17 0.0 4.05
4 11 1990 14.69 31.47 0.0 3.88
5 11 1990 15.55 31.79 0.0 4.07
6 11 1990 16.4 32.38 0.0 3.77
7 11 1990 16.02 32.79 0.0 4.29
8 11 1990 13.29 32.1 0.0 4.48
9 11 1990 15.26 31.73 0.0 3.41
10 11 1990 16.16 31.95 0.0 4.04
11 11 1990 12.44 30.38 0.0 4.2
12 11 1990 14.05 31.23 0.0 3.48
13 11 1990 14.79 31.74 0.0 3.36
14 11 1990 15.23 30.98 0.0 3.02
15 11 1990 13.33 30.93 0.0 3.51
16 11 1990 11.95 31.1 0.0 4.22
17 11 1990 11.75 30.49 0.0 3.29
18 11 1990 15.47 30.44 0.0 3.22
19 11 1990 13.52 29.51 0.0 3.34
20 11 1990 14.96 27.37 0.0 2.87
21 11 1990 13.96 26.61 3.51 2.84
22 11 1990 15.41 28.54 0.0 2.11
23 11 1990 13.45 28.18 0.0 2.91
24 11 1990 12.2 27.78 0.0 2.98
25 11 1990 12.02 27.87 0.0 3.15
26 11 1990 12.07 27.44 0.0 3.22
27 11 1990 10.24 28.22 0.0 2.92
28 11 1990 10.6 28.19 0.0 3.3
29 11 1990 11.85 24.65 0.0 3.45
30 11 1990 11.97 26.32 0.0 2.79
1 12 1990 12.7 26.31 0.0 2.93
2 12 1990 14.23 27.33 0.0 2.77
3 12 1990 12.14 27.36 0.0 2.77
4 12 1990 10.71 26.28 0.0 2.89
5 12 1990 9.02 26.07 0.0 3.05
6 12 1990 7.37 25.02 0.0 3.11
7 12 1990 7.61 25.3 0.0 2.76
8 12 1990 10.9 24.14 0.0 2.45
9 12 1990 8.35 24.68 0.0 2.78
10 12 1990 12.77 24.03 0.0 2.43
11 12 1990 10.26 26.04 0.0 2.29
12 12 1990 10.03 26.9 0.0 2.89
13 12 1990 8.67 26.58 0.0 3.3
14 12 1990 9.77 27.03 0.0 2.46
15 12 1990 12.37 27.46 0.0 3.34
16 12 1990 11.23 26.77 0.0 2.99
17 12 1990 11.47 25.97 0.0 2.52
18 12 1990 10.14 25.37 0.0 3.1
19 12 1990 7.37 24.62 0.0 3.5
20 12 1990 6.71 24.08 0.0 2.59
21 12 1990 6.55 24.08 0.0 2.96
22 12 1990 6.17 24.98 0.0 2.95
23 12 1990 9.75 25.15 0.0 2.44
24 12 1990 10.56 26.3 0.0 2.7
25 12 1990 8.07 25.71 0.0 2.76
26 12 1990 12.8 23.93 0.0 2.13
27 12 1990 11.95 27.51 0.0 2.95
28 12 1990 10.93 28.02 0.0 3.32
29 12 1990 12.01 27.78 0.01 3.93
30 12 1990 9.02 21.52 0.03 2.55
31 12 1990 6.23 20.86 0.0 3.04
1 1 1991 1.94 18.95 0.03 2.8
2 1 1991 1.98 19.1 0.0 2.77
3 1 1991 2.3 20.61 0.0 3.11
4 1 1991 2.33 21.13 0.01 2.53
5 1 1991 5.73 22.66 0.0 2.3
6 1 1991 6.25 23.24 0.0 2.92
7 1 1991 6.66 23.92 0.0 3.36
8 1 1991 9.59 22.33 0.0 3.16
9 1 1991 5.28 22.51 0.0 2.45
10 1 1991 5.3 23.12 0.0 2.4
11 1 1991 9.06 24.3 0.0 2.68
12 1 1991 7.08 23.83 0.0 3.11
13 1 1991 5.09 22.8 0.0 3.18
14 1 1991 7.15 22.81 0.0 2.56
15 1 1991 3.93 21.55 0.0 2.74
16 1 1991 5.63 21.58 0.0 2.56
17 1 1991 4.86 22.36 0.0 3.16
18 1 1991 4.23 21.8 0.0 3.35
19 1 1991 4.3 23.26 0.0 3.74
20 1 1991 4.8 24.59 0.0 3.87
21 1 1991 8.32 27.51 0.0 3.43
22 1 1991 8.18 26.68 0.0 3.56
23 1 1991 8.61 26.79 0.0 2.99
24 1 1991 11.36 28.9 0.0 3.23
25 1 1991 10.09 30.12 0.0 3.2
26 1 1991 14.76 31.49 0.0 3.68
27 1 1991 11.57 33.11 0.0 5.39
28 1 1991 12.8 33.19 0.0 6.0
29 1 1991 13.13 32.15 0.0 4.9
30 1 1991 11.48 30.37 0.0 3.4
31 1 1991 10.93 29.77 0.0 3.71
1 2 1991 10.06 29.04 0.0 4.02
2 2 1991 8.51 28.29 0.0 4.7
3 2 1991 11.01 28.55 0.0 3.74
4 2 1991 8.74 27.6 0.0 3.77
5 2 1991 9.08 27.83 0.0 3.29
6 2 1991 11.15 29.4 0.0 4.63
7 2 1991 13.49 29.8 0.0 3.59
8 2 1991 11.52 30.23 0.0 4.14
9 2 1991 12.33 32.39 0.0 4.15
10 2 1991 14.6 32.45 0.0 5.18
11 2 1991 18.4 32.23 0.0 5.34
12 2 1991 11.31 28.35 0.0 4.96
13 2 1991 7.54 26.18 6.22 3.73
14 2 1991 6.8 26.48 0.0 3.47
15 2 1991 8.12 26.68 0.0 4.02
16 2 1991 7.91 26.04 0.0 4.14
17 2 1991 9.2 26.55 0.0 4.29
18 2 1991 7.85 24.83 0.0 5.12
19 2 1991 5.13 24.88 0.0 3.65
20 2 1991 11.9 30.33 0.0 3.9
21 2 1991 11.04 32.8 0.0 4.26
22 2 1991 14.6 33.62 0.0 4.59
23 2 1991 16.38 32.28 0.31 4.78
24 2 1991 16.56 31.91 0.05 4.6
25 2 1991 16.82 33.45 0.0 4.46
26 2 1991 17.58 31.79 0.2 5.72
27 2 1991 13.17 28.44 1.25 4.43
28 2 1991 14.94 29.6 0.0 4.8
1 3 1991 11.37 31.08 0.0 4.71
2 3 1991 12.95 32.92 0.0 5.19
3 3 1991 13.25 32.62 0.0 4.7
4 3 1991 17.3 30.3 0.51 4.68
5 3 1991 15.02 31.97 0.0 5.55
6 3 1991 12.44 28.7 0.11 5.46
7 3 1991 10.55 30.33 0.01 5.87
8 3 1991 13.36 33.16 0.0 4.42
9 3 1991 13.08 34.95 0.0 5.93
10 3 1991 16.2 36.19 0.04 5.32
11 3 1991 14.86 35.6 0.0 5.37
12 3 1991 14.95 36.07 0.0 5.04
13 3 1991 15.78 36.08 0.0 5.16
14 3 1991 15.48 34.67 0.0 6.71
15 3 1991 15.47 34.44 0.0 6.47
16 3 1991 14.24 35.9 0.0 5.81
17 3 1991 14.95 37.02 0.0 5.68
18 3 1991 18.3 38.55 0.0 5.7
19 3 1991 20.35 36.38 0.0 6.97
20 3 1991 16.6 34.72 0.0 7.13
21 3 1991 16.93 34.81 0.0 5.52
22 3 1991 16.0 34.36 0.0 7.71
23 3 1991 17.12 34.29 0.43 6.55
24 3 1991 14.77 31.93 0.0 5.84
25 3 1991 14.5 33.11 0.0 5.66
26 3 1991 17.36 35.87 0.0 5.95
27 3 1991 21.12 38.47 0.0 6.7
28 3 1991 20.14 39.5 0.0 6.92
29 3 1991 21.9 41.58 0.0 8.94
30 3 1991 22.51 41.01 0.0 8.8
31 3 1991 25.27 40.93 0.0 6.86
1 4 1991 23.08 41.94 0.0 10.66
2 4 1991 27.66 40.9 0.0 9.14
3 4 1991 23.6 39.21 0.0 8.0
4 4 1991 22.24 36.55 0.0 6.66
5 4 1991 21.97 37.04 0.0 6.05
6 4 1991 20.89 38.62 0.0 6.4
7 4 1991 20.53 37.3 0.0 6.93
8 4 1991 20.47 36.98 0.01 5.95
9 4 1991 23.55 33.29 0.0 6.75
10 4 1991 19.32 36.21 0.04 5.95
11 4 1991 18.47 37.04 0.0 7.04
12 4 1991 19.25 38.76 0.0 5.3
13 4 1991 20.23 39.27 0.0 8.05
14 4 1991 23.77 39.3 0.05 9.22
