Day Month Year Tmin(C) Tmax(C) Prcp(mm) Et0(mm)
1 1 1990 6.3 24.3 0.02 3.07
2 1 1990 5.76 24.2 0.0 3.48
3 1 1990 6.25 25.42 0.0 3.78
4 1 1990 7.9 26.94 0.0 3.3
5 1 1990 7.5 25.87 0.0 3.77
6 1 1990 9.19 29.22 0.0 4.17
7 1 1990 7.98 26.51 0.0 3.53
8 1 1990 7.1 25.76 0.05 3.11
9 1 1990 6.53 26.21 0.0 3.24
10 1 1990 7.39 27.4 0.0 3.07
11 1 1990 10.23 28.64 0.0 3.34
12 1 1990 12.79 30.81 0.0 2.75
13 1 1990 13.9 31.23 0.0 4.69
14 1 1990 12.41 29.65 0.0 4.4
15 1 1990 8.55 27.19 0.0 3.59
16 1 1990 9.76 28.26 0.0 3.27
17 1 1990 12.77 31.11 0.0 3.65
18 1 1990 14.47 31.89 0.0 3.66
19 1 1990 10.04 30.1 0.0 4.44
20 1 1990 11.44 30.19 0.0 4.49
21 1 1990 14.22 31.38 0.0 3.61
22 1 1990 12.86 31.33 0.0 3.7
23 1 1990 12.35 31.58 0.0 4.02
24 1 1990 12.24 31.09 0.0 4.43
25 1 1990 12.73 32.57 0.0 4.57
26 1 1990 14.05 32.76 0.0 4.91
27 1 1990 14.4 32.03 0.0 6.38
28 1 1990 11.62 29.65 0.0 4.69
29 1 1990 9.64 26.73 0.0 4.35
30 1 1990 8.87 28.3 0.0 4.02
31 1 1990 11.38 30.39 0.0 5.09
1 2 1990 10.1 27.46 0.0 4.4
2 2 1990 7.77 25.97 0.0 4.11
3 2 1990 6.78 27.97 0.0 3.81
4 2 1990 8.25 28.23 0.0 4.11
5 2 1990 12.24 29.7 0.0 3.49
6 2 1990 15.6 31.78 0.0 4.05
7 2 1990 15.28 30.26 0.0 4.14
8 2 1990 17.79 32.05 0.0 4.4
9 2 1990 15.88 30.74 0.0 3.08
10 2 1990 15.65 29.4 0.13 3.71
11 2 1990 14.16 30.9 0.06 4.27
12 2 1990 17.87 30.31 0.46 3.48
13 2 1990 14.65 24.47 4.07 2.73
14 2 1990 10.68 26.51 0.0 3.33
15 2 1990 9.05 25.76 0.76 3.82
16 2 1990 7.88 25.56 0.0 3.77
17 2 1990 9.31 28.44 0.0 5.95
18 2 1990 9.1 24.12 0.0 3.93
19 2 1990 8.86 23.83 4.63 3.09
20 2 1990 9.07 24.79 0.0 3.5
21 2 1990 10.37 26.78 0.0 3.7
22 2 1990 10.42 27.86 0.0 3.83
23 2 1990 15.33 28.65 0.21 3.7
24 2 1990 14.08 28.99 2.34 4.31
25 2 1990 13.14 28.07 0.37 5.03
26 2 1990 12.43 28.37 3.79 4.29
27 2 1990 14.51 20.4 0.38 2.17
28 2 1990 11.69 26.73 8.8 3.33
1 3 1990 10.67 26.33 1.38 3.96
2 3 1990 8.49 24.77 0.0 4.38
3 3 1990 9.37 26.93 0.0 4.01
4 3 1990 10.69 28.42 0.0 4.51
5 3 1990 8.4 28.01 0.0 4.47
6 3 1990 9.62 28.52 0.0 5.12
7 3 1990 9.44 29.24 0.0 4.51
8 3 1990 13.9 32.02 0.0 4.25
9 3 1990 14.5 32.98 0.0 4.4
10 3 1990 16.64 34.37 0.0 5.24
11 3 1990 14.83 35.15 0.0 6.54
12 3 1990 14.44 32.36 0.0 7.26
13 3 1990 12.43 33.01 0.0 5.7
14 3 1990 17.02 35.82 0.0 5.19
15 3 1990 16.23 37.12 0.0 4.87
16 3 1990 19.05 37.22 0.0 4.61
17 3 1990 19.45 36.82 0.0 5.52
18 3 1990 17.61 37.83 0.0 7.08
19 3 1990 17.91 38.44 0.0 8.76
20 3 1990 19.95 35.78 0.0 9.07
21 3 1990 20.19 35.44 0.0 9.18
22 3 1990 19.83 32.23 0.0 8.63
23 3 1990 13.85 30.68 0.0 7.73
24 3 1990 10.77 30.69 0.0 5.19
25 3 1990 12.43 32.38 0.0 5.65
26 3 1990 14.65 31.83 0.0 5.41
27 3 1990 16.83 27.82 0.0 4.52
28 3 1990 14.49 31.33 0.0 5.56
29 3 1990 18.01 34.48 0.01 7.87
30 3 1990 16.91 32.87 0.0 7.59
31 3 1990 15.79 31.59 0.0 6.66
1 4 1990 15.14 33.38 0.0 6.58
2 4 1990 16.9 32.94 0.01 7.3
3 4 1990 17.69 35.2 0.0 6.84
4 4 1990 16.71 36.19 0.01 5.36
5 4 1990 18.86 38.5 0.0 6.8
6 4 1990 17.98 39.22 0.0 8.13
7 4 1990 20.32 38.57 0.01 7.58
8 4 1990 20.4 37.55 0.68 9.17
9 4 1990 19.15 36.91 0.0 7.13
10 4 1990 20.49 39.25 0.0 7.65
11 4 1990 22.07 39.69 0.0 8.96
12 4 1990 22.18 37.46 0.0 9.48
13 4 1990 23.15 37.87 0.0 9.64
14 4 1990 18.99 38.1 0.0 7.6
15 4 1990 19.94 39.8 0.0 6.62
16 4 1990 21.71 41.21 0.0 7.28
17 4 1990 23.41 41.05 0.0 9.95
18 4 1990 23.69 41.28 0.0 11.75
19 4 1990 24.49 41.24 0.0 11.26
20 4 1990 24.6 41.89 0.0 11.65
21 4 1990 23.9 41.67 0.0 10.53
22 4 1990 24.23 40.97 0.0 9.79
23 4 1990 24.65 41.38 0.0 9.46
24 4 1990 25.77 41.87 0.0 10.18
25 4 1990 24.86 42.67 0.0 9.27
26 4 1990 26.32 42.51 0.0 11.77
27 4 1990 26.45 42.26 0.0 10.31
28 4 1990 27.36 42.67 0.0 11.75
