Day Month Year Tmin(C) Tmax(C) Prcp(mm) Et0(mm)
1 1 1990 7.32 21.94 0.0 2.68
2 1 1990 7.46 22.72 0.0 3.33
3 1 1990 8.08 23.59 0.0 4.27
4 1 1990 8.94 24.5 0.0 3.1
5 1 1990 7.96 23.98 0.23 3.25
6 1 1990 9.62 23.26 0.0 3.04
7 1 1990 8.05 22.52 0.1 2.77
8 1 1990 7.15 21.12 0.18 2.59
9 1 1990 7.65 21.84 0.0 2.46
10 1 1990 10.64 25.32 0.0 2.81
11 1 1990 13.29 27.05 0.0 2.84
12 1 1990 12.52 28.05 0.0 3.18
13 1 1990 12.51 27.69 0.0 4.1
14 1 1990 9.83 25.4 0.0 3.47
15 1 1990 11.48 25.28 0.0 3.25
16 1 1990 10.75 26.86 0.0 3.97
17 1 1990 12.83 29.44 0.0 4.55
18 1 1990 11.57 28.45 0.0 4.0
19 1 1990 9.98 25.68 0.01 3.53
20 1 1990 12.69 27.8 0.0 3.48
21 1 1990 15.65 28.08 0.0 3.71
22 1 1990 13.69 27.66 0.0 3.63
23 1 1990 11.91 27.69 0.0 3.46
24 1 1990 14.04 28.31 0.0 4.09
25 1 1990 12.33 30.4 0.0 4.72
26 1 1990 15.35 29.33 0.0 4.63
27 1 1990 11.7 24.69 0.0 6.18
28 1 1990 6.28 23.77 0.0 4.32
29 1 1990 9.64 21.95 0.0 3.76
30 1 1990 8.79 22.86 0.0 3.31
31 1 1990 11.18 26.45 0.0 4.56
1 2 1990 8.28 24.54 0.0 3.38
2 2 1990 7.5 23.19 0.0 3.69
3 2 1990 9.43 24.78 0.0 3.19
4 2 1990 11.82 26.03 0.0 3.86
5 2 1990 15.21 28.83 0.0 3.43
6 2 1990 16.37 30.95 0.0 4.93
7 2 1990 18.26 30.19 0.0 5.14
8 2 1990 13.91 29.21 0.02 4.12
9 2 1990 12.48 28.67 0.0 4.27
10 2 1990 13.64 28.3 0.02 4.7
11 2 1990 14.83 28.05 0.22 5.3
12 2 1990 14.82 22.23 0.09 3.14
13 2 1990 12.56 22.5 6.75 2.79
14 2 1990 12.61 22.99 0.02 2.75
15 2 1990 9.98 23.15 0.0 3.4
16 2 1990 11.26 23.83 0.0 3.42
17 2 1990 10.56 25.82 0.0 5.77
18 2 1990 7.57 23.99 0.0 3.45
19 2 1990 9.28 19.33 21.97 2.63
20 2 1990 13.09 23.23 0.01 3.03
21 2 1990 14.31 26.04 0.0 3.17
22 2 1990 13.1 27.61 0.0 4.64
23 2 1990 14.68 27.58 0.13 4.27
24 2 1990 14.17 28.04 2.05 4.06
25 2 1990 14.58 25.84 2.77 3.14
26 2 1990 15.8 26.61 0.3 4.36
27 2 1990 13.92 23.44 0.98 4.22
28 2 1990 10.63 24.85 1.13 3.59
1 3 1990 10.76 23.76 0.0 4.49
2 3 1990 11.22 24.84 0.0 4.19
3 3 1990 9.93 27.41 0.0 4.81
4 3 1990 10.58 27.83 0.0 4.67
5 3 1990 10.16 27.06 0.0 4.94
6 3 1990 12.1 27.36 0.0 5.15
7 3 1990 12.63 29.81 0.0 4.82
8 3 1990 13.51 32.3 0.0 5.88
9 3 1990 14.1 32.42 0.0 5.51
10 3 1990 15.98 33.94 0.0 7.41
11 3 1990 16.37 32.18 0.0 7.29
12 3 1990 11.89 29.69 0.0 5.83
13 3 1990 15.8 32.3 0.0 5.18
14 3 1990 16.58 35.99 0.0 6.32
15 3 1990 17.01 36.78 0.0 6.31
16 3 1990 19.71 36.92 0.0 5.13
17 3 1990 19.55 36.19 0.0 6.92
18 3 1990 17.3 35.41 0.32 5.85
19 3 1990 17.82 36.17 0.05 6.69
20 3 1990 19.28 35.33 0.0 8.2
21 3 1990 21.16 30.83 0.02 6.58
22 3 1990 15.05 27.38 0.01 8.73
23 3 1990 11.27 27.61 0.08 5.06
24 3 1990 12.21 29.77 0.0 7.58
25 3 1990 11.99 28.98 0.0 4.68
26 3 1990 14.74 28.54 0.0 5.76
27 3 1990 13.19 27.9 0.0 4.41
28 3 1990 14.21 28.77 0.0 5.1
29 3 1990 16.01 32.89 0.38 6.32
30 3 1990 15.15 29.24 0.0 6.17
31 3 1990 14.96 29.43 0.0 4.36
1 4 1990 17.0 31.21 0.02 6.5
2 4 1990 17.83 30.88 0.79 5.07
3 4 1990 18.74 33.74 0.0 5.36
4 4 1990 20.66 36.36 0.52 5.68
5 4 1990 20.11 38.2 0.0 8.97
6 4 1990 22.97 36.03 0.16 7.54
7 4 1990 18.8 35.76 0.52 6.07
8 4 1990 19.65 35.33 0.05 7.07
9 4 1990 20.35 35.54 0.01 6.55
10 4 1990 21.1 38.0 0.0 8.65
11 4 1990 22.85 37.65 0.0 8.94
12 4 1990 22.48 36.26 0.0 6.1
13 4 1990 20.46 35.71 0.0 7.6
14 4 1990 18.27 35.66 0.02 6.95
15 4 1990 22.68 38.91 0.0 6.23
16 4 1990 22.04 40.22 0.0 9.67
17 4 1990 23.58 39.63 0.0 7.99
18 4 1990 22.98 40.11 0.0 8.82
19 4 1990 24.77 41.02 0.0 9.66
20 4 1990 21.74 41.38 0.0 8.07
21 4 1990 23.44 39.69 0.0 8.82
22 4 1990 23.43 40.97 0.0 8.27
23 4 1990 24.73 41.18 0.0 8.41
24 4 1990 23.82 41.11 0.0 9.52
25 4 1990 25.45 41.56 0.0 8.89
26 4 1990 27.46 39.88 0.0 8.86
27 4 1990 25.69 42.37 0.0 8.42
28 4 1990 23.95 42.12 0.0 9.46
29 4 1990 23.58 41.16 0.0 6.53
30 4 1990 25.55 42.67 0.0 9.65
1 5 1990 28.76 38.96 0.0 8.8
2 5 1990 26.3 40.11 0.0 8.31
3 5 1990 27.55 40.72 0.16 7.03
4 5 1990 26.02 41.55 0.02 6.95
5 5 1990 26.8 42.18 0.09 7.31
6 5 1990 27.18 41.58 0.13 9.63
7 5 1990 27.27 39.58 3.69 8.1
8 5 1990 28.3 41.37 0.0 8.66
9 5 1990 28.73 43.19 0.0 7.55
10 5 1990 29.22 44.32 0.0 8.36
11 5 1990 29.94 44.73 0.0 10.55
12 5 1990 29.68 43.53 0.0 9.99
13 5 1990 29.47 44.05 0.0 8.77
14 5 1990 31.02 45.34 0.0 11.26
15 5 1990 30.08 45.08 0.0 13.7
16 5 1990 29.08 44.5 0.0 13.2
17 5 1990 29.41 43.87 0.01 12.88
18 5 1990 29.37 42.37 0.01 11.08
19 5 1990 28.58 41.74 0.0 11.61
20 5 1990 27.62 43.05 0.0 12.19
21 5 1990 27.67 42.84 0.01 12.72
22 5 1990 28.53 43.01 0.05 13.6
23 5 1990 28.72 43.45 0.0 13.16
24 5 1990 28.69 43.7 0.0 12.55
25 5 1990 29.86 43.73 0.0 12.94
26 5 1990 29.77 44.51 0.0 13.38
27 5 1990 28.89 44.19 0.0 13.11
28 5 1990 29.82 43.36 0.0 12.57
29 5 1990 30.54 41.21 0.0 9.06
30 5 1990 30.71 42.58 0.0 8.1
31 5 1990 31.22 39.53 3.06 7.16
1 6 1990 27.22 37.3 39.46 7.12
2 6 1990 28.06 40.62 0.01 9.57
3 6 1990 28.02 42.44 0.05 11.81
4 6 1990 26.11 42.59 0.0 10.97
5 6 1990 27.33 42.54 0.0 11.62
6 6 1990 28.9 41.58 0.0 11.53
7 6 1990 30.03 41.62 0.01 10.39
8 6 1990 30.12 42.15 0.05 11.51
9 6 1990 29.76 41.43 0.01 11.26
10 6 1990 29.9 41.51 0.0 11.95
11 6 1990 29.88 41.33 0.02 10.92
12 6 1990 29.76 40.27 0.8 8.76
13 6 1990 28.83 41.03 0.24 8.31
14 6 1990 29.58 41.72 0.2 7.9
15 6 1990 30.16 43.99 0.0 8.04
16 6 1990 29.9 44.27 0.0 9.49
17 6 1990 31.42 45.37 0.0 11.74
18 6 1990 31.36 44.87 0.0 12.47
19 6 1990 30.94 44.54 0.0 13.48
20 6 1990 31.4 43.62 0.01 11.51
21 6 1990 31.06 42.73 0.01 11.15
22 6 1990 30.52 41.65 0.0 11.48
23 6 1990 30.81 41.24 0.0 11.4
24 6 1990 30.22 40.46 0.0 11.56
25 6 1990 30.15 41.16 0.0 10.76
26 6 1990 32.08 42.74 0.01 10.86
27 6 1990 32.3 44.29 0.0 11.36
28 6 1990 33.54 43.74 0.06 10.88
29 6 1990 33.95 44.26 0.1 10.16
30 6 1990 32.93 42.3 2.38 11.37
1 7 1990 31.42 41.12 0.29 9.89
2 7 1990 33.14 41.18 0.48 8.56
3 7 1990 28.59 36.67 8.47 6.0
4 7 1990 28.47 33.56 5.07 4.28
5 7 1990 28.38 32.4 8.69 5.4
6 7 1990 27.87 35.19 3.33 5.46
7 7 1990 29.21 35.3 0.48 4.88
8 7 1990 29.93 36.43 8.11 6.56
9 7 1990 29.15 39.94 0.01 10.32
10 7 1990 28.62 39.74 0.01 9.26
11 7 1990 29.79 39.88 0.01 8.63
12 7 1990 30.75 39.77 2.47 8.77
13 7 1990 29.96 38.6 5.51 9.42
14 7 1990 28.84 41.08 0.66 10.03
15 7 1990 31.31 40.34 0.0 9.47
16 7 1990 30.57 40.23 0.07 9.1
17 7 1990 31.37 41.51 0.11 8.94
18 7 1990 31.51 42.42 0.06 11.4
19 7 1990 30.48 41.85 0.01 10.7
20 7 1990 29.82 40.62 0.14 10.02
21 7 1990 30.69 39.81 0.26 10.05
22 7 1990 30.56 40.44 0.11 8.31
23 7 1990 31.76 42.1 0.0 8.59
24 7 1990 30.76 41.33 0.03 9.14
25 7 1990 30.96 42.26 0.07 8.22
26 7 1990 31.37 41.28 0.02 10.75
27 7 1990 30.29 41.95 0.0 11.01
28 7 1990 29.71 40.57 0.0 9.84
29 7 1990 30.64 40.09 0.01 9.93
30 7 1990 30.48 40.25 0.0 9.67
31 7 1990 30.07 40.75 0.0 9.79
1 8 1990 30.68 40.45 0.0 9.73
2 8 1990 30.36 41.31 0.13 7.08
3 8 1990 31.58 36.41 0.77 6.42
4 8 1990 30.12 39.48 8.05 7.27
5 8 1990 27.91 30.97 23.44 4.87
6 8 1990 26.32 30.57 8.91 4.99
7 8 1990 25.01 35.23 1.38 6.69
8 8 1990 27.11 36.77 0.74 6.08
9 8 1990 28.34 37.7 0.57 5.27
10 8 1990 28.87 36.23 0.76 5.42
11 8 1990 28.48 36.69 1.06 7.3
12 8 1990 28.81 39.93 0.14 10.19
13 8 1990 27.24 39.3 0.21 8.55
14 8 1990 29.7 37.83 0.01 6.52
15 8 1990 29.53 39.82 0.01 7.13
16 8 1990 28.13 40.92 0.0 8.18
17 8 1990 30.05 37.51 0.0 7.68
18 8 1990 28.93 40.15 0.0 7.79
19 8 1990 29.03 38.69 0.01 6.91
20 8 1990 29.21 39.36 0.14 5.75
21 8 1990 29.12 39.69 2.21 6.48
22 8 1990 29.93 40.3 0.75 6.67
23 8 1990 29.14 34.79 12.73 6.77
24 8 1990 27.65 38.83 0.07 7.77
25 8 1990 28.38 36.94 0.15 6.13
26 8 1990 28.69 38.47 0.04 6.55
27 8 1990 28.14 39.54 0.13 6.56
28 8 1990 28.45 39.69 0.03 6.44
29 8 1990 29.55 38.83 0.04 6.39
30 8 1990 27.14 33.42 28.46 4.94
31 8 1990 26.15 34.15 1.17 4.46
1 9 1990 28.55 36.9 0.57 5.89
2 9 1990 27.77 38.9 0.08 6.75
3 9 1990 26.82 38.77 0.0 7.91
4 9 1990 26.76 38.91 0.0 7.29
5 9 1990 27.55 39.22 0.07 6.47
6 9 1990 28.26 39.45 0.0 7.75
7 9 1990 27.62 36.27 0.56 6.35
8 9 1990 26.93 34.21 1.0 4.32
9 9 1990 26.73 37.55 0.68 6.46
10 9 1990 27.24 37.86 0.0 8.32
11 9 1990 26.11 38.44 0.0 8.09
12 9 1990 25.3 38.75 0.0 7.91
13 9 1990 25.08 38.73 0.0 7.63
14 9 1990 25.69 39.12 0.0 6.39
15 9 1990 26.86 40.08 0.0 6.83
16 9 1990 26.75 39.15 0.01 6.93
17 9 1990 26.4 38.82 0.04 8.47
18 9 1990 26.06 36.86 0.16 7.62
19 9 1990 26.58 35.38 0.0 6.4
20 9 1990 26.06 37.41 0.02 5.81
21 9 1990 26.57 38.17 0.02 6.25
22 9 1990 26.36 39.01 0.24 6.43
23 9 1990 26.16 39.91 0.01 6.02
24 9 1990 26.99 40.24 0.39 6.08
25 9 1990 27.64 40.51 0.04 5.81
26 9 1990 27.15 39.53 0.22 6.4
27 9 1990 27.83 39.23 0.0 7.12
28 9 1990 28.58 38.07 1.59 7.66
29 9 1990 26.74 34.76 6.74 6.46
30 9 1990 25.51 35.48 0.93 5.04
1 10 1990 24.19 36.33 0.53 5.02
2 10 1990 24.48 37.34 0.06 4.79
3 10 1990 24.54 37.9 0.0 5.41
4 10 1990 23.3 38.74 0.0 6.69
5 10 1990 21.58 38.9 0.0 6.17
6 10 1990 22.46 38.26 0.0 6.21
7 10 1990 21.65 38.32 0.0 6.26
8 10 1990 23.85 38.83 0.0 5.08
9 10 1990 22.63 38.14 0.0 4.59
10 10 1990 25.32 38.41 0.0 4.29
11 10 1990 21.34 37.96 0.0 4.62
12 10 1990 22.24 38.08 0.0 4.36
13 10 1990 23.09 37.0 0.0 5.01
14 10 1990 20.76 37.07 0.0 5.07
15 10 1990 21.01 37.12 0.0 4.96
16 10 1990 22.18 38.48 0.0 6.31
17 10 1990 20.93 36.18 0.0 8.62
18 10 1990 19.4 34.59 0.0 4.64
19 10 1990 15.87 32.98 0.0 5.46
20 10 1990 15.32 32.54 0.0 5.52
21 10 1990 17.47 32.56 0.0 4.75
22 10 1990 19.35 32.7 0.0 4.69
23 10 1990 16.18 32.05 0.0 4.69
24 10 1990 15.43 32.45 0.0 5.07
25 10 1990 15.06 32.12 0.0 4.82
26 10 1990 15.47 32.8 0.0 4.83
27 10 1990 15.23 33.22 0.0 4.72
28 10 1990 15.53 34.45 0.0 4.7
29 10 1990 16.31 34.01 0.0 4.27
30 10 1990 18.0 34.3 0.0 3.73
31 10 1990 17.39 34.82 0.0 5.36
1 11 1990 17.64 34.34 0.0 4.92
2 11 1990 17.78 33.86 0.0 4.64
3 11 1990 17.07 33.58 0.0 5.22
4 11 1990 19.48 33.09 0.0 4.11
5 11 1990 19.27 33.21 0.0 3.88
6 11 1990 20.19 33.51 0.0 4.1
7 11 1990 17.37 33.41 0.0 4.77
8 11 1990 16.68 31.8 0.0 5.31
9 11 1990 16.31 32.3 0.0 4.41
10 11 1990 18.69 31.98 0.0 3.23
11 11 1990 19.22 31.23 0.0 3.6
12 11 1990 17.87 31.78 0.0 3.45
13 11 1990 18.12 32.12 0.0 3.41
14 11 1990 15.01 31.69 0.0 3.68
15 11 1990 17.87 31.88 0.0 3.03
16 11 1990 17.22 31.73 0.0 3.19
17 11 1990 15.06 31.58 0.0 4.11
18 11 1990 14.71 32.19 0.0 4.44
19 11 1990 15.41 30.23 0.0 3.89
20 11 1990 16.93 30.4 0.0 3.55
21 11 1990 15.9 29.4 0.0 3.72
22 11 1990 12.6 26.55 0.11 3.41
23 11 1990 14.47 26.51 0.0 3.33
24 11 1990 13.62 26.81 0.0 3.29
25 11 1990 14.87 26.65 0.0 2.76
26 11 1990 13.36 26.9 0.0 3.5
27 11 1990 11.83 27.96 0.0 3.58
28 11 1990 12.37 27.9 0.0 3.78
29 11 1990 12.6 27.87 0.0 3.5
30 11 1990 14.12 28.29 0.0 3.98
1 12 1990 15.56 27.71 0.0 2.9
2 12 1990 11.67 29.68 0.0 4.81
3 12 1990 11.12 28.37 0.0 4.61
4 12 1990 11.2 27.14 0.0 4.44
5 12 1990 10.41 26.72 0.0 4.26
6 12 1990 11.58 26.33 0.0 3.3
7 12 1990 9.7 26.14 0.0 3.48
8 12 1990 12.73 26.4 0.0 3.97
9 12 1990 10.22 23.76 0.0 3.44
10 12 1990 8.4 23.79 0.0 3.39
11 12 1990 10.48 25.54 0.0 3.44
12 12 1990 10.83 26.32 0.0 3.45
13 12 1990 12.08 26.13 0.0 2.92
14 12 1990 12.16 27.7 0.0 4.47
15 12 1990 14.52 26.93 0.0 4.03
16 12 1990 13.12 25.85 0.01 2.83
17 12 1990 12.16 23.76 0.0 3.56
18 12 1990 8.25 23.15 0.0 3.29
19 12 1990 7.62 22.76 0.0 3.25
20 12 1990 7.72 22.55 0.0 2.64
21 12 1990 9.57 24.31 0.0 3.2
22 12 1990 12.49 24.38 0.0 2.27
23 12 1990 9.83 25.02 0.0 3.08
24 12 1990 10.88 25.3 0.0 2.94
25 12 1990 10.83 25.3 0.0 3.21
26 12 1990 12.96 25.92 0.0 3.16
27 12 1990 13.73 26.75 0.0 2.73
28 12 1990 13.33 27.51 0.0 5.27
29 12 1990 5.81 17.54 0.0 5.22
30 12 1990 2.43 15.84 0.15 2.97
31 12 1990 3.77 16.62 0.0 2.85
1 1 1991 6.95 17.88 0.0 2.44
2 1 1991 4.08 18.45 0.0 2.63
3 1 1991 6.42 18.7 0.0 2.12
4 1 1991 4.69 20.12 0.0 2.83
5 1 1991 5.19 21.22 0.0 3.81
6 1 1991 5.22 22.33 0.0 3.71
7 1 1991 8.15 17.09 0.0 3.22
8 1 1991 5.82 19.31 0.0 2.28
9 1 1991 6.41 19.57 0.0 2.2
10 1 1991 7.08 20.12 0.0 2.37
11 1 1991 8.31 21.88 0.0 2.75
12 1 1991 8.77 21.42 0.0 2.61
13 1 1991 7.96 22.44 0.0 3.49
14 1 1991 7.87 21.34 0.0 3.14
15 1 1991 5.87 20.79 0.0 3.27
16 1 1991 6.76 20.41 0.0 3.27
17 1 1991 5.33 19.71 0.0 3.32
18 1 1991 9.09 20.87 0.0 2.78
19 1 1991 6.14 23.02 0.0 3.2
20 1 1991 8.08 24.26 0.0 3.69
21 1 1991 10.58 26.55 0.0 4.49
22 1 1991 8.87 26.08 0.0 3.37
23 1 1991 11.29 27.69 0.0 4.45
24 1 1991 11.37 27.83 0.0 4.49
25 1 1991 13.12 29.47 0.0 4.62
26 1 1991 11.73 29.9 0.0 3.94
27 1 1991 14.35 30.67 0.0 3.45
28 1 1991 16.62 31.66 0.0 5.26
29 1 1991 13.93 28.49 0.0 3.91
30 1 1991 11.01 26.9 0.0 3.78
31 1 1991 10.31 26.57 0.0 3.85
1 2 1991 9.16 25.65 0.0 4.35
2 2 1991 11.94 26.88 0.0 4.14
3 2 1991 12.41 26.92 0.0 4.23
4 2 1991 8.91 24.79 0.0 3.77
5 2 1991 11.67 27.42 0.0 5.15
6 2 1991 14.05 29.09 0.0 4.53
7 2 1991 14.11 25.08 0.0 4.08
8 2 1991 12.02 24.28 0.0 4.0
