Day Month Year Tmin(C) Tmax(C) Prcp(mm) Et0(mm)
1 1 1990 6.58 24.87 0.04 3.03
2 1 1990 6.15 24.79 0.0 3.4
3 1 1990 6.49 25.87 0.0 3.66
4 1 1990 8.44 27.45 0.0 3.23
5 1 1990 8.22 26.39 0.0 3.83
6 1 1990 9.56 29.42 0.0 3.79
7 1 1990 8.71 27.33 0.0 3.59
8 1 1990 7.45 26.15 0.07 3.09
9 1 1990 6.73 26.24 0.0 3.2
10 1 1990 7.6 27.48 0.0 3.16
11 1 1990 9.33 28.67 0.0 3.29
12 1 1990 12.01 30.97 0.0 2.85
13 1 1990 12.9 31.7 0.0 4.41
14 1 1990 11.89 30.23 0.0 4.44
15 1 1990 8.62 27.45 0.0 3.66
16 1 1990 10.01 28.43 0.0 3.05
17 1 1990 13.56 31.22 0.0 3.08
18 1 1990 14.0 32.22 0.0 3.67
19 1 1990 9.56 30.57 0.0 4.58
20 1 1990 11.87 30.8 0.0 4.68
21 1 1990 13.25 31.57 0.0 3.51
22 1 1990 13.07 31.62 0.0 3.59
23 1 1990 12.38 31.78 0.0 4.03
24 1 1990 12.32 31.28 0.0 4.37
25 1 1990 13.24 32.68 0.0 3.71
26 1 1990 15.43 33.05 0.0 4.2
27 1 1990 13.73 32.69 0.0 6.09
28 1 1990 11.23 30.12 0.0 4.55
29 1 1990 8.99 27.35 0.0 4.25
30 1 1990 9.01 28.67 0.0 3.96
31 1 1990 11.86 31.09 0.0 4.84
1 2 1990 10.26 28.24 0.0 4.4
2 2 1990 7.81 26.48 0.0 4.11
3 2 1990 6.95 28.31 0.0 3.6
4 2 1990 8.51 28.67 0.0 3.96
5 2 1990 12.04 30.09 0.0 3.5
6 2 1990 15.56 31.8 0.0 3.89
7 2 1990 15.15 31.46 0.0 4.23
8 2 1990 15.55 32.32 0.0 4.23
9 2 1990 16.05 31.81 0.0 3.32
10 2 1990 16.33 30.36 0.18 3.8
11 2 1990 14.33 31.21 0.05 3.81
12 2 1990 18.55 30.86 0.44 3.58
13 2 1990 15.48 25.66 4.48 2.76
14 2 1990 11.57 27.21 0.0 3.38
15 2 1990 9.33 26.32 0.83 3.71
16 2 1990 7.93 26.08 0.02 3.62
17 2 1990 9.39 29.28 0.0 5.59
18 2 1990 10.31 24.61 0.0 4.25
19 2 1990 9.08 24.18 4.84 2.99
20 2 1990 9.58 25.39 0.0 3.56
21 2 1990 10.94 27.33 0.0 3.69
22 2 1990 10.51 28.19 0.0 3.85
23 2 1990 14.97 29.43 0.15 3.73
24 2 1990 14.33 29.79 1.86 3.86
25 2 1990 13.87 28.83 0.35 4.96
26 2 1990 12.37 29.01 3.55 4.23
27 2 1990 15.07 21.44 0.35 2.13
28 2 1990 13.23 27.48 9.28 3.65
1 3 1990 10.88 26.94 0.9 3.79
2 3 1990 8.84 25.37 0.0 4.42
3 3 1990 9.07 27.32 0.0 4.09
4 3 1990 11.15 28.87 0.0 4.33
5 3 1990 8.6 29.12 0.0 4.73
6 3 1990 9.72 29.21 0.0 4.73
7 3 1990 9.17 29.94 0.0 4.53
8 3 1990 14.21 32.55 0.0 4.39
9 3 1990 13.64 33.48 0.0 4.53
10 3 1990 15.9 35.14 0.0 4.89
11 3 1990 14.8 35.57 0.0 5.87
12 3 1990 14.46 32.84 0.0 6.68
13 3 1990 12.62 33.31 0.0 5.4
14 3 1990 15.69 35.85 0.0 4.77
15 3 1990 17.56 37.44 0.0 4.66
16 3 1990 17.71 37.84 0.0 4.78
17 3 1990 19.08 37.94 0.0 5.56
18 3 1990 17.46 38.15 0.0 6.33
19 3 1990 17.88 39.22 0.0 8.28
20 3 1990 19.76 36.98 0.0 9.01
21 3 1990 20.55 36.31 0.0 8.88
22 3 1990 20.99 33.43 0.0 8.58
23 3 1990 14.89 31.77 0.0 7.93
24 3 1990 10.8 31.09 0.0 4.7
25 3 1990 13.86 32.98 0.0 5.41
26 3 1990 14.85 33.17 0.0 5.34
27 3 1990 17.01 27.34 0.0 4.1
28 3 1990 14.69 31.9 0.0 5.56
29 3 1990 18.9 35.1 0.02 7.69
30 3 1990 17.26 33.84 0.0 7.84
31 3 1990 16.35 32.19 0.0 6.78
1 4 1990 15.56 33.71 0.0 6.65
2 4 1990 16.65 33.35 0.01 7.72
3 4 1990 17.9 35.31 0.0 6.64
4 4 1990 16.79 36.47 0.0 5.29
5 4 1990 19.01 38.87 0.0 6.66
6 4 1990 17.53 39.92 0.0 8.55
7 4 1990 21.29 38.91 0.06 6.71
8 4 1990 20.66 38.36 0.58 9.68
9 4 1990 19.15 37.37 0.0 7.27
10 4 1990 20.48 39.78 0.0 7.49
11 4 1990 21.27 40.51 0.0 8.55
12 4 1990 22.63 39.12 0.0 9.79
13 4 1990 23.55 38.81 0.0 9.89
14 4 1990 19.32 38.35 0.0 7.62
15 4 1990 19.58 40.08 0.0 6.73
16 4 1990 22.8 42.01 0.0 6.64
17 4 1990 22.85 41.9 0.0 9.53
18 4 1990 23.98 41.87 0.0 11.79
19 4 1990 25.57 41.85 0.0 11.53
20 4 1990 25.43 42.72 0.0 11.46
21 4 1990 24.35 42.19 0.0 10.03
22 4 1990 24.99 41.67 0.0 9.59
23 4 1990 24.92 42.35 0.0 9.44
24 4 1990 25.43 42.76 0.0 10.48
25 4 1990 25.42 43.58 0.0 9.22
26 4 1990 26.06 43.48 0.0 11.16
27 4 1990 26.8 43.32 0.0 10.3
28 4 1990 27.67 43.5 0.0 12.02
29 4 1990 23.44 43.38 0.0 6.78
30 4 1990 25.75 43.45 0.0 8.64
1 5 1990 24.01 40.66 0.0 7.33
2 5 1990 26.15 42.45 0.01 9.23
3 5 1990 26.07 42.18 0.16 9.37
4 5 1990 26.71 42.0 0.29 7.42
5 5 1990 26.25 42.77 3.1 7.94
6 5 1990 26.3 41.01 0.0 7.48
7 5 1990 26.54 41.95 0.09 9.13
8 5 1990 28.35 42.26 0.0 8.98
9 5 1990 27.19 42.92 0.0 10.05
10 5 1990 27.83 43.98 0.0 10.02
11 5 1990 30.96 43.89 0.03 9.53
12 5 1990 28.8 42.56 0.01 9.57
13 5 1990 29.26 42.76 0.0 7.97
14 5 1990 31.26 44.43 0.0 12.1
15 5 1990 31.61 43.86 0.27 13.41
16 5 1990 29.68 44.45 0.08 13.34
17 5 1990 29.57 44.71 0.0 12.8
18 5 1990 29.15 44.08 0.0 11.69
