Day Month Year Tmin(C) Tmax(C) Prcp(mm) Et0(mm)
1 1 1990 7.19 24.6 0.11 3.32
2 1 1990 6.77 24.61 0.0 3.78
3 1 1990 7.17 25.81 0.0 3.99
4 1 1990 8.69 27.39 0.0 3.47
5 1 1990 9.4 26.55 0.0 4.07
6 1 1990 10.33 29.47 0.0 4.39
7 1 1990 8.83 27.26 0.0 3.8
8 1 1990 7.94 26.55 0.19 3.4
9 1 1990 7.16 26.76 0.0 3.48
10 1 1990 7.51 27.5 0.0 3.38
11 1 1990 9.85 28.4 0.0 3.39
12 1 1990 12.83 30.97 0.0 2.78
13 1 1990 13.72 31.17 0.0 4.62
14 1 1990 12.27 29.56 0.0 4.39
15 1 1990 8.81 27.2 0.0 3.74
16 1 1990 9.72 28.46 0.0 3.69
17 1 1990 11.79 30.94 0.0 3.79
18 1 1990 14.5 31.69 0.0 3.65
19 1 1990 10.19 29.88 0.0 4.56
20 1 1990 10.69 30.12 0.0 4.41
21 1 1990 13.63 31.35 0.0 3.38
22 1 1990 12.51 31.29 0.0 3.86
23 1 1990 12.49 31.62 0.0 4.02
24 1 1990 12.11 31.11 0.0 4.49
25 1 1990 13.01 32.44 0.0 4.53
26 1 1990 13.68 32.65 0.0 4.92
27 1 1990 14.05 32.2 0.0 6.13
28 1 1990 12.68 30.08 0.0 4.9
29 1 1990 10.02 28.12 0.0 4.67
30 1 1990 9.33 28.83 0.0 4.33
31 1 1990 12.43 30.87 0.0 5.45
1 2 1990 10.33 27.19 0.0 4.42
2 2 1990 7.58 25.97 0.0 4.16
3 2 1990 7.15 28.19 0.0 4.35
4 2 1990 8.57 28.53 0.0 4.41
5 2 1990 12.01 29.76 0.0 3.91
6 2 1990 14.66 31.8 0.0 4.09
7 2 1990 15.35 30.83 0.0 4.26
8 2 1990 18.69 31.19 0.0 3.78
9 2 1990 16.75 30.18 0.0 3.06
10 2 1990 16.82 29.4 0.44 3.74
11 2 1990 14.79 31.18 0.31 4.23
12 2 1990 18.73 30.98 0.22 3.42
13 2 1990 14.81 24.81 4.2 2.85
14 2 1990 10.85 26.41 0.0 3.47
15 2 1990 8.91 25.69 0.79 3.88
16 2 1990 7.72 25.69 0.0 3.91
17 2 1990 9.76 27.79 0.0 5.91
18 2 1990 8.98 23.98 0.0 4.35
19 2 1990 8.52 23.93 4.24 3.52
20 2 1990 8.95 24.99 0.0 3.67
21 2 1990 9.82 26.65 0.0 3.87
22 2 1990 10.84 27.69 0.0 4.02
23 2 1990 15.25 28.58 0.17 3.78
24 2 1990 13.99 28.79 2.07 4.65
25 2 1990 13.26 28.13 0.48 5.22
26 2 1990 12.33 28.65 2.3 4.55
27 2 1990 14.67 24.08 0.21 2.5
28 2 1990 12.67 27.18 2.37 4.26
1 3 1990 11.12 26.54 4.89 4.29
2 3 1990 8.82 25.11 0.02 4.64
3 3 1990 8.69 27.19 0.0 4.39
4 3 1990 9.81 28.91 0.0 4.95
5 3 1990 9.02 28.55 0.0 4.91
6 3 1990 10.35 28.62 0.0 5.53
7 3 1990 9.69 30.0 0.0 4.96
8 3 1990 13.26 32.35 0.0 4.62
9 3 1990 15.31 33.06 0.0 4.36
10 3 1990 15.73 34.25 0.0 5.62
11 3 1990 14.76 34.93 0.0 6.43
12 3 1990 14.5 32.56 0.0 7.4
13 3 1990 12.37 32.83 0.0 5.73
14 3 1990 16.73 35.57 0.0 4.9
15 3 1990 16.11 36.82 0.0 4.71
16 3 1990 18.01 36.9 0.0 4.82
17 3 1990 18.62 37.05 0.0 5.93
18 3 1990 17.81 37.58 0.0 6.73
19 3 1990 18.44 38.31 0.0 8.9
20 3 1990 19.61 35.4 0.0 8.77
21 3 1990 19.99 34.89 0.0 8.82
