Day Month Year Tmin(C) Tmax(C) Prcp(mm) Et0(mm)
1 1 1990 7.29 21.48 0.0 2.53
2 1 1990 7.81 21.55 0.0 2.61
3 1 1990 6.65 22.58 0.0 3.18
4 1 1990 7.82 24.03 0.0 2.9
5 1 1990 7.94 23.46 0.0 2.76
6 1 1990 8.69 22.36 0.0 2.58
7 1 1990 8.46 22.22 0.01 2.48
8 1 1990 6.51 20.58 0.03 2.46
9 1 1990 6.88 21.38 0.0 2.72
10 1 1990 8.08 24.3 0.0 3.2
11 1 1990 8.99 26.08 0.0 3.44
12 1 1990 13.57 27.28 0.0 2.95
13 1 1990 11.8 27.39 0.0 3.77
14 1 1990 10.44 25.69 0.0 3.38
15 1 1990 7.47 24.16 0.0 3.81
16 1 1990 12.18 25.98 0.0 3.26
17 1 1990 12.69 28.42 0.0 3.64
18 1 1990 10.62 28.53 0.0 3.2
19 1 1990 9.72 26.01 0.0 3.78
20 1 1990 11.6 27.55 0.0 4.58
21 1 1990 15.19 27.51 0.0 3.19
22 1 1990 13.6 27.9 0.0 3.67
23 1 1990 10.62 26.62 0.01 3.7
24 1 1990 10.55 27.17 0.0 4.15
25 1 1990 13.91 29.61 0.0 4.16
26 1 1990 12.51 29.64 0.0 4.56
27 1 1990 11.55 27.72 0.0 6.24
28 1 1990 7.48 25.15 0.0 4.65
29 1 1990 8.66 21.65 0.0 3.57
30 1 1990 7.76 23.33 0.0 3.45
31 1 1990 12.6 26.17 0.0 3.36
1 2 1990 11.41 25.33 0.0 3.37
2 2 1990 6.98 22.5 0.0 3.81
3 2 1990 9.05 22.8 0.0 3.13
4 2 1990 8.92 25.67 0.0 4.12
5 2 1990 12.31 27.98 0.0 3.61
6 2 1990 13.55 29.9 0.0 3.84
7 2 1990 16.92 27.65 0.0 4.54
8 2 1990 15.1 28.84 0.51 4.27
9 2 1990 13.12 29.15 0.0 3.75
10 2 1990 13.96 28.48 0.41 4.54
11 2 1990 14.08 26.99 0.01 4.22
12 2 1990 14.5 24.03 0.39 2.71
13 2 1990 13.12 21.63 9.71 2.4
14 2 1990 11.69 22.78 0.26 2.86
15 2 1990 8.47 22.81 0.17 3.35
16 2 1990 7.96 23.49 0.0 3.59
17 2 1990 9.8 25.42 0.0 4.49
18 2 1990 10.07 22.06 1.53 2.61
19 2 1990 8.44 20.32 16.49 2.3
20 2 1990 12.69 23.18 0.13 3.31
21 2 1990 11.04 25.76 0.0 3.9
22 2 1990 13.69 26.73 0.0 3.77
23 2 1990 15.74 28.81 0.02 4.6
24 2 1990 13.34 27.87 0.37 4.42
25 2 1990 13.87 25.23 2.82 3.51
26 2 1990 14.12 26.22 0.08 3.31
27 2 1990 12.93 22.31 5.19 3.16
28 2 1990 10.83 23.05 8.68 3.22
1 3 1990 10.65 22.89 0.19 3.89
2 3 1990 7.67 23.07 0.0 4.18
3 3 1990 12.39 26.57 0.0 4.3
4 3 1990 11.85 27.28 0.0 4.56
5 3 1990 9.39 26.84 0.0 4.47
6 3 1990 10.19 26.59 0.0 4.66
7 3 1990 13.2 29.21 0.0 4.66
8 3 1990 12.73 31.71 0.0 5.39
9 3 1990 13.66 32.4 0.0 5.05
10 3 1990 15.32 33.86 0.0 6.02
11 3 1990 16.32 32.48 0.0 5.72
12 3 1990 13.4 29.19 0.08 4.59
13 3 1990 12.83 31.08 0.0 5.2
14 3 1990 17.73 33.96 0.0 4.92
15 3 1990 15.81 36.3 0.0 6.34
16 3 1990 16.81 36.14 0.0 5.86
17 3 1990 17.77 36.87 0.0 6.85
18 3 1990 18.47 36.11 0.0 5.62
19 3 1990 18.6 36.22 0.6 5.81
20 3 1990 17.97 35.98 0.19 7.34
21 3 1990 20.26 32.04 0.1 6.08
22 3 1990 15.87 29.27 0.6 8.0
