Day Month Year Tmin(C) Tmax(C) Prcp(mm) Et0(mm)
1 1 1990 6.04 23.54 0.0 3.0
2 1 1990 6.65 23.19 0.0 2.74
3 1 1990 6.16 23.18 0.0 3.07
4 1 1990 7.7 25.57 0.0 2.98
5 1 1990 7.48 25.15 0.0 3.01
6 1 1990 8.2 26.22 0.0 3.23
7 1 1990 7.94 25.51 0.0 2.99
8 1 1990 8.12 24.37 0.0 3.43
9 1 1990 6.24 24.72 0.0 3.49
10 1 1990 7.1 26.61 0.0 3.76
11 1 1990 9.97 27.91 0.0 4.15
12 1 1990 11.05 29.84 0.0 3.77
13 1 1990 13.62 29.31 0.0 4.09
14 1 1990 10.9 28.72 0.0 4.03
15 1 1990 8.57 26.59 0.0 4.3
16 1 1990 10.19 28.12 0.0 3.5
17 1 1990 12.26 30.19 0.0 3.84
18 1 1990 11.26 30.73 0.0 3.76
19 1 1990 11.59 29.46 0.0 5.08
20 1 1990 12.88 29.79 0.0 5.54
21 1 1990 13.17 30.48 0.0 4.03
22 1 1990 14.17 30.56 0.0 3.82
23 1 1990 12.9 29.98 0.0 4.82
24 1 1990 10.74 29.2 0.0 4.71
25 1 1990 12.59 31.12 0.0 4.39
26 1 1990 14.03 30.98 0.0 4.27
27 1 1990 13.1 31.47 0.0 6.11
28 1 1990 10.21 28.62 0.0 5.03
29 1 1990 10.13 24.27 0.0 4.54
30 1 1990 9.5 25.19 0.0 4.2
31 1 1990 11.09 28.3 0.0 4.13
1 2 1990 10.09 27.57 0.0 4.03
2 2 1990 8.54 25.16 0.0 4.38
3 2 1990 7.66 26.85 0.0 3.64
4 2 1990 9.78 27.4 0.0 4.68
5 2 1990 12.33 29.37 0.0 4.25
6 2 1990 14.18 28.64 0.0 3.51
7 2 1990 13.87 26.7 0.0 3.62
8 2 1990 14.78 30.33 0.01 3.58
9 2 1990 13.86 30.44 0.03 3.34
10 2 1990 15.65 28.52 0.38 3.41
11 2 1990 12.11 28.52 0.03 3.7
12 2 1990 16.47 30.5 0.39 4.4
13 2 1990 13.72 20.52 6.39 1.97
14 2 1990 10.55 24.66 0.94 3.07
15 2 1990 9.23 24.26 0.01 3.7
16 2 1990 7.76 24.93 0.08 3.65
17 2 1990 8.21 27.09 0.0 4.41
18 2 1990 9.1 22.66 6.56 3.07
19 2 1990 8.26 22.15 3.06 2.63
20 2 1990 11.74 22.88 0.02 3.33
21 2 1990 9.91 26.26 0.0 3.8
22 2 1990 10.43 26.76 0.0 3.9
23 2 1990 15.27 27.4 0.02 3.22
24 2 1990 11.04 26.86 0.31 3.77
25 2 1990 12.51 26.58 6.73 3.38
26 2 1990 13.54 27.25 0.36 3.64
27 2 1990 13.05 19.48 3.31 1.55
28 2 1990 10.71 23.84 22.73 2.98
1 3 1990 10.15 24.47 0.03 3.72
2 3 1990 7.33 23.92 0.0 4.47
3 3 1990 8.83 26.1 0.0 4.06
4 3 1990 11.04 27.51 0.0 3.92
5 3 1990 8.16 27.01 0.0 3.86
6 3 1990 9.52 27.27 0.0 4.91
7 3 1990 10.09 28.24 0.0 4.2
8 3 1990 13.19 30.87 0.0 4.34
9 3 1990 14.83 31.87 0.0 5.06
10 3 1990 16.21 32.76 0.0 5.25
11 3 1990 12.05 32.02 0.0 4.91
12 3 1990 11.92 29.9 0.0 4.99
13 3 1990 12.1 31.08 0.0 5.08
14 3 1990 15.02 33.31 0.0 4.92
15 3 1990 13.73 34.79 0.0 5.14
16 3 1990 14.74 35.89 0.0 5.47
17 3 1990 15.47 35.08 0.0 5.81
18 3 1990 14.55 36.19 0.0 5.84
19 3 1990 18.77 37.26 0.0 6.29
20 3 1990 16.9 36.33 0.0 7.58
21 3 1990 18.91 35.01 0.0 7.72
22 3 1990 19.21 32.23 0.0 8.33
23 3 1990 13.22 29.84 0.0 7.2
24 3 1990 12.69 29.87 0.0 5.08
25 3 1990 9.75 31.04 0.0 5.35
26 3 1990 13.65 30.29 0.0 5.47
27 3 1990 15.76 28.44 0.01 5.6
28 3 1990 12.82 30.16 0.0 5.21
29 3 1990 15.54 32.58 0.39 5.7
30 3 1990 14.54 32.67 0.0 7.33
31 3 1990 15.46 30.61 0.0 7.01
1 4 1990 14.45 32.38 0.0 7.02
2 4 1990 15.54 30.62 0.01 7.18
3 4 1990 15.87 34.08 0.0 7.01
4 4 1990 17.38 35.59 0.0 4.71
5 4 1990 16.33 36.97 0.0 7.66
6 4 1990 19.31 37.61 0.01 8.82
7 4 1990 19.13 37.53 0.57 6.45
8 4 1990 20.3 37.15 1.66 7.85
9 4 1990 18.77 36.09 0.11 8.33
10 4 1990 19.13 38.07 0.0 8.88
11 4 1990 20.33 39.48 0.0 8.16
12 4 1990 23.71 36.3 0.0 8.77
13 4 1990 21.82 37.89 0.0 8.69
14 4 1990 18.35 36.9 0.12 8.71
15 4 1990 19.32 38.9 0.0 7.74
16 4 1990 22.73 40.73 0.0 7.69
17 4 1990 23.13 40.88 0.0 10.1
18 4 1990 23.47 40.94 0.0 11.15
19 4 1990 23.74 41.18 0.0 10.31
20 4 1990 22.21 41.9 0.0 10.3
21 4 1990 22.66 40.94 0.0 9.94
22 4 1990 23.83 41.01 0.0 9.36
23 4 1990 24.12 42.02 0.0 11.11
24 4 1990 23.35 42.36 0.19 10.64
25 4 1990 25.58 42.84 0.0 9.86
26 4 1990 27.18 43.15 0.0 11.87
27 4 1990 27.35 41.9 0.0 9.74
28 4 1990 26.08 42.97 0.0 10.67
29 4 1990 21.43 41.81 0.0 8.75
30 4 1990 23.45 42.48 0.0 7.96
1 5 1990 22.26 40.06 0.0 6.02
2 5 1990 25.96 41.45 0.18 7.28
3 5 1990 24.57 40.99 0.67 7.63
4 5 1990 26.87 40.4 0.33 6.7
5 5 1990 24.44 41.33 10.72 6.94
6 5 1990 22.79 37.85 1.8 6.51
7 5 1990 22.98 37.92 1.04 7.4
8 5 1990 24.9 39.35 0.0 7.33
9 5 1990 25.14 40.22 0.0 8.27
10 5 1990 26.11 42.07 0.0 8.95
11 5 1990 27.65 42.76 0.0 8.76
12 5 1990 27.69 40.87 0.0 9.21
13 5 1990 27.79 40.62 0.0 7.43
14 5 1990 29.1 44.47 0.0 8.98
15 5 1990 28.91 44.31 0.12 10.78
16 5 1990 30.65 44.59 0.07 13.12
17 5 1990 29.58 44.3 0.01 12.63
18 5 1990 29.78 43.44 0.02 10.98
19 5 1990 29.22 42.71 0.0 12.1
20 5 1990 28.11 42.8 1.17 13.01
21 5 1990 28.01 42.33 0.23 12.68
22 5 1990 27.8 42.3 0.0 13.16
23 5 1990 28.75 42.81 0.0 12.09
24 5 1990 28.29 44.94 0.0 11.65
25 5 1990 29.6 45.04 0.0 11.15
26 5 1990 30.65 45.28 0.0 12.18
27 5 1990 30.09 44.37 0.0 14.16
28 5 1990 29.65 44.2 0.14 12.39
29 5 1990 30.35 44.35 0.22 9.98
30 5 1990 31.46 42.43 0.01 8.02
31 5 1990 28.51 41.27 0.26 6.4
1 6 1990 30.94 40.79 0.81 9.95
2 6 1990 28.09 41.67 0.33 11.25
3 6 1990 29.73 42.39 0.0 11.24
4 6 1990 29.15 41.28 0.0 10.32
5 6 1990 28.82 42.98 0.0 12.06
6 6 1990 28.37 42.33 0.0 12.16
7 6 1990 29.89 42.37 0.0 9.67
8 6 1990 29.37 43.15 6.6 10.13
9 6 1990 27.58 41.18 0.51 9.8
10 6 1990 29.17 41.69 0.0 11.09
11 6 1990 28.52 42.19 0.0 10.35
12 6 1990 27.8 41.08 0.53 8.96
13 6 1990 28.25 40.94 7.19 7.85
14 6 1990 27.68 40.53 0.01 8.52
15 6 1990 27.37 43.29 0.0 9.78
16 6 1990 28.44 44.08 0.0 8.4
17 6 1990 30.4 44.6 0.02 6.97
18 6 1990 31.11 45.62 0.06 10.3
19 6 1990 31.52 44.46 0.4 11.15
20 6 1990 30.55 44.7 0.9 10.56
21 6 1990 30.78 44.09 0.6 9.35
22 6 1990 31.04 42.26 0.48 10.5
23 6 1990 30.45 41.6 0.89 11.02
24 6 1990 31.25 41.88 0.4 11.74
25 6 1990 31.43 42.67 0.03 10.15
26 6 1990 31.34 44.37 0.0 10.23
27 6 1990 33.19 44.37 1.02 9.0
28 6 1990 31.78 41.91 5.52 8.63
29 6 1990 29.5 39.27 2.7 3.38
30 6 1990 29.07 36.36 12.26 5.88
1 7 1990 27.55 34.57 38.71 4.1
2 7 1990 26.31 30.08 16.23 3.71
3 7 1990 25.72 34.28 5.7 3.24
4 7 1990 26.22 32.85 45.32 2.81
5 7 1990 26.01 32.35 26.38 3.34
6 7 1990 24.37 32.62 9.02 3.12
7 7 1990 25.21 33.25 11.81 4.54
8 7 1990 25.56 33.48 1.56 3.61
9 7 1990 25.38 32.26 0.48 4.27
10 7 1990 24.43 33.92 0.35 4.16
