Day Month Year Tmin(C) Tmax(C) Prcp(mm) Et0(mm)
1 1 1990 5.72 24.16 0.0 2.87
2 1 1990 6.58 23.79 0.0 2.69
3 1 1990 6.9 24.37 0.0 2.68
4 1 1990 9.37 26.54 0.0 3.06
5 1 1990 7.26 25.68 0.0 3.15
6 1 1990 8.66 27.82 0.0 3.03
7 1 1990 8.18 26.9 0.0 3.11
8 1 1990 7.65 24.88 0.03 3.14
9 1 1990 6.05 25.26 0.0 3.37
10 1 1990 6.6 27.33 0.0 3.9
11 1 1990 9.15 28.76 0.0 4.06
12 1 1990 10.16 30.61 0.0 3.89
13 1 1990 11.59 30.44 0.0 3.91
14 1 1990 10.83 29.7 0.0 3.93
15 1 1990 8.65 27.28 0.0 4.04
16 1 1990 9.24 28.36 0.0 3.51
17 1 1990 11.76 31.06 0.0 4.16
18 1 1990 10.93 31.87 0.0 4.22
19 1 1990 10.62 31.1 0.0 5.17
20 1 1990 13.54 31.18 0.0 5.48
21 1 1990 13.0 31.12 0.0 4.04
22 1 1990 14.37 31.26 0.0 3.72
23 1 1990 11.9 31.05 0.0 4.36
24 1 1990 10.54 30.03 0.0 4.57
25 1 1990 12.03 31.87 0.0 4.59
26 1 1990 13.88 32.34 0.0 4.21
27 1 1990 13.01 33.39 0.0 5.49
28 1 1990 11.48 30.65 0.0 4.79
29 1 1990 9.19 25.79 0.0 4.4
30 1 1990 9.54 27.97 0.0 4.46
31 1 1990 10.78 30.25 0.0 4.01
1 2 1990 10.62 29.23 0.0 3.88
2 2 1990 8.4 26.59 0.0 4.35
3 2 1990 7.38 27.44 0.0 3.69
4 2 1990 8.9 28.51 0.0 4.46
5 2 1990 11.74 29.88 0.0 3.99
6 2 1990 16.16 28.58 0.0 3.08
7 2 1990 14.47 31.51 0.0 4.44
8 2 1990 15.55 33.25 0.0 4.55
9 2 1990 16.43 31.87 0.0 3.49
10 2 1990 16.48 30.63 3.36 4.24
11 2 1990 13.83 29.99 0.0 3.3
12 2 1990 16.76 29.94 0.01 3.29
13 2 1990 14.92 24.01 8.01 2.65
14 2 1990 12.03 25.87 1.41 3.26
15 2 1990 9.8 25.58 0.0 3.7
16 2 1990 8.0 25.62 0.83 3.59
17 2 1990 9.66 29.19 0.0 4.55
18 2 1990 11.1 22.76 9.03 2.99
19 2 1990 8.53 24.3 0.01 2.9
20 2 1990 12.23 24.15 0.03 3.48
21 2 1990 10.83 27.33 0.0 4.01
22 2 1990 10.09 27.87 0.0 3.99
23 2 1990 14.19 29.45 0.0 3.65
24 2 1990 12.68 28.69 0.11 3.82
25 2 1990 14.27 28.9 4.32 3.79
26 2 1990 12.74 29.15 0.43 3.53
27 2 1990 14.62 19.55 6.34 2.11
28 2 1990 14.33 25.04 16.95 2.98
1 3 1990 11.42 26.48 0.26 3.75
2 3 1990 8.93 25.27 0.0 4.45
3 3 1990 9.12 27.08 0.0 4.38
4 3 1990 13.46 28.64 0.0 3.93
5 3 1990 9.23 28.81 0.0 4.33
6 3 1990 9.78 29.13 0.0 4.86
7 3 1990 10.13 29.69 0.0 4.34
8 3 1990 13.8 31.7 0.0 4.62
9 3 1990 13.96 32.98 0.0 5.15
10 3 1990 15.35 34.8 0.0 5.07
11 3 1990 13.92 34.98 0.0 6.6
12 3 1990 15.15 31.58 0.0 5.1
13 3 1990 13.22 32.26 0.0 5.25
14 3 1990 16.25 33.8 0.05 5.04
15 3 1990 14.47 35.82 0.0 5.47
16 3 1990 15.16 36.55 0.0 5.82
17 3 1990 17.44 37.13 0.0 7.42
18 3 1990 18.05 38.55 0.0 7.08
19 3 1990 17.71 38.58 0.0 6.18
20 3 1990 17.08 37.42 0.0 7.28
21 3 1990 18.99 36.11 0.0 7.93
22 3 1990 21.82 34.73 0.0 8.65
23 3 1990 15.85 32.48 0.0 7.37
24 3 1990 12.19 30.53 0.0 5.59
25 3 1990 11.53 33.02 0.0 5.83
26 3 1990 14.17 32.69 0.0 5.22
27 3 1990 16.54 29.98 0.0 5.08
28 3 1990 13.89 32.16 0.01 5.07
29 3 1990 17.24 33.2 0.09 5.09
30 3 1990 16.91 34.44 0.03 7.89
31 3 1990 17.68 32.08 0.0 7.42
1 4 1990 14.64 33.19 0.0 7.18
2 4 1990 14.83 31.18 0.0 7.06
3 4 1990 16.07 34.72 0.0 6.83
4 4 1990 17.69 36.17 0.0 5.11
5 4 1990 17.05 37.58 0.0 7.78
6 4 1990 20.03 40.01 0.0 9.3
7 4 1990 19.65 38.76 0.18 6.49
8 4 1990 20.91 38.81 0.17 7.52
9 4 1990 19.85 37.39 0.39 9.29
10 4 1990 19.94 39.55 0.0 9.62
11 4 1990 21.79 40.87 0.0 7.53
12 4 1990 23.38 39.93 0.0 9.86
13 4 1990 23.63 39.67 0.0 9.14
14 4 1990 19.71 38.01 0.06 9.07
15 4 1990 19.76 39.4 0.0 8.12
16 4 1990 24.51 42.26 0.0 6.95
17 4 1990 24.55 42.94 0.0 8.96
18 4 1990 24.0 42.69 0.0 10.97
19 4 1990 24.4 42.32 0.0 10.6
