Day Month Year Tmin(C) Tmax(C) Prcp(mm) Et0(mm)
1 1 1990 10.24 28.63 0.06 3.79
2 1 1990 10.29 28.87 0.0 4.59
3 1 1990 10.36 29.8 0.0 4.81
4 1 1990 12.96 31.41 0.0 4.05
5 1 1990 15.33 31.74 0.0 4.63
6 1 1990 14.92 32.31 0.0 4.95
7 1 1990 12.47 31.68 0.01 4.57
8 1 1990 12.23 31.25 0.26 4.37
9 1 1990 12.6 30.81 0.0 4.39
10 1 1990 11.8 30.94 0.0 4.24
11 1 1990 11.72 32.03 0.0 4.1
12 1 1990 12.52 33.83 0.0 4.14
13 1 1990 14.55 33.64 0.0 5.05
14 1 1990 14.76 32.44 0.0 4.34
15 1 1990 13.06 31.12 0.0 4.4
16 1 1990 12.33 32.01 0.0 4.26
17 1 1990 12.06 33.22 0.0 4.78
18 1 1990 13.11 33.55 0.0 4.43
19 1 1990 13.01 33.35 0.0 4.99
20 1 1990 12.42 33.1 0.0 4.83
21 1 1990 13.94 33.37 0.0 4.42
22 1 1990 14.06 34.12 0.0 4.65
23 1 1990 15.23 34.92 0.0 4.76
24 1 1990 15.16 34.67 0.0 5.34
25 1 1990 14.31 35.3 0.0 5.52
26 1 1990 15.04 35.31 0.0 5.32
27 1 1990 15.91 34.03 0.0 5.83
28 1 1990 16.27 32.9 0.0 5.1
29 1 1990 13.65 32.76 0.0 5.41
30 1 1990 13.4 33.81 0.0 5.43
31 1 1990 15.85 33.15 0.0 5.83
1 2 1990 14.66 30.68 0.0 5.07
2 2 1990 12.19 30.33 0.0 5.5
3 2 1990 10.67 32.39 0.0 5.92
4 2 1990 11.75 32.81 0.0 5.4
5 2 1990 14.3 33.65 0.0 4.71
6 2 1990 15.83 35.69 0.0 5.14
7 2 1990 17.64 34.55 0.0 5.17
8 2 1990 19.08 31.87 0.0 4.41
9 2 1990 17.9 33.96 0.0 4.41
10 2 1990 19.15 33.99 0.67 5.21
11 2 1990 18.4 34.93 0.78 5.35
12 2 1990 21.38 35.72 0.42 5.43
13 2 1990 19.42 28.97 0.63 4.67
14 2 1990 14.98 30.32 0.0 4.73
15 2 1990 12.02 29.73 0.23 4.98
16 2 1990 11.06 30.06 0.0 4.67
17 2 1990 12.71 30.66 0.0 6.47
18 2 1990 11.29 28.47 0.0 5.14
19 2 1990 10.95 27.91 1.64 4.52
20 2 1990 11.45 29.06 0.0 4.55
21 2 1990 12.02 30.17 0.0 4.65
22 2 1990 12.94 31.17 0.0 4.95
23 2 1990 16.53 31.55 0.03 4.73
24 2 1990 16.47 31.06 0.29 5.33
25 2 1990 15.23 31.01 0.61 5.68
26 2 1990 13.82 31.49 0.01 5.8
27 2 1990 17.87 30.98 0.02 4.15
28 2 1990 15.48 30.02 0.25 5.62
1 3 1990 13.22 30.71 1.4 5.71
2 3 1990 11.21 29.35 0.0 5.47
3 3 1990 11.69 31.58 0.0 5.62
4 3 1990 11.12 32.59 0.0 6.04
5 3 1990 12.88 32.5 0.0 5.94
6 3 1990 13.88 32.83 0.0 7.6
7 3 1990 13.73 33.47 0.0 6.53
8 3 1990 13.29 34.97 0.0 6.07
9 3 1990 15.05 35.4 0.0 6.21
10 3 1990 16.39 36.37 0.0 6.57
11 3 1990 17.23 37.08 0.0 6.87
12 3 1990 17.03 36.05 0.0 6.35
13 3 1990 14.76 35.84 0.0 6.45
14 3 1990 16.65 37.9 0.0 6.44
15 3 1990 19.36 37.98 0.0 5.71
16 3 1990 20.39 38.28 0.0 5.63
17 3 1990 20.58 39.22 0.0 6.66
18 3 1990 21.67 40.12 0.0 7.27
19 3 1990 22.21 40.03 0.0 9.13
20 3 1990 21.22 37.03 0.0 8.61
21 3 1990 20.66 37.55 0.0 9.28
22 3 1990 19.97 36.18 0.0 9.19
23 3 1990 17.33 33.63 0.0 9.15
24 3 1990 13.73 33.21 0.0 5.95
25 3 1990 13.75 34.68 0.0 5.96
26 3 1990 17.49 34.42 0.0 7.25
27 3 1990 22.21 33.79 0.0 6.94
28 3 1990 21.91 34.54 0.02 6.31
29 3 1990 18.24 35.3 0.0 7.87
30 3 1990 19.85 36.13 0.0 6.5
31 3 1990 17.83 35.3 0.0 6.89
1 4 1990 17.44 36.62 0.0 7.49
2 4 1990 20.1 37.11 0.0 9.01
3 4 1990 20.02 38.13 0.0 7.26
4 4 1990 20.24 39.25 0.0 6.91
5 4 1990 21.36 40.33 0.0 7.02
6 4 1990 21.51 39.44 0.0 8.21
7 4 1990 22.29 39.45 0.0 8.12
8 4 1990 21.94 39.3 0.0 10.02
9 4 1990 20.32 39.1 0.0 5.97
10 4 1990 20.76 40.36 0.0 7.4
11 4 1990 21.24 40.97 0.0 8.78
12 4 1990 22.79 40.24 0.0 9.14
13 4 1990 24.76 39.78 0.0 8.78
14 4 1990 23.93 40.97 0.0 7.64
15 4 1990 23.27 41.12 0.0 6.86
16 4 1990 21.9 41.54 0.0 7.97
17 4 1990 22.15 42.46 0.0 9.23
18 4 1990 23.44 42.3 0.0 10.49
19 4 1990 23.3 42.15 0.0 10.77
20 4 1990 23.93 41.66 0.0 10.44
21 4 1990 21.07 40.97 0.0 9.71
22 4 1990 22.19 40.48 0.0 8.96
23 4 1990 23.39 41.62 0.0 9.06
24 4 1990 24.8 43.28 0.0 9.2
25 4 1990 24.73 43.69 0.0 9.23
26 4 1990 24.57 43.51 0.0 10.49
27 4 1990 24.65 43.32 0.0 9.63
28 4 1990 24.61 44.08 0.0 10.1
29 4 1990 25.43 43.58 0.0 9.68
30 4 1990 24.87 43.28 0.0 9.32
1 5 1990 25.21 40.55 0.0 9.02
2 5 1990 25.02 41.78 0.0 8.74
3 5 1990 26.15 41.94 0.14 9.52
4 5 1990 27.74 42.0 0.33 9.64
5 5 1990 27.65 43.23 0.12 9.02
6 5 1990 28.24 43.38 2.35 8.17
7 5 1990 29.77 44.39 0.0 10.65
8 5 1990 30.79 45.1 0.0 10.19
9 5 1990 30.64 45.95 0.0 8.46
10 5 1990 30.0 45.51 0.0 7.95
11 5 1990 30.08 44.73 2.11 8.73
12 5 1990 30.13 42.73 0.13 8.55
13 5 1990 30.8 43.28 0.25 11.73
14 5 1990 28.23 42.9 0.04 12.59
15 5 1990 27.48 41.9 0.21 11.27
16 5 1990 27.07 42.45 0.14 11.48
17 5 1990 27.07 41.73 0.0 10.61
18 5 1990 27.59 41.57 0.0 9.97
