Day Month Year Tmin(C) Tmax(C) Prcp(mm) Et0(mm)
1 1 1990 7.89 22.02 0.0 2.12
2 1 1990 7.94 22.24 0.0 2.37
3 1 1990 7.33 22.34 0.0 3.35
4 1 1990 6.31 23.31 0.0 2.72
5 1 1990 7.6 23.15 0.09 2.4
6 1 1990 9.88 21.56 0.39 2.07
7 1 1990 8.63 22.24 0.0 2.16
8 1 1990 6.17 20.99 0.36 2.3
9 1 1990 7.62 21.82 0.0 2.47
10 1 1990 9.8 24.72 0.0 2.9
11 1 1990 10.37 26.69 0.0 3.08
12 1 1990 13.62 27.73 0.0 2.17
13 1 1990 11.84 26.78 0.0 3.11
14 1 1990 8.84 25.55 0.0 3.27
15 1 1990 7.24 24.87 0.0 3.36
16 1 1990 11.26 25.95 0.0 2.93
17 1 1990 12.17 28.23 0.02 3.76
18 1 1990 9.52 27.61 0.01 3.4
19 1 1990 10.05 25.99 0.0 3.58
20 1 1990 11.58 26.57 0.12 3.52
21 1 1990 15.74 29.03 0.0 3.4
22 1 1990 11.9 27.02 0.0 3.58
23 1 1990 10.6 26.95 0.38 3.39
24 1 1990 11.19 27.9 0.0 3.57
25 1 1990 12.48 29.39 0.0 3.75
26 1 1990 11.99 28.77 0.0 3.8
27 1 1990 11.71 24.82 0.0 5.51
28 1 1990 6.8 24.2 0.0 4.05
29 1 1990 7.76 22.02 0.0 3.35
30 1 1990 7.41 23.66 0.0 3.04
31 1 1990 11.57 25.62 0.0 3.21
1 2 1990 8.34 24.94 0.0 3.39
2 2 1990 6.41 23.12 0.0 3.55
3 2 1990 9.54 25.15 0.0 2.8
4 2 1990 9.8 26.55 0.0 3.82
5 2 1990 13.26 28.9 0.0 3.59
6 2 1990 12.69 28.81 0.0 4.01
7 2 1990 15.9 29.3 0.02 4.65
8 2 1990 13.74 28.62 0.8 3.79
9 2 1990 12.75 28.9 0.01 3.35
10 2 1990 13.68 27.94 0.22 4.25
11 2 1990 13.34 26.85 0.79 3.43
12 2 1990 14.13 21.05 0.13 1.64
13 2 1990 13.1 21.54 7.89 2.1
14 2 1990 12.12 23.83 0.0 2.7
15 2 1990 8.34 23.83 0.18 3.12
16 2 1990 8.26 24.44 0.0 3.3
17 2 1990 10.9 23.66 0.0 3.7
18 2 1990 8.29 24.42 0.0 3.48
19 2 1990 8.82 21.96 14.75 2.73
20 2 1990 11.11 24.83 0.26 2.81
21 2 1990 11.88 26.62 0.0 3.54
22 2 1990 12.59 27.44 0.0 3.87
23 2 1990 14.23 29.53 0.0 4.53
24 2 1990 12.25 23.77 0.93 2.63
25 2 1990 13.1 24.73 1.42 2.95
26 2 1990 11.08 26.17 2.47 3.13
27 2 1990 11.85 23.19 6.92 3.16
28 2 1990 10.01 23.76 2.33 3.23
1 3 1990 8.59 23.18 0.11 3.73
2 3 1990 7.8 24.39 0.04 3.79
3 3 1990 10.09 27.3 0.0 4.17
4 3 1990 9.87 27.33 0.0 4.22
5 3 1990 9.46 26.36 0.0 4.1
6 3 1990 9.59 27.76 0.0 4.35
7 3 1990 11.11 30.27 0.0 4.57
8 3 1990 11.9 32.32 0.0 5.39
9 3 1990 12.68 33.01 0.0 5.41
10 3 1990 14.15 33.86 0.0 5.74
11 3 1990 15.72 31.9 0.03 5.61
12 3 1990 11.82 29.81 0.33 4.71
13 3 1990 13.4 32.34 0.0 4.82
14 3 1990 15.84 35.58 0.0 5.01
15 3 1990 15.93 36.69 0.0 6.14
16 3 1990 15.93 36.34 0.0 6.08
17 3 1990 17.3 36.75 0.0 6.6
18 3 1990 15.42 35.84 0.11 5.93
19 3 1990 16.08 34.81 5.88 5.15
20 3 1990 17.33 34.77 0.67 5.95
21 3 1990 19.4 27.1 1.92 3.96
22 3 1990 15.97 26.8 0.05 6.45
23 3 1990 9.54 26.92 3.61 5.23
24 3 1990 11.06 28.94 0.04 5.44
25 3 1990 9.73 29.38 0.0 4.96
26 3 1990 13.09 26.99 0.0 4.6
27 3 1990 12.93 27.38 0.0 4.49
28 3 1990 13.77 28.19 0.0 4.74
29 3 1990 13.76 30.46 2.31 4.58
30 3 1990 14.05 28.97 0.0 5.57
31 3 1990 13.28 29.93 0.39 4.82
1 4 1990 14.19 30.96 0.18 5.57
2 4 1990 16.54 29.08 0.26 4.97
3 4 1990 13.77 34.6 0.0 5.73
4 4 1990 18.24 36.65 0.23 5.56
