Day Month Year Tmin(C) Tmax(C) Prcp(mm) Et0(mm)
1 1 1990 6.92 21.7 0.0 2.27
2 1 1990 8.13 21.75 0.0 2.19
3 1 1990 6.55 21.9 0.0 2.89
4 1 1990 6.1 23.33 0.0 2.61
5 1 1990 7.48 23.05 0.01 2.5
6 1 1990 9.32 21.33 0.12 1.97
7 1 1990 8.64 21.96 0.0 2.13
8 1 1990 5.73 20.72 0.31 2.31
9 1 1990 6.11 21.68 0.0 2.58
10 1 1990 7.93 24.55 0.0 2.99
11 1 1990 9.37 26.53 0.0 3.17
12 1 1990 13.26 27.4 0.0 2.4
13 1 1990 11.03 26.8 0.0 3.05
14 1 1990 8.84 25.65 0.0 3.3
15 1 1990 6.44 24.71 0.0 3.53
16 1 1990 11.64 25.86 0.0 3.1
17 1 1990 12.47 28.23 0.01 3.56
18 1 1990 9.55 28.2 0.0 3.47
19 1 1990 9.98 26.27 0.0 3.73
20 1 1990 11.3 26.8 0.09 3.92
21 1 1990 15.43 28.88 0.0 3.22
22 1 1990 11.83 27.31 0.0 3.61
23 1 1990 9.97 26.73 0.24 3.48
24 1 1990 10.5 27.69 0.0 3.63
25 1 1990 12.79 29.31 0.0 3.7
26 1 1990 11.11 28.37 0.0 3.69
27 1 1990 11.23 26.05 0.0 5.61
28 1 1990 7.15 24.73 0.0 4.11
29 1 1990 7.74 22.22 0.01 3.48
30 1 1990 7.15 23.79 0.0 3.29
31 1 1990 11.57 25.64 0.0 3.17
1 2 1990 7.8 25.14 0.0 3.36
2 2 1990 6.28 22.98 0.0 3.61
3 2 1990 7.62 25.32 0.0 3.17
4 2 1990 9.02 26.48 0.0 3.96
5 2 1990 12.26 28.66 0.0 3.46
6 2 1990 11.48 28.12 0.0 3.9
7 2 1990 16.01 28.76 0.01 4.6
8 2 1990 14.02 28.57 1.06 4.2
9 2 1990 13.03 29.0 0.01 3.82
10 2 1990 13.48 27.87 0.45 4.19
11 2 1990 12.73 26.58 0.22 3.14
12 2 1990 14.05 21.7 0.29 1.81
13 2 1990 12.82 21.05 10.48 1.95
14 2 1990 11.05 23.65 0.01 2.81
15 2 1990 7.9 23.55 0.48 3.18
16 2 1990 7.0 24.01 0.01 3.31
17 2 1990 10.2 24.66 0.0 3.38
18 2 1990 9.01 23.48 0.0 2.77
19 2 1990 8.06 21.94 13.82 2.47
20 2 1990 10.77 24.57 0.19 2.94
21 2 1990 11.11 26.36 0.0 3.64
22 2 1990 12.55 27.3 0.0 3.54
23 2 1990 13.55 29.3 0.0 4.47
24 2 1990 12.52 26.29 0.93 3.08
25 2 1990 13.21 23.06 2.43 3.04
26 2 1990 10.4 26.15 0.48 3.13
27 2 1990 12.66 23.48 6.79 2.85
28 2 1990 10.39 24.05 4.31 3.13
1 3 1990 9.37 23.16 0.23 3.64
2 3 1990 7.0 23.84 0.13 3.7
3 3 1990 11.18 26.96 0.0 4.0
4 3 1990 9.82 27.03 0.0 4.13
5 3 1990 9.73 26.19 0.0 4.07
6 3 1990 8.56 27.4 0.0 4.34
7 3 1990 11.56 29.85 0.0 4.43
8 3 1990 12.19 31.91 0.0 4.88
9 3 1990 13.08 32.7 0.0 4.71
10 3 1990 13.28 33.53 0.0 5.26
11 3 1990 15.65 32.24 0.17 5.43
12 3 1990 12.29 29.62 0.29 4.5
13 3 1990 12.21 31.89 0.0 4.82
14 3 1990 16.2 34.76 0.0 4.52
15 3 1990 14.98 36.08 0.0 6.25
16 3 1990 15.32 35.89 0.0 6.08
17 3 1990 17.18 36.63 0.0 6.88
18 3 1990 16.93 36.12 0.01 5.37
19 3 1990 15.48 35.06 5.59 5.27
20 3 1990 16.65 34.77 1.99 5.79
21 3 1990 18.87 28.9 0.9 4.02
22 3 1990 15.08 27.04 1.3 6.27
23 3 1990 9.35 26.9 3.04 5.23
24 3 1990 11.19 28.75 0.08 5.34
25 3 1990 9.23 29.4 0.0 5.09
26 3 1990 13.51 27.41 0.0 4.79
27 3 1990 13.51 26.9 0.0 4.36
28 3 1990 13.54 28.21 0.0 4.77
29 3 1990 13.66 30.19 2.6 4.54
30 3 1990 15.29 29.28 0.2 5.79
31 3 1990 12.99 29.54 0.43 5.19
1 4 1990 13.4 31.07 0.01 5.44
2 4 1990 15.51 28.98 0.19 5.29
3 4 1990 13.01 34.37 0.0 6.09
4 4 1990 18.08 36.39 0.12 5.43
5 4 1990 17.3 38.28 0.0 8.04
6 4 1990 21.21 33.71 0.24 4.84
7 4 1990 18.32 35.94 0.01 5.92
8 4 1990 17.49 34.28 3.56 6.75
9 4 1990 17.65 35.45 0.0 6.78
10 4 1990 19.05 36.92 0.0 6.13
11 4 1990 20.71 38.72 0.0 7.47
12 4 1990 21.48 36.26 0.0 7.32
13 4 1990 19.04 35.42 0.0 7.19
14 4 1990 17.01 36.04 0.14 7.01
15 4 1990 20.8 38.71 0.0 5.88
16 4 1990 19.93 39.58 0.03 7.43
17 4 1990 21.44 39.73 0.03 7.3
18 4 1990 22.83 40.58 0.0 7.27
19 4 1990 21.07 40.48 0.0 7.88
20 4 1990 20.13 41.12 0.0 7.19
21 4 1990 20.99 40.75 0.0 6.43
22 4 1990 23.18 41.94 0.0 6.78
23 4 1990 21.76 42.05 0.0 8.72
24 4 1990 22.04 42.37 0.01 8.88
25 4 1990 24.97 43.48 0.0 8.3
26 4 1990 27.99 42.63 0.0 8.73
27 4 1990 24.33 42.82 0.0 7.12
28 4 1990 23.09 42.62 0.0 7.46
29 4 1990 21.84 41.28 0.0 6.51
30 4 1990 24.34 42.75 0.0 8.78
1 5 1990 24.3 37.58 0.0 8.23
2 5 1990 24.35 39.78 0.11 7.44
3 5 1990 25.35 40.91 0.0 6.39
4 5 1990 24.99 41.42 0.0 6.28
5 5 1990 26.26 41.94 0.01 8.85
6 5 1990 25.24 41.13 0.42 7.42
7 5 1990 26.8 39.19 0.84 5.58
8 5 1990 28.27 42.49 0.0 6.67
9 5 1990 27.39 43.93 0.14 7.11
10 5 1990 28.87 45.12 0.0 7.12
11 5 1990 28.91 44.3 0.0 8.28
12 5 1990 28.68 43.31 0.0 8.39
13 5 1990 29.31 43.12 0.0 8.2
14 5 1990 30.23 46.23 0.52 8.46
15 5 1990 30.84 46.22 0.0 8.97
16 5 1990 31.49 45.36 0.0 10.34
17 5 1990 30.15 46.32 0.56 12.24
18 5 1990 30.17 44.02 0.47 11.09
19 5 1990 29.37 43.85 0.21 10.72
20 5 1990 28.48 44.47 0.14 9.89
21 5 1990 27.55 44.05 0.38 11.23
22 5 1990 26.9 43.85 0.09 10.59
23 5 1990 25.97 45.34 0.0 10.45
24 5 1990 27.8 45.75 0.0 11.79
25 5 1990 30.58 45.54 0.0 13.52
26 5 1990 30.47 45.44 0.0 13.17
27 5 1990 29.87 45.9 0.0 13.09
28 5 1990 31.43 45.55 0.0 12.85
29 5 1990 31.23 43.89 0.02 8.25
30 5 1990 31.65 44.15 0.02 8.03
31 5 1990 30.92 42.07 0.06 8.36
1 6 1990 26.9 40.23 9.13 8.82
2 6 1990 28.34 42.15 0.0 10.21
3 6 1990 28.44 43.72 0.0 10.79
4 6 1990 26.75 43.44 0.0 9.62
5 6 1990 27.85 44.45 0.0 11.17
