Day Month Year Tmin(C) Tmax(C) Prcp(mm) Et0(mm)
1 1 1990 6.26 23.19 0.0 3.1
2 1 1990 7.54 23.03 0.0 2.91
3 1 1990 6.9 23.11 0.0 3.45
4 1 1990 7.38 25.17 0.0 3.16
5 1 1990 7.95 24.87 0.0 3.02
6 1 1990 8.45 25.91 0.0 3.46
7 1 1990 7.88 25.38 0.0 3.08
8 1 1990 8.15 23.83 0.0 3.4
9 1 1990 6.27 23.93 0.0 3.37
10 1 1990 7.05 25.87 0.0 3.49
11 1 1990 9.35 27.15 0.0 3.92
12 1 1990 11.57 29.17 0.0 3.51
13 1 1990 13.51 28.7 0.0 4.13
14 1 1990 11.12 28.15 0.0 3.99
15 1 1990 8.12 25.78 0.0 4.18
16 1 1990 10.94 27.67 0.0 3.27
17 1 1990 12.19 29.59 0.0 3.76
18 1 1990 11.15 30.15 0.0 3.81
19 1 1990 11.11 28.32 0.0 4.77
20 1 1990 12.49 28.65 0.0 5.24
21 1 1990 13.05 29.6 0.0 3.84
22 1 1990 14.51 29.94 0.0 3.89
23 1 1990 12.55 29.15 0.0 4.69
24 1 1990 10.92 28.47 0.0 4.59
25 1 1990 13.5 30.56 0.0 4.06
26 1 1990 14.21 30.76 0.0 4.3
27 1 1990 12.87 30.53 0.0 6.15
28 1 1990 9.61 27.39 0.0 4.87
29 1 1990 9.25 23.91 0.0 4.49
30 1 1990 9.07 24.45 0.0 4.07
31 1 1990 11.45 27.67 0.0 4.21
1 2 1990 9.59 26.46 0.0 4.05
2 2 1990 7.87 24.32 0.0 4.26
3 2 1990 7.65 26.41 0.0 3.58
4 2 1990 9.55 26.62 0.0 4.59
5 2 1990 12.12 28.9 0.0 4.04
6 2 1990 14.05 28.44 0.0 3.86
7 2 1990 14.39 26.24 0.0 3.92
8 2 1990 14.98 30.09 0.03 3.49
9 2 1990 15.12 30.09 0.02 3.28
10 2 1990 14.91 28.32 0.11 4.0
11 2 1990 12.58 28.54 0.01 4.28
12 2 1990 15.98 30.44 0.71 4.11
13 2 1990 13.67 20.95 5.17 2.17
14 2 1990 10.43 24.15 0.65 3.19
15 2 1990 9.05 23.78 0.07 3.67
16 2 1990 7.6 24.61 0.02 3.72
17 2 1990 8.7 26.44 0.0 5.13
18 2 1990 8.45 23.6 0.91 3.43
19 2 1990 8.69 21.69 8.3 2.68
20 2 1990 11.93 22.98 0.04 3.57
21 2 1990 10.07 26.05 0.0 3.76
22 2 1990 10.93 26.58 0.0 3.95
23 2 1990 15.9 26.88 0.1 3.86
24 2 1990 11.54 26.79 0.94 4.16
25 2 1990 12.62 25.84 6.16 3.65
26 2 1990 13.17 26.6 0.82 3.69
27 2 1990 12.9 19.44 1.89 1.68
28 2 1990 10.89 23.43 18.17 2.77
1 3 1990 10.69 24.49 0.03 4.11
2 3 1990 7.3 23.52 0.0 4.59
3 3 1990 9.64 26.04 0.0 4.15
4 3 1990 11.48 27.44 0.0 4.11
5 3 1990 8.76 27.0 0.0 4.05
6 3 1990 9.76 26.66 0.0 5.05
7 3 1990 10.9 28.04 0.0 4.07
8 3 1990 13.52 30.86 0.0 4.41
9 3 1990 14.46 31.62 0.0 5.11
10 3 1990 17.21 32.65 0.0 5.21
11 3 1990 14.08 32.66 0.0 5.01
12 3 1990 12.64 30.06 0.0 5.35
13 3 1990 12.19 30.95 0.0 5.53
14 3 1990 15.98 33.56 0.0 5.15
15 3 1990 14.71 35.29 0.0 5.49
16 3 1990 16.39 35.89 0.0 5.88
17 3 1990 16.83 34.8 0.0 5.69
18 3 1990 16.28 35.9 0.0 5.38
19 3 1990 18.8 36.53 0.0 6.62
20 3 1990 16.89 35.6 0.0 7.67
21 3 1990 18.88 34.25 0.0 7.64
22 3 1990 17.51 31.01 0.0 8.1
23 3 1990 12.1 28.4 0.0 6.74
24 3 1990 13.13 29.37 0.0 5.16
25 3 1990 10.99 30.38 0.0 5.35
26 3 1990 14.73 29.76 0.0 6.12
27 3 1990 15.63 27.72 0.0 5.36
28 3 1990 13.32 29.65 0.0 5.55
29 3 1990 15.77 31.94 0.39 6.13
30 3 1990 14.15 31.25 0.0 7.14
31 3 1990 14.55 29.83 0.0 6.37
1 4 1990 14.4 31.82 0.0 6.92
2 4 1990 15.48 30.2 0.1 6.81
3 4 1990 15.85 33.55 0.0 6.84
4 4 1990 17.48 35.28 0.07 5.19
5 4 1990 16.15 36.87 0.0 7.73
6 4 1990 18.9 36.51 0.03 8.25
7 4 1990 19.44 36.92 0.1 6.7
8 4 1990 19.4 36.08 2.24 8.16
9 4 1990 18.4 35.47 0.01 7.99
10 4 1990 18.98 37.56 0.0 8.41
11 4 1990 19.94 38.69 0.0 8.61
12 4 1990 23.27 34.58 0.0 8.12
13 4 1990 21.01 36.75 0.0 8.59
14 4 1990 17.91 36.23 0.03 8.35
15 4 1990 19.52 38.48 0.0 7.49
16 4 1990 21.15 39.98 0.0 7.88
17 4 1990 23.24 40.15 0.0 10.23
18 4 1990 22.4 40.09 0.0 10.82
19 4 1990 23.38 40.37 0.0 10.28
20 4 1990 22.02 41.2 0.0 9.96
21 4 1990 23.04 40.29 0.0 9.91
22 4 1990 23.51 40.33 0.0 9.44
23 4 1990 23.62 41.13 0.0 10.35
24 4 1990 22.93 41.39 0.05 10.23
25 4 1990 24.45 41.97 0.0 9.59
26 4 1990 26.94 42.21 0.0 11.93
27 4 1990 26.63 41.24 0.0 9.62
28 4 1990 24.14 42.17 0.0 10.77
29 4 1990 21.3 41.31 0.0 8.34
30 4 1990 22.55 41.87 0.0 7.66
1 5 1990 23.65 39.51 0.0 5.59
2 5 1990 26.21 41.47 0.0 7.8
3 5 1990 24.6 40.49 0.72 8.22
4 5 1990 25.21 40.19 0.43 7.09
5 5 1990 24.0 41.07 8.43 5.8
6 5 1990 23.01 37.94 0.34 6.93
7 5 1990 23.68 38.69 0.54 7.79
8 5 1990 25.88 40.07 0.0 7.55
9 5 1990 25.94 40.93 0.0 8.8
10 5 1990 26.67 42.33 0.0 9.67
11 5 1990 27.93 42.73 0.0 9.4
12 5 1990 28.13 41.11 0.0 9.28
13 5 1990 28.28 40.81 0.0 7.66
