Day Month Year Tmin(C) Tmax(C) Prcp(mm) Et0(mm)
1 1 1990 8.11 22.99 0.0 3.32
2 1 1990 9.76 24.45 0.0 3.1
3 1 1990 10.8 24.57 0.01 3.6
4 1 1990 12.08 25.05 0.02 3.38
5 1 1990 10.23 24.74 0.47 3.82
6 1 1990 10.29 24.08 0.0 3.79
7 1 1990 9.69 23.41 0.02 3.52
8 1 1990 8.41 22.27 0.24 2.91
9 1 1990 8.51 23.38 0.0 2.92
10 1 1990 10.55 26.3 0.0 3.04
11 1 1990 13.97 28.89 0.0 3.7
12 1 1990 14.84 29.39 0.0 4.18
13 1 1990 12.96 27.31 0.0 3.68
14 1 1990 10.58 26.63 0.0 3.5
15 1 1990 11.16 27.7 0.0 4.24
16 1 1990 13.11 28.71 0.0 4.67
17 1 1990 14.65 29.76 0.0 5.13
18 1 1990 11.89 27.25 0.0 4.69
19 1 1990 10.96 26.65 0.14 4.07
20 1 1990 14.91 28.9 0.01 3.14
21 1 1990 16.63 27.72 0.01 4.42
22 1 1990 16.1 28.87 0.01 4.11
23 1 1990 13.77 29.69 0.0 3.91
24 1 1990 15.38 30.56 0.0 4.52
25 1 1990 13.43 30.25 0.0 5.17
26 1 1990 15.0 31.27 0.0 6.05
27 1 1990 11.65 24.46 0.0 6.14
28 1 1990 6.64 23.37 0.0 4.64
29 1 1990 10.96 24.47 0.0 4.67
30 1 1990 11.78 25.2 0.0 4.34
31 1 1990 11.9 25.73 0.0 5.5
1 2 1990 6.43 23.45 0.0 4.26
2 2 1990 8.67 25.12 0.0 3.78
3 2 1990 9.79 26.83 0.0 3.93
4 2 1990 12.47 27.87 0.0 4.34
5 2 1990 14.6 30.8 0.0 4.45
6 2 1990 19.25 32.05 0.0 5.81
7 2 1990 19.05 32.12 0.0 5.88
8 2 1990 16.92 29.18 0.0 5.18
9 2 1990 15.38 26.74 0.0 4.28
10 2 1990 14.17 28.71 0.0 5.31
11 2 1990 15.98 26.73 0.05 4.52
12 2 1990 15.46 22.68 0.18 3.55
13 2 1990 12.23 23.9 4.0 3.15
14 2 1990 11.8 24.57 0.0 3.36
15 2 1990 10.53 24.55 0.0 4.31
16 2 1990 9.98 24.74 0.0 3.43
17 2 1990 10.32 24.22 0.86 5.73
18 2 1990 7.33 24.03 0.0 4.03
19 2 1990 9.53 23.08 7.69 3.69
20 2 1990 10.95 24.91 0.0 3.55
21 2 1990 12.19 27.36 0.0 3.89
22 2 1990 14.45 28.45 0.0 4.91
23 2 1990 15.7 29.99 0.04 4.45
24 2 1990 16.1 27.41 5.8 4.01
25 2 1990 13.96 26.91 0.44 3.95
26 2 1990 13.97 26.71 0.29 4.73
27 2 1990 14.78 24.57 0.03 4.99
28 2 1990 9.47 25.69 0.0 4.31
1 3 1990 9.69 24.9 0.01 4.64
2 3 1990 13.0 26.21 0.0 4.04
3 3 1990 10.38 28.69 0.0 5.94
4 3 1990 11.59 28.19 0.0 4.43
5 3 1990 12.79 28.65 0.0 5.34
6 3 1990 13.0 29.58 0.0 4.99
7 3 1990 14.1 30.87 0.0 4.99
8 3 1990 14.24 33.05 0.0 6.53
9 3 1990 13.81 33.44 0.0 5.72
10 3 1990 16.32 34.32 0.0 8.13
