Day Month Year Tmin(C) Tmax(C) Prcp(mm) Et0(mm)
1 1 1990 8.65 26.58 0.0 3.72
2 1 1990 8.75 27.26 0.0 3.5
3 1 1990 9.72 27.73 0.0 3.61
4 1 1990 11.23 28.73 0.0 4.28
5 1 1990 10.89 29.32 0.0 4.08
6 1 1990 13.69 29.01 0.0 3.89
7 1 1990 10.09 27.5 0.0 4.21
8 1 1990 8.8 27.15 0.0 3.77
9 1 1990 8.9 28.15 0.0 3.78
10 1 1990 9.58 29.98 0.0 3.94
11 1 1990 12.56 30.94 0.0 4.12
12 1 1990 14.37 32.5 0.0 3.96
13 1 1990 16.51 31.0 0.0 4.6
14 1 1990 13.05 29.23 0.0 3.73
15 1 1990 10.68 29.4 0.0 3.97
16 1 1990 12.37 31.0 0.0 4.09
17 1 1990 15.13 32.12 0.0 4.06
18 1 1990 15.61 31.86 0.0 3.89
19 1 1990 12.57 31.04 0.0 4.44
20 1 1990 11.68 30.51 0.0 4.0
21 1 1990 15.76 30.77 0.0 3.81
22 1 1990 16.62 32.16 0.0 3.88
23 1 1990 14.42 33.09 0.0 4.14
24 1 1990 15.07 32.92 0.0 4.55
25 1 1990 15.45 33.4 0.0 5.19
26 1 1990 17.98 33.09 0.0 5.16
27 1 1990 14.54 29.8 0.0 4.95
28 1 1990 13.2 29.36 0.0 4.44
29 1 1990 11.48 28.46 0.0 5.13
30 1 1990 11.29 31.45 0.0 5.05
31 1 1990 15.03 29.39 0.0 4.9
1 2 1990 10.08 26.8 0.0 4.04
2 2 1990 8.86 27.48 0.0 4.64
3 2 1990 9.4 30.51 0.0 4.71
4 2 1990 11.52 30.4 0.0 5.21
5 2 1990 14.26 31.89 0.0 4.57
6 2 1990 17.43 33.37 0.0 4.08
7 2 1990 19.62 33.87 0.0 4.63
8 2 1990 19.53 30.03 0.0 2.98
9 2 1990 15.95 28.85 0.0 3.04
10 2 1990 16.48 31.26 0.0 4.6
11 2 1990 16.59 32.23 0.03 5.15
12 2 1990 18.71 32.87 0.03 3.98
13 2 1990 16.07 26.33 1.44 3.41
14 2 1990 12.72 27.73 0.0 4.19
15 2 1990 10.01 27.19 0.0 4.58
16 2 1990 9.56 27.45 0.0 4.45
17 2 1990 11.96 28.32 0.47 6.58
18 2 1990 7.75 24.58 0.0 3.28
19 2 1990 9.2 25.43 2.27 4.09
20 2 1990 9.84 26.37 0.0 3.79
21 2 1990 11.54 28.63 0.0 4.33
22 2 1990 14.98 29.5 0.0 4.73
23 2 1990 15.84 29.98 0.41 4.8
24 2 1990 15.46 29.34 4.9 4.86
25 2 1990 13.65 27.84 2.31 4.54
26 2 1990 14.85 28.47 0.0 4.45
27 2 1990 14.18 20.21 0.11 2.97
28 2 1990 11.94 28.13 0.81 4.62
1 3 1990 9.01 27.05 0.49 4.73
2 3 1990 9.65 26.52 0.0 4.89
3 3 1990 10.62 29.68 0.0 4.74
4 3 1990 12.82 30.81 0.0 4.79
5 3 1990 12.19 30.2 0.0 5.41
6 3 1990 11.64 30.49 0.0 6.49
7 3 1990 12.42 31.88 0.0 5.68
8 3 1990 14.55 33.56 0.0 5.15
9 3 1990 15.01 33.3 0.0 5.32
10 3 1990 16.26 34.24 0.0 5.73
11 3 1990 15.7 35.57 0.0 6.28
12 3 1990 14.64 33.06 0.0 7.11
13 3 1990 14.69 34.73 0.0 5.66
14 3 1990 18.74 36.78 0.0 6.48
15 3 1990 16.29 37.28 0.0 5.9
16 3 1990 17.65 37.23 0.0 5.94
17 3 1990 19.59 35.99 0.0 6.34
18 3 1990 20.92 37.87 0.0 6.2
19 3 1990 20.87 37.22 0.0 7.85
20 3 1990 18.23 33.11 0.0 7.28
21 3 1990 19.32 33.25 0.0 8.23
22 3 1990 19.11 30.21 0.0 6.94
23 3 1990 10.81 29.76 0.0 7.11
24 3 1990 14.52 31.64 0.0 5.96
25 3 1990 14.74 33.6 0.0 5.62
26 3 1990 18.12 30.71 0.0 5.44
27 3 1990 19.51 30.48 0.0 5.5
28 3 1990 18.9 32.76 0.0 5.13
29 3 1990 16.94 32.37 0.0 7.22
30 3 1990 15.99 33.28 0.0 6.73
31 3 1990 17.02 33.12 0.0 7.19
1 4 1990 18.31 35.46 0.0 7.68
2 4 1990 18.71 34.26 0.03 7.31
3 4 1990 21.87 36.58 0.0 6.25
4 4 1990 19.04 38.3 0.02 6.32
5 4 1990 20.78 39.08 0.0 6.46
6 4 1990 20.65 38.06 0.01 7.88
7 4 1990 20.51 38.06 0.29 7.88
8 4 1990 18.19 37.44 0.0 8.14
9 4 1990 21.62 37.83 0.0 6.46
10 4 1990 21.04 38.89 0.0 7.95
11 4 1990 21.62 39.44 0.0 8.26
12 4 1990 23.04 36.07 0.0 8.13
13 4 1990 20.94 38.3 0.0 7.68
14 4 1990 21.04 39.25 0.0 7.27
15 4 1990 20.05 40.18 0.0 8.29
16 4 1990 20.99 40.05 0.0 8.52
17 4 1990 21.29 40.6 0.0 8.61
18 4 1990 21.97 40.72 0.0 10.23
19 4 1990 22.24 40.91 0.0 9.57
20 4 1990 22.08 41.29 0.0 10.83
21 4 1990 20.77 40.4 0.0 9.47
22 4 1990 21.96 40.12 0.0 8.93
23 4 1990 22.53 40.85 0.0 8.34
24 4 1990 22.48 41.55 0.0 8.88
25 4 1990 22.47 42.0 0.0 8.06
26 4 1990 25.23 39.42 0.0 9.66
27 4 1990 23.79 41.92 0.0 8.59
28 4 1990 24.98 43.4 0.0 9.93
29 4 1990 23.41 43.46 0.0 7.89
30 4 1990 24.14 42.17 0.0 8.99
1 5 1990 25.3 41.05 0.0 9.04
2 5 1990 25.1 41.05 0.0 8.57
3 5 1990 25.98 41.45 0.0 9.19
4 5 1990 26.57 41.67 0.11 10.02
5 5 1990 26.55 42.49 0.0 8.62
6 5 1990 27.13 42.33 1.05 8.91
7 5 1990 26.66 43.23 0.0 9.81
8 5 1990 26.6 43.76 0.0 8.02
9 5 1990 28.2 45.07 0.0 7.12
10 5 1990 29.65 45.55 0.0 6.89
11 5 1990 30.38 46.28 0.0 6.82
12 5 1990 31.08 44.86 0.0 8.18
13 5 1990 30.26 44.61 0.0 10.97
14 5 1990 27.66 43.0 0.0 12.95
15 5 1990 26.65 42.11 0.0 11.97
16 5 1990 25.04 42.09 0.0 11.58
17 5 1990 25.08 41.41 0.0 10.66
18 5 1990 24.98 41.02 0.0 9.96
19 5 1990 24.8 40.6 0.0 10.65
20 5 1990 24.73 40.98 0.0 9.97
21 5 1990 24.76 41.01 0.0 9.17
22 5 1990 24.61 41.84 0.0 9.78
23 5 1990 26.03 41.65 0.0 9.83
24 5 1990 28.98 42.31 0.0 9.85
25 5 1990 29.44 42.3 0.0 9.8
26 5 1990 28.82 43.02 0.02 11.02
27 5 1990 27.28 40.04 0.01 10.74
28 5 1990 26.74 40.55 0.0 10.71
29 5 1990 27.65 40.92 0.17 9.49
30 5 1990 28.54 41.26 0.02 8.23
31 5 1990 29.08 38.05 9.34 6.56
1 6 1990 27.72 36.0 4.25 7.26
2 6 1990 26.94 37.11 0.43 7.56
3 6 1990 26.6 40.72 0.01 9.91
4 6 1990 25.86 41.56 0.05 10.24
5 6 1990 25.8 40.83 0.0 10.22
6 6 1990 26.35 40.24 0.0 10.14
7 6 1990 26.48 40.34 0.07 9.83
8 6 1990 27.1 40.86 0.0 9.34
9 6 1990 26.83 40.08 0.0 9.86
10 6 1990 26.94 40.51 0.0 10.17
11 6 1990 27.12 41.14 0.0 10.01
12 6 1990 27.32 40.33 0.0 9.73
13 6 1990 27.23 40.26 1.29 8.88
14 6 1990 27.82 41.2 0.53 8.38
15 6 1990 28.23 42.3 0.0 9.0
16 6 1990 29.02 42.4 0.0 9.95
17 6 1990 27.75 43.33 0.0 10.14
18 6 1990 28.14 43.42 0.11 11.59
19 6 1990 27.48 42.69 0.15 11.0
20 6 1990 27.6 42.34 0.01 10.9
21 6 1990 27.87 40.51 0.01 9.69
22 6 1990 26.69 39.66 0.0 9.79
23 6 1990 27.08 40.08 0.17 10.55
24 6 1990 27.06 39.62 0.29 9.95
25 6 1990 27.43 40.34 0.03 9.29
26 6 1990 28.63 38.96 0.02 8.29
27 6 1990 30.05 42.46 0.0 9.62
28 6 1990 29.91 40.48 0.01 9.02
29 6 1990 30.62 37.94 0.08 8.71
30 6 1990 28.12 34.25 0.14 6.91
1 7 1990 27.23 39.9 0.04 8.0
2 7 1990 28.44 38.19 0.04 8.45
3 7 1990 28.4 37.22 1.29 5.91
4 7 1990 27.55 33.58 11.75 4.16
5 7 1990 26.91 30.83 19.04 2.47
6 7 1990 25.72 30.77 6.06 2.81
7 7 1990 25.3 35.81 4.57 5.39
8 7 1990 25.52 34.87 0.88 6.61
9 7 1990 25.68 34.68 0.11 6.94
10 7 1990 25.37 34.93 0.05 5.86
11 7 1990 25.8 37.56 0.0 7.75
12 7 1990 25.45 37.03 0.01 7.6
13 7 1990 25.18 37.58 0.02 7.65
14 7 1990 25.45 37.55 0.0 6.83
15 7 1990 25.97 35.15 0.0 6.4
16 7 1990 26.07 36.33 0.05 6.09
17 7 1990 26.5 34.23 1.14 6.03
18 7 1990 26.05 35.99 0.11 7.56
19 7 1990 26.17 36.05 0.41 6.96
20 7 1990 25.98 37.34 1.1 7.19
21 7 1990 25.5 37.94 0.72 7.2
22 7 1990 25.67 37.84 0.02 6.93
23 7 1990 26.33 38.9 0.0 7.85
24 7 1990 27.81 38.17 0.36 7.77
25 7 1990 26.91 37.08 0.05 7.77
26 7 1990 26.12 34.53 25.39 6.42
27 7 1990 24.62 35.3 3.69 6.14
28 7 1990 24.74 36.72 0.01 6.83
29 7 1990 24.95 36.95 0.0 6.81
30 7 1990 25.13 36.98 0.02 5.96
31 7 1990 25.32 36.72 0.09 6.96
1 8 1990 25.44 36.42 0.07 6.54
2 8 1990 26.28 36.12 0.2 6.24
3 8 1990 26.16 36.09 2.75 2.37
4 8 1990 26.74 36.12 0.86 5.92
5 8 1990 25.79 31.19 2.86 2.92
6 8 1990 24.63 31.05 29.44 3.39
7 8 1990 24.23 34.41 11.29 5.23
8 8 1990 24.3 35.13 3.14 5.19
9 8 1990 25.28 34.03 1.77 3.23
10 8 1990 26.06 34.91 6.36 4.44
11 8 1990 26.19 34.43 6.59 5.96
12 8 1990 25.65 35.18 0.21 7.02
13 8 1990 24.9 36.03 0.0 6.0
14 8 1990 24.7 35.87 0.12 4.17
15 8 1990 25.39 36.74 0.04 5.7
16 8 1990 26.01 37.45 0.03 6.52
17 8 1990 26.81 34.58 5.98 5.12
18 8 1990 26.29 33.92 17.52 4.44
19 8 1990 25.81 37.03 2.47 4.11
20 8 1990 26.32 34.32 1.23 3.6
21 8 1990 25.83 34.04 20.01 4.65
22 8 1990 25.16 34.33 0.96 3.09
23 8 1990 25.76 32.12 16.96 5.23
24 8 1990 25.51 31.25 14.01 4.84
25 8 1990 25.55 30.87 21.75 3.16
26 8 1990 24.73 31.96 10.24 3.49
27 8 1990 24.22 32.44 4.35 3.65
28 8 1990 24.08 33.56 4.49 3.9
29 8 1990 24.48 30.96 0.44 4.45
30 8 1990 23.62 32.05 2.92 2.66
31 8 1990 24.76 32.85 9.01 4.2
1 9 1990 24.94 31.63 17.01 2.72
2 9 1990 24.73 30.2 32.58 3.68
3 9 1990 23.32 31.56 6.32 3.52
4 9 1990 23.66 32.04 0.96 4.46
5 9 1990 23.43 33.67 0.42 4.34
6 9 1990 24.74 34.5 4.18 5.33
7 9 1990 24.76 31.52 7.32 4.37
8 9 1990 24.58 31.39 3.46 4.86
9 9 1990 24.48 31.67 4.48 4.69
10 9 1990 23.97 32.5 1.08 4.86
11 9 1990 23.51 32.3 0.1 4.87
12 9 1990 22.29 32.09 0.03 4.82
13 9 1990 21.88 31.94 0.02 4.52
14 9 1990 21.91 32.41 0.97 4.54
15 9 1990 22.26 33.57 0.17 4.51
16 9 1990 22.76 31.65 0.02 4.6
17 9 1990 22.35 32.82 0.01 4.89
18 9 1990 21.33 32.06 0.09 4.81
19 9 1990 21.19 31.54 0.12 4.25
20 9 1990 22.34 32.67 0.32 3.03
21 9 1990 23.49 33.01 0.9 4.71
22 9 1990 23.17 35.26 0.02 4.76
23 9 1990 23.4 35.82 1.53 4.83
24 9 1990 23.57 34.71 2.61 4.84
25 9 1990 23.61 34.83 0.1 4.29
26 9 1990 24.06 34.58 2.93 4.32
27 9 1990 24.04 34.24 11.23 4.72
28 9 1990 23.23 33.54 0.33 4.59
29 9 1990 22.71 33.39 0.36 4.63
30 9 1990 22.83 33.01 0.13 4.47
1 10 1990 22.52 33.5 1.35 3.94
2 10 1990 22.03 33.87 3.32 4.37
3 10 1990 21.64 34.83 0.36 4.92
4 10 1990 21.34 35.19 0.4 5.03
5 10 1990 20.18 35.83 0.12 5.27
6 10 1990 19.58 35.76 0.0 5.07
7 10 1990 18.51 35.98 0.0 5.18
8 10 1990 17.86 35.87 0.0 4.92
9 10 1990 20.73 36.08 0.0 4.5
10 10 1990 22.4 36.46 0.0 3.99
11 10 1990 23.1 36.85 0.0 4.52
12 10 1990 21.51 35.01 0.0 4.55
13 10 1990 21.9 35.4 0.0 4.98
14 10 1990 19.73 35.88 0.0 5.07
15 10 1990 19.12 35.89 0.0 4.88
16 10 1990 18.15 36.49 0.0 5.14
17 10 1990 18.53 35.87 0.0 5.65
18 10 1990 17.76 35.09 0.0 5.35
19 10 1990 17.79 33.51 0.0 4.39
20 10 1990 13.55 33.57 0.0 4.8
21 10 1990 14.05 33.65 0.0 5.26
22 10 1990 15.67 34.09 0.0 4.63
23 10 1990 19.82 33.98 0.0 4.07
24 10 1990 20.32 34.03 0.0 4.03
25 10 1990 19.15 34.05 0.0 4.37
26 10 1990 19.67 34.65 0.0 4.58
27 10 1990 17.98 34.15 0.0 4.63
28 10 1990 19.53 35.06 0.0 4.1
