Day Month Year Tmin(C) Tmax(C) Prcp(mm) Et0(mm)
1 1 1990 8.83 26.43 0.78 3.59
2 1 1990 8.29 26.67 0.0 3.99
3 1 1990 8.37 27.66 0.0 3.96
4 1 1990 10.52 28.5 0.0 3.33
5 1 1990 12.28 28.61 0.0 4.21
6 1 1990 11.6 30.76 0.0 4.04
7 1 1990 13.01 29.93 0.19 3.86
8 1 1990 10.09 29.05 0.83 3.88
9 1 1990 9.83 27.93 0.0 3.91
10 1 1990 9.31 27.93 0.0 3.62
11 1 1990 9.51 28.05 0.0 3.48
12 1 1990 12.23 31.28 0.0 3.4
13 1 1990 12.02 32.15 0.0 4.67
14 1 1990 11.67 30.81 0.0 4.53
15 1 1990 9.26 27.69 0.0 3.94
16 1 1990 11.58 29.34 0.0 3.81
17 1 1990 11.14 31.36 0.0 3.54
18 1 1990 13.44 32.48 0.0 3.68
19 1 1990 11.93 30.55 0.0 4.6
20 1 1990 11.38 30.69 0.0 4.65
21 1 1990 12.79 31.15 0.0 3.75
22 1 1990 14.83 32.52 0.0 3.74
23 1 1990 13.84 32.49 0.0 4.07
24 1 1990 11.96 31.28 0.0 4.6
25 1 1990 14.33 33.2 0.0 3.97
26 1 1990 14.08 33.33 0.0 4.38
27 1 1990 14.77 34.23 0.0 6.33
28 1 1990 13.27 31.95 0.0 4.9
29 1 1990 9.62 30.05 0.0 4.89
30 1 1990 11.41 30.64 0.0 4.44
31 1 1990 12.37 32.59 0.0 5.39
1 2 1990 10.5 28.8 0.0 4.6
2 2 1990 7.99 27.51 0.0 4.44
3 2 1990 8.29 29.8 0.0 4.3
4 2 1990 9.62 30.37 0.0 4.68
5 2 1990 13.05 30.76 0.0 4.35
6 2 1990 15.34 32.55 0.0 4.61
7 2 1990 15.78 33.8 0.0 5.23
8 2 1990 16.77 32.47 0.0 5.51
9 2 1990 16.45 32.67 0.0 3.79
10 2 1990 18.55 30.26 1.09 4.04
11 2 1990 15.12 31.98 0.66 4.27
12 2 1990 19.78 31.55 0.05 3.96
13 2 1990 17.52 26.43 6.01 3.48
14 2 1990 12.79 27.91 0.05 3.45
15 2 1990 10.42 27.26 0.86 3.8
16 2 1990 9.43 27.05 0.02 3.91
17 2 1990 10.01 30.56 0.0 5.81
18 2 1990 11.46 25.79 0.0 4.75
19 2 1990 9.96 25.29 3.43 3.53
20 2 1990 10.71 26.44 0.0 4.15
21 2 1990 10.65 27.51 0.0 4.16
22 2 1990 12.55 28.5 0.0 4.32
23 2 1990 14.56 30.09 0.01 3.82
24 2 1990 14.6 30.76 0.41 5.12
25 2 1990 16.19 29.98 0.58 5.62
26 2 1990 12.9 30.58 0.34 5.06
27 2 1990 15.32 29.23 0.06 3.79
28 2 1990 15.78 28.44 4.82 4.62
1 3 1990 13.33 28.88 0.2 4.63
2 3 1990 10.45 26.57 0.13 4.74
3 3 1990 9.48 28.3 0.0 5.2
4 3 1990 9.63 30.45 0.0 5.32
5 3 1990 9.83 31.33 0.0 5.56
6 3 1990 10.66 30.71 0.0 5.89
7 3 1990 10.34 31.46 0.0 4.98
8 3 1990 12.51 33.62 0.0 5.49
9 3 1990 13.41 34.5 0.0 5.24
10 3 1990 14.82 36.06 0.0 5.47
11 3 1990 15.48 36.08 0.0 6.37
12 3 1990 15.57 33.84 0.0 7.65
13 3 1990 13.09 33.3 0.0 5.62
14 3 1990 15.95 35.97 0.0 5.99
15 3 1990 16.44 37.66 0.0 5.63
16 3 1990 15.89 37.98 0.0 5.83
17 3 1990 17.91 39.05 0.0 6.53
18 3 1990 19.78 38.42 0.0 5.71
19 3 1990 19.3 39.36 0.0 8.64
20 3 1990 19.15 37.87 0.0 9.27
21 3 1990 20.18 35.09 0.0 8.41
22 3 1990 20.61 35.46 0.0 8.77
23 3 1990 16.03 33.62 0.0 9.17
24 3 1990 10.71 31.58 0.0 5.7
25 3 1990 14.36 33.71 0.0 5.6
26 3 1990 15.85 34.02 0.0 5.82
27 3 1990 17.27 28.24 0.0 4.33
28 3 1990 18.96 32.55 0.06 5.45
29 3 1990 20.38 35.42 0.28 7.18
30 3 1990 18.32 34.5 0.0 7.93
31 3 1990 17.02 32.8 0.0 7.62
1 4 1990 16.31 33.9 0.0 7.31
2 4 1990 17.52 34.15 0.0 8.15
3 4 1990 16.37 35.47 0.0 6.93
4 4 1990 15.8 36.61 0.0 6.62
5 4 1990 18.34 39.09 0.0 7.3
6 4 1990 18.7 39.92 0.0 9.29
7 4 1990 21.79 39.15 0.01 7.5
8 4 1990 20.9 38.55 0.01 9.75
9 4 1990 19.37 37.3 0.0 7.28
10 4 1990 19.57 39.69 0.0 7.01
11 4 1990 20.63 40.94 0.0 7.87
12 4 1990 22.3 40.51 0.0 9.57
13 4 1990 23.33 39.58 0.0 9.53
14 4 1990 20.69 38.59 0.0 8.14
15 4 1990 18.77 39.84 0.0 7.42
16 4 1990 20.94 42.32 0.0 8.62
17 4 1990 22.02 42.22 0.0 8.73
18 4 1990 22.69 42.53 0.0 10.49
19 4 1990 24.76 41.98 0.0 11.39
20 4 1990 25.43 42.69 0.0 12.1
21 4 1990 24.23 41.52 0.0 11.35
22 4 1990 24.1 41.03 0.0 10.41
23 4 1990 23.9 42.13 0.0 9.35
24 4 1990 25.04 42.89 0.0 9.37
25 4 1990 24.26 43.51 0.0 8.41
26 4 1990 25.26 43.38 0.0 10.63
27 4 1990 26.32 43.14 0.0 11.38
28 4 1990 27.0 43.64 0.0 10.56
29 4 1990 24.4 43.41 0.0 8.68
30 4 1990 26.39 43.62 0.0 10.78
1 5 1990 24.19 42.01 0.0 7.85
2 5 1990 26.04 42.51 0.02 9.23
3 5 1990 27.08 42.21 0.03 9.11
4 5 1990 28.68 41.97 1.21 8.59
5 5 1990 27.09 43.02 0.1 7.6
6 5 1990 26.79 42.25 0.14 8.12
7 5 1990 27.82 42.58 0.05 8.88
8 5 1990 28.83 41.96 0.0 9.01
9 5 1990 28.5 43.39 0.0 10.53
10 5 1990 28.4 43.9 0.0 8.1
11 5 1990 31.69 43.83 0.7 10.92
12 5 1990 28.26 42.12 0.13 9.86
13 5 1990 28.14 42.22 0.0 7.35
14 5 1990 30.93 44.33 0.59 12.97
15 5 1990 30.11 43.28 5.47 13.15
16 5 1990 27.93 43.7 0.08 11.93
17 5 1990 28.74 43.25 0.0 12.77
18 5 1990 28.23 43.12 0.0 11.58
19 5 1990 28.62 43.08 0.01 11.77
20 5 1990 28.64 42.26 0.0 11.01
21 5 1990 28.89 42.31 0.0 10.69
22 5 1990 27.76 43.47 0.0 10.78
23 5 1990 28.06 43.42 0.0 10.44
24 5 1990 30.8 44.19 0.0 11.55
25 5 1990 31.17 45.18 0.0 12.45
26 5 1990 32.66 45.3 0.01 11.55
27 5 1990 32.84 44.26 0.54 13.52
28 5 1990 30.29 42.54 3.33 11.28
29 5 1990 29.48 41.15 2.38 9.78
30 5 1990 27.98 37.1 3.34 6.15
31 5 1990 27.05 35.35 7.72 5.33
1 6 1990 26.43 34.31 13.91 5.16
2 6 1990 25.25 37.97 0.06 7.25
3 6 1990 26.58 37.94 0.0 8.43
4 6 1990 26.8 37.19 0.01 5.51
5 6 1990 25.91 40.78 0.03 9.98
6 6 1990 25.88 40.17 0.0 11.02
7 6 1990 25.9 40.95 0.0 10.18
8 6 1990 26.91 42.75 2.11 9.44
9 6 1990 29.01 40.23 0.57 8.01
10 6 1990 29.08 41.86 0.09 10.35
11 6 1990 28.57 39.78 0.89 8.0
12 6 1990 27.95 40.37 1.03 7.99
13 6 1990 27.87 41.34 0.64 7.32
14 6 1990 29.82 40.88 0.0 8.35
15 6 1990 28.17 43.79 0.0 10.27
16 6 1990 30.24 43.79 0.73 9.94
17 6 1990 29.57 43.44 0.06 8.64
18 6 1990 30.9 43.76 1.48 10.86
19 6 1990 29.33 42.46 14.44 8.15
20 6 1990 26.3 39.81 12.44 8.4
21 6 1990 26.55 40.15 16.1 7.83
22 6 1990 26.32 38.18 0.81 6.41
23 6 1990 26.45 37.99 0.3 7.11
24 6 1990 26.55 38.88 0.38 9.45
25 6 1990 26.41 37.75 0.46 7.93
26 6 1990 26.2 39.6 0.02 6.62
27 6 1990 27.59 39.22 0.06 7.06
28 6 1990 27.21 36.62 4.12 6.75
29 6 1990 26.83 35.02 7.85 3.36
30 6 1990 25.62 28.58 47.6 2.36
1 7 1990 24.83 30.46 20.52 2.53
2 7 1990 25.3 31.46 13.6 2.7
3 7 1990 24.5 31.32 48.91 2.12
4 7 1990 24.62 30.53 22.23 2.61
5 7 1990 24.13 29.58 6.72 3.7
6 7 1990 23.91 32.23 1.07 4.31
7 7 1990 23.65 33.98 1.41 4.26
8 7 1990 24.09 33.83 0.71 4.12
9 7 1990 24.52 31.47 0.65 4.68
10 7 1990 24.23 34.29 0.11 4.32
11 7 1990 24.41 34.25 0.38 4.83
12 7 1990 25.2 33.56 0.16 6.26
13 7 1990 25.46 32.65 14.89 4.82
14 7 1990 24.25 34.09 0.87 5.25
15 7 1990 25.05 32.33 0.14 4.06
16 7 1990 24.83 29.83 29.05 2.04
17 7 1990 24.25 32.43 11.07 2.73
18 7 1990 24.75 31.58 2.72 2.37
19 7 1990 24.24 30.17 1.47 4.27
20 7 1990 23.42 33.64 2.4 4.94
21 7 1990 23.86 33.66 0.54 5.55
22 7 1990 24.23 34.14 0.05 5.34
23 7 1990 25.25 31.49 1.63 4.48
24 7 1990 24.52 32.33 7.26 2.7
25 7 1990 24.87 30.89 6.21 2.98
26 7 1990 23.12 32.11 0.97 3.52
27 7 1990 23.85 33.65 0.25 4.76
28 7 1990 23.98 33.26 0.27 4.87
29 7 1990 23.59 34.01 0.21 5.35
30 7 1990 23.9 33.28 0.13 3.95
31 7 1990 24.44 33.3 0.16 4.12
1 8 1990 24.07 30.55 3.19 2.44
2 8 1990 24.14 31.93 18.64 2.85
3 8 1990 23.89 30.75 20.59 2.57
4 8 1990 24.66 29.94 24.82 1.45
5 8 1990 23.9 30.01 46.08 3.57
6 8 1990 23.93 31.19 9.75 4.27
7 8 1990 23.38 32.32 0.63 4.87
8 8 1990 24.7 29.37 0.2 4.05
9 8 1990 24.36 30.02 10.42 4.28
10 8 1990 24.41 31.79 2.44 3.76
11 8 1990 25.15 31.82 0.5 5.01
12 8 1990 25.46 30.52 0.6 3.32
13 8 1990 24.27 32.39 2.96 4.14
14 8 1990 24.51 29.13 1.32 3.48
15 8 1990 24.39 30.05 4.75 3.5
16 8 1990 24.52 31.51 4.74 4.75
17 8 1990 25.58 31.1 2.14 4.0
18 8 1990 25.48 33.17 7.53 4.08
19 8 1990 25.72 33.2 5.81 3.97
20 8 1990 25.55 32.02 2.15 1.98
21 8 1990 25.32 31.02 5.55 4.1
22 8 1990 25.27 29.56 1.97 3.94
23 8 1990 25.49 29.65 18.32 2.89
24 8 1990 24.05 30.21 16.31 3.15
25 8 1990 23.07 30.19 1.84 4.28
26 8 1990 23.75 31.01 0.23 4.25
27 8 1990 24.06 31.24 0.45 3.49
28 8 1990 23.83 30.02 5.1 3.33
29 8 1990 23.01 30.15 2.87 2.87
30 8 1990 24.36 30.85 8.0 3.19
31 8 1990 24.89 29.54 13.56 3.0
1 9 1990 25.01 29.61 12.52 3.35
2 9 1990 24.12 28.82 2.72 3.23
3 9 1990 23.01 31.8 0.98 4.11
4 9 1990 22.94 31.08 0.76 3.35
5 9 1990 23.63 30.8 5.03 2.32
6 9 1990 24.51 28.89 19.29 1.78
7 9 1990 24.32 28.51 32.13 2.52
8 9 1990 23.99 29.48 3.4 2.62
9 9 1990 23.06 30.53 7.99 3.73
10 9 1990 23.39 31.08 4.49 4.04
11 9 1990 23.15 30.85 0.56 4.29
12 9 1990 23.08 31.83 0.0 4.53
13 9 1990 22.73 30.97 0.06 4.48
14 9 1990 22.73 31.27 0.1 3.18
15 9 1990 23.28 29.53 9.0 1.78
16 9 1990 23.33 29.97 46.15 1.49
17 9 1990 22.33 29.9 6.37 2.37
18 9 1990 22.4 28.94 2.94 2.44
19 9 1990 22.12 28.76 0.33 2.28
20 9 1990 22.25 27.08 6.44 1.96
21 9 1990 23.51 28.05 32.47 3.15
