Day Month Year Tmin(C) Tmax(C) Prcp(mm) Et0(mm)
1 1 1990 6.8 21.58 0.0 2.67
2 1 1990 8.0 21.61 0.0 2.6
3 1 1990 6.71 22.79 0.0 2.86
4 1 1990 8.62 24.38 0.0 2.95
5 1 1990 7.64 23.68 0.0 2.87
6 1 1990 8.0 23.69 0.0 2.67
7 1 1990 7.71 23.12 0.0 2.58
8 1 1990 6.01 20.99 0.0 2.63
9 1 1990 5.58 21.5 0.0 2.78
10 1 1990 6.91 24.26 0.0 3.31
11 1 1990 8.49 25.77 0.0 3.57
12 1 1990 11.74 27.58 0.0 3.29
13 1 1990 11.83 27.72 0.0 3.9
14 1 1990 10.65 26.3 0.0 3.51
15 1 1990 6.81 24.27 0.0 3.88
16 1 1990 11.19 26.28 0.0 3.45
17 1 1990 13.08 28.81 0.0 3.48
18 1 1990 11.6 29.42 0.0 3.27
19 1 1990 9.43 26.32 0.0 3.98
20 1 1990 11.81 27.29 0.0 4.84
21 1 1990 13.52 27.36 0.0 3.37
22 1 1990 14.33 28.38 0.0 3.65
23 1 1990 10.14 27.05 0.0 3.89
24 1 1990 9.97 27.11 0.0 4.24
25 1 1990 13.38 29.81 0.0 4.25
26 1 1990 12.09 30.56 0.0 4.66
27 1 1990 11.48 29.33 0.0 6.07
28 1 1990 9.12 26.2 0.0 4.38
29 1 1990 8.51 22.0 0.0 3.76
30 1 1990 7.49 22.66 0.0 3.51
31 1 1990 12.57 26.83 0.0 3.57
1 2 1990 10.31 25.76 0.0 3.63
2 2 1990 6.48 22.73 0.0 3.81
3 2 1990 8.05 23.3 0.0 3.39
4 2 1990 8.22 25.44 0.0 4.25
5 2 1990 11.18 27.93 0.0 4.01
6 2 1990 14.15 29.4 0.0 3.53
7 2 1990 15.87 26.45 0.0 4.36
8 2 1990 14.9 28.58 0.29 3.49
9 2 1990 12.56 29.35 0.0 3.57
10 2 1990 14.61 28.21 0.3 3.55
11 2 1990 12.84 27.58 0.03 3.76
12 2 1990 14.02 26.62 0.6 3.29
13 2 1990 12.57 21.95 8.57 2.61
14 2 1990 10.51 22.72 0.62 2.8
15 2 1990 7.83 22.77 0.02 3.31
16 2 1990 7.02 23.45 0.0 3.58
17 2 1990 8.78 24.83 0.0 4.5
18 2 1990 9.34 21.29 5.22 2.16
19 2 1990 8.8 20.43 11.75 2.19
20 2 1990 12.56 22.11 0.06 3.26
21 2 1990 10.05 25.5 0.0 3.89
22 2 1990 11.63 26.33 0.0 3.81
23 2 1990 15.19 27.69 0.04 4.22
24 2 1990 12.16 26.81 0.46 4.38
25 2 1990 12.35 25.43 4.21 3.18
26 2 1990 14.65 26.19 0.13 3.19
27 2 1990 12.61 20.33 4.41 2.09
28 2 1990 10.57 22.12 14.59 3.01
1 3 1990 9.74 22.62 0.08 3.66
2 3 1990 6.74 22.66 0.0 4.15
3 3 1990 11.23 26.08 0.0 4.29
4 3 1990 11.57 27.25 0.0 4.31
5 3 1990 9.01 26.92 0.0 4.26
6 3 1990 9.11 26.1 0.0 4.52
