Day Month Year Tmin(C) Tmax(C) Prcp(mm) Et0(mm)
1 1 1990 7.58 23.64 0.0 3.74
2 1 1990 7.69 24.08 0.0 3.39
3 1 1990 7.8 24.65 0.0 3.76
4 1 1990 10.8 26.05 0.0 3.54
5 1 1990 9.72 25.81 0.09 3.93
6 1 1990 9.48 26.55 0.0 4.24
7 1 1990 9.65 24.69 0.0 4.08
8 1 1990 8.46 23.68 0.06 3.53
9 1 1990 7.86 24.25 0.0 3.64
10 1 1990 8.37 26.12 0.0 3.48
11 1 1990 12.61 28.9 0.0 2.97
12 1 1990 12.58 29.73 0.0 3.37
13 1 1990 13.52 29.5 0.0 4.94
14 1 1990 11.47 27.08 0.0 4.21
15 1 1990 9.62 26.78 0.0 3.56
16 1 1990 11.1 28.37 0.0 3.84
17 1 1990 13.48 30.31 0.0 4.43
18 1 1990 15.1 30.11 0.0 3.89
19 1 1990 11.8 28.29 0.0 4.63
20 1 1990 12.93 29.01 0.0 3.58
21 1 1990 15.1 29.1 0.0 3.79
22 1 1990 16.15 30.05 0.0 3.95
23 1 1990 13.84 30.2 0.0 4.29
24 1 1990 13.86 30.44 0.0 4.39
25 1 1990 12.47 31.48 0.0 5.25
26 1 1990 16.37 31.41 0.0 5.43
27 1 1990 13.13 26.87 0.0 6.03
28 1 1990 8.02 25.55 0.0 4.71
29 1 1990 10.72 23.83 0.0 4.96
30 1 1990 10.61 26.22 0.0 4.94
31 1 1990 11.33 27.45 0.0 5.06
1 2 1990 8.4 25.86 0.0 4.28
2 2 1990 9.34 25.21 0.0 4.54
3 2 1990 8.64 27.01 0.0 4.41
4 2 1990 10.87 27.64 0.0 5.03
5 2 1990 13.62 29.8 0.0 3.75
6 2 1990 17.4 31.83 0.0 4.67
7 2 1990 18.1 31.95 0.0 5.02
8 2 1990 16.73 30.48 0.0 4.62
9 2 1990 16.01 28.44 0.0 4.24
10 2 1990 16.3 28.26 0.0 4.74
11 2 1990 14.87 29.88 0.01 5.48
12 2 1990 16.09 28.48 0.08 4.61
13 2 1990 15.1 25.05 3.14 3.62
14 2 1990 11.43 25.02 0.0 3.59
15 2 1990 10.32 24.57 0.0 4.2
16 2 1990 9.31 25.17 0.0 4.11
17 2 1990 10.28 26.36 0.14 6.29
18 2 1990 7.8 23.9 0.0 3.67
19 2 1990 9.77 22.1 6.54 3.59
20 2 1990 10.43 24.4 0.0 3.6
21 2 1990 11.97 26.83 0.0 3.62
22 2 1990 14.02 28.33 0.0 4.81
23 2 1990 16.06 29.8 0.51 5.27
24 2 1990 15.56 26.67 7.74 4.06
25 2 1990 13.99 25.98 1.25 4.48
26 2 1990 15.1 26.96 1.42 5.07
27 2 1990 13.5 21.04 0.26 2.57
28 2 1990 11.82 26.9 1.05 4.59
1 3 1990 11.62 25.12 0.08 5.04
2 3 1990 10.34 25.4 0.0 4.03
3 3 1990 10.25 27.86 0.0 4.5
4 3 1990 9.71 28.56 0.0 4.36
5 3 1990 10.83 28.48 0.0 5.55
6 3 1990 12.23 28.69 0.0 6.15
7 3 1990 12.48 30.42 0.0 4.63
8 3 1990 13.3 32.23 0.0 5.5
9 3 1990 14.15 32.51 0.0 5.57
10 3 1990 15.44 33.76 0.0 6.91
11 3 1990 17.07 34.32 0.0 7.43
12 3 1990 13.65 30.94 0.0 7.17
13 3 1990 15.12 33.33 0.0 5.2
14 3 1990 17.75 36.41 0.0 6.58
15 3 1990 16.93 36.94 0.0 6.65
16 3 1990 18.51 37.0 0.0 6.3
17 3 1990 20.0 35.44 0.0 7.42
18 3 1990 18.98 36.41 0.2 5.6
19 3 1990 19.92 36.34 0.0 7.48
20 3 1990 19.26 35.27 0.0 8.55
21 3 1990 20.97 33.86 0.0 8.32
22 3 1990 16.33 29.9 0.0 9.22
23 3 1990 10.76 28.39 0.0 6.47
24 3 1990 14.65 30.57 0.0 6.93
25 3 1990 14.02 31.33 0.0 5.06
26 3 1990 17.19 27.45 0.0 5.2
27 3 1990 14.88 28.54 0.0 4.97
28 3 1990 15.33 30.46 0.0 5.15
29 3 1990 17.83 31.64 0.0 7.35
30 3 1990 16.54 31.0 0.0 6.87
31 3 1990 16.43 30.98 0.0 5.6
1 4 1990 17.69 32.85 0.0 6.91
2 4 1990 19.29 32.82 0.27 6.24
3 4 1990 21.46 35.13 0.0 6.64
4 4 1990 20.73 36.83 0.18 5.67
5 4 1990 20.58 38.22 0.0 7.56
6 4 1990 22.06 35.51 0.0 7.25
7 4 1990 21.51 37.27 0.86 5.83
8 4 1990 20.99 36.77 0.02 5.83
9 4 1990 20.13 36.73 0.0 6.43
10 4 1990 19.9 38.45 0.0 9.06
11 4 1990 22.79 38.71 0.0 9.36
12 4 1990 24.52 36.93 0.0 7.9
13 4 1990 21.37 37.33 0.0 8.38
14 4 1990 19.57 37.44 0.0 7.03
15 4 1990 23.9 39.82 0.0 6.65
16 4 1990 22.32 39.92 0.0 9.94
17 4 1990 23.43 40.33 0.0 9.77
18 4 1990 23.22 40.26 0.0 10.33
19 4 1990 23.23 40.91 0.0 8.72
20 4 1990 22.51 41.38 0.0 10.99
21 4 1990 22.83 39.2 0.0 9.64
22 4 1990 22.8 39.7 0.0 9.53
23 4 1990 24.48 41.18 0.0 9.17
24 4 1990 24.83 41.05 0.0 10.27
25 4 1990 24.05 41.64 0.0 9.56
26 4 1990 27.69 41.02 0.0 11.77
27 4 1990 26.33 42.95 0.0 9.35
28 4 1990 25.34 43.17 0.0 10.21
29 4 1990 24.24 41.8 0.0 7.16
30 4 1990 25.64 42.19 0.0 10.3
1 5 1990 27.74 40.77 0.0 9.98
2 5 1990 26.79 40.62 0.0 8.99
3 5 1990 25.71 40.69 0.04 6.29
4 5 1990 25.91 42.09 0.12 8.26
5 5 1990 27.5 42.58 0.0 8.83
6 5 1990 27.41 41.94 0.3 8.39
7 5 1990 28.02 42.15 0.3 7.69
8 5 1990 28.38 42.71 0.0 7.33
9 5 1990 28.95 44.01 0.0 7.71
10 5 1990 30.37 44.49 0.0 8.63
11 5 1990 29.44 45.55 0.0 10.17
12 5 1990 30.51 44.64 0.0 10.34
13 5 1990 30.76 44.55 0.0 8.58
14 5 1990 29.77 44.64 0.0 13.11
15 5 1990 28.45 43.69 0.0 13.83
16 5 1990 26.77 42.9 0.0 13.15
17 5 1990 27.77 41.9 0.0 11.6
18 5 1990 27.58 40.85 0.0 10.88
19 5 1990 26.72 40.74 0.0 11.8
20 5 1990 26.5 41.83 0.0 12.01
21 5 1990 26.14 41.97 0.0 11.64
22 5 1990 26.67 42.14 0.01 12.43
23 5 1990 26.69 42.09 0.0 11.8
24 5 1990 27.84 42.45 0.0 10.79
25 5 1990 29.56 42.48 0.0 11.1
26 5 1990 29.24 43.37 0.0 12.79
27 5 1990 27.44 42.4 0.0 12.43
28 5 1990 28.76 41.11 0.0 11.73
29 5 1990 29.24 40.41 0.0 9.75
30 5 1990 30.15 40.6 0.0 8.62
31 5 1990 28.72 36.62 13.15 6.74
1 6 1990 27.77 37.69 0.03 6.69
2 6 1990 28.81 39.83 0.44 9.59
3 6 1990 27.9 41.95 0.0 12.19
4 6 1990 26.22 42.59 0.0 11.75
5 6 1990 27.66 41.55 0.0 11.71
6 6 1990 28.12 40.46 0.0 10.59
7 6 1990 29.28 40.74 0.06 10.79
8 6 1990 29.05 41.28 0.0 10.99
9 6 1990 28.7 40.63 0.0 11.76
10 6 1990 28.34 40.69 0.0 12.03
11 6 1990 28.37 40.86 0.0 11.14
12 6 1990 28.98 40.08 0.06 10.46
13 6 1990 28.67 39.78 1.48 8.58
14 6 1990 29.41 41.11 0.33 8.86
15 6 1990 28.96 43.27 0.02 9.03
16 6 1990 29.98 43.77 0.0 9.89
