Day Month Year Tmin(C) Tmax(C) Prcp(mm) Et0(mm)
1 1 1990 5.82 24.11 0.0 2.89
2 1 1990 5.61 23.58 0.0 2.81
3 1 1990 5.73 24.15 0.0 3.01
4 1 1990 8.1 26.37 0.0 3.11
5 1 1990 7.19 25.45 0.0 3.16
6 1 1990 7.87 27.54 0.0 3.18
7 1 1990 8.01 26.37 0.0 3.37
8 1 1990 7.65 24.9 0.03 3.22
9 1 1990 6.21 25.37 0.0 3.26
10 1 1990 7.01 27.06 0.0 3.63
11 1 1990 9.01 28.65 0.0 3.89
12 1 1990 10.79 30.47 0.0 3.71
13 1 1990 12.48 30.19 0.0 3.92
14 1 1990 10.99 29.45 0.0 3.81
15 1 1990 8.67 27.09 0.0 3.99
16 1 1990 10.44 28.34 0.0 3.23
17 1 1990 12.51 30.78 0.0 3.77
18 1 1990 11.66 31.51 0.0 3.78
19 1 1990 10.44 30.71 0.0 4.9
20 1 1990 12.58 30.93 0.0 5.11
21 1 1990 12.74 30.94 0.0 3.78
22 1 1990 13.43 31.08 0.0 3.55
23 1 1990 12.14 31.01 0.0 4.46
24 1 1990 11.34 30.0 0.0 4.57
25 1 1990 13.46 31.55 0.0 4.3
26 1 1990 13.81 31.76 0.0 4.43
27 1 1990 12.83 32.37 0.0 5.63
28 1 1990 11.0 29.94 0.0 4.79
29 1 1990 9.21 25.27 0.0 4.29
30 1 1990 9.37 27.55 0.0 4.25
31 1 1990 10.83 29.58 0.0 4.1
1 2 1990 9.84 28.51 0.0 4.0
2 2 1990 8.4 26.23 0.0 4.28
3 2 1990 7.7 27.45 0.0 3.62
4 2 1990 9.3 28.33 0.0 4.38
5 2 1990 12.15 29.77 0.0 3.81
6 2 1990 14.51 28.53 0.0 3.25
7 2 1990 14.01 30.71 0.0 3.9
8 2 1990 14.39 32.25 0.0 4.12
9 2 1990 17.18 31.46 0.01 3.17
10 2 1990 16.37 30.05 1.56 3.86
11 2 1990 13.48 30.29 0.0 3.44
12 2 1990 17.38 30.78 0.06 3.75
13 2 1990 14.55 24.26 7.24 2.21
14 2 1990 11.37 25.4 1.01 3.01
15 2 1990 9.33 25.11 0.01 3.63
16 2 1990 7.8 25.33 0.39 3.45
17 2 1990 8.96 28.91 0.0 4.43
18 2 1990 10.65 22.69 7.53 3.09
19 2 1990 8.46 23.33 0.86 2.72
20 2 1990 10.51 24.0 0.05 3.34
21 2 1990 10.21 26.93 0.0 3.86
22 2 1990 9.83 27.5 0.0 3.83
23 2 1990 15.08 28.83 0.0 3.32
24 2 1990 12.17 28.52 0.16 3.68
25 2 1990 15.03 27.71 4.92 3.88
26 2 1990 14.64 28.42 0.92 3.8
27 2 1990 14.04 19.16 4.3 1.54
28 2 1990 13.18 24.94 19.6 3.12
1 3 1990 10.83 25.68 0.09 3.78
2 3 1990 8.8 24.78 0.0 4.56
3 3 1990 9.01 26.65 0.0 4.12
4 3 1990 11.3 28.25 0.0 3.95
5 3 1990 8.64 28.14 0.0 4.26
6 3 1990 9.37 28.57 0.0 4.85
7 3 1990 10.05 29.01 0.0 4.31
8 3 1990 13.71 31.26 0.0 4.4
9 3 1990 14.0 32.28 0.0 5.04
10 3 1990 16.63 34.06 0.0 5.07
11 3 1990 12.17 33.8 0.0 5.6
12 3 1990 12.3 30.73 0.0 5.13
13 3 1990 12.69 31.9 0.0 5.06
14 3 1990 14.76 33.84 0.01 5.07
15 3 1990 14.0 35.8 0.0 5.44
16 3 1990 14.45 36.3 0.0 5.89
17 3 1990 16.61 36.94 0.0 6.33
18 3 1990 16.77 37.97 0.0 7.08
19 3 1990 20.33 38.45 0.0 6.28
20 3 1990 16.86 37.11 0.0 7.55
21 3 1990 19.13 36.0 0.0 8.2
22 3 1990 21.24 33.4 0.0 8.36
23 3 1990 14.7 31.66 0.0 7.5
24 3 1990 12.51 30.44 0.0 5.15
25 3 1990 10.87 32.52 0.0 5.88
26 3 1990 14.0 32.33 0.0 5.46
27 3 1990 15.69 29.05 0.0 5.29
28 3 1990 13.43 31.48 0.0 5.42
29 3 1990 16.73 33.28 0.09 5.36
30 3 1990 15.6 33.87 0.01 7.77
31 3 1990 16.74 31.58 0.0 7.26
1 4 1990 14.76 33.08 0.0 7.14
2 4 1990 15.44 31.32 0.0 7.36
3 4 1990 16.19 34.61 0.0 6.86
4 4 1990 17.62 35.95 0.0 4.8
5 4 1990 17.42 37.72 0.0 8.03
6 4 1990 19.78 39.69 0.0 9.42
7 4 1990 19.99 38.47 0.36 6.62
8 4 1990 21.83 38.3 0.72 7.71
9 4 1990 19.77 37.06 0.28 8.64
10 4 1990 19.88 39.04 0.0 9.09
11 4 1990 21.71 40.15 0.0 7.71
12 4 1990 22.88 38.82 0.0 9.49
13 4 1990 22.79 38.92 0.0 9.32
14 4 1990 19.18 37.71 0.07 8.71
15 4 1990 19.6 39.34 0.0 7.6
16 4 1990 23.23 41.74 0.0 7.41
17 4 1990 22.9 42.11 0.0 9.26
18 4 1990 23.7 41.76 0.0 11.45
19 4 1990 24.1 41.85 0.0 10.57
20 4 1990 22.51 42.65 0.0 10.25
21 4 1990 22.98 41.65 0.0 10.01
22 4 1990 23.52 41.89 0.0 8.98
23 4 1990 24.37 42.87 0.0 11.03
24 4 1990 23.54 43.34 0.08 10.58
25 4 1990 25.86 43.7 0.0 9.49
26 4 1990 25.93 44.07 0.0 11.35
27 4 1990 26.9 43.05 0.0 9.98
28 4 1990 26.76 43.31 0.0 10.36
29 4 1990 22.05 42.92 0.0 8.64
30 4 1990 24.51 43.3 0.0 8.53
1 5 1990 22.9 41.24 0.0 7.2
2 5 1990 26.98 42.33 0.13 6.89
3 5 1990 26.4 42.24 0.32 7.43
4 5 1990 27.85 41.09 0.02 6.96
5 5 1990 25.53 42.32 10.95 7.45
6 5 1990 23.57 38.6 3.61 6.64
7 5 1990 23.26 37.87 6.91 7.35
8 5 1990 25.38 39.76 0.0 7.52
9 5 1990 24.97 40.15 0.0 7.87
10 5 1990 25.95 42.12 0.0 8.31
11 5 1990 29.44 42.73 0.0 8.86
12 5 1990 27.48 40.83 0.0 8.98
13 5 1990 27.9 40.72 0.0 7.67
14 5 1990 29.43 44.15 0.0 8.46
15 5 1990 29.74 44.58 0.99 10.46
16 5 1990 30.52 44.78 0.09 12.38
17 5 1990 30.33 44.87 0.0 12.26
18 5 1990 30.39 44.01 0.0 9.97
19 5 1990 30.34 43.71 0.0 12.39
20 5 1990 27.81 42.87 3.39 12.51
21 5 1990 28.17 43.15 0.15 12.05
22 5 1990 28.15 43.21 0.0 13.0
23 5 1990 28.25 43.92 0.0 11.26
24 5 1990 28.62 45.75 0.0 10.86
25 5 1990 29.1 45.99 0.0 10.21
26 5 1990 30.36 46.08 0.0 11.94
27 5 1990 30.43 44.99 0.0 13.83
28 5 1990 30.62 44.6 1.13 12.74
29 5 1990 31.29 45.04 0.61 10.69
30 5 1990 31.55 40.52 0.06 9.35
31 5 1990 30.22 41.66 0.62 6.39
1 6 1990 31.29 41.14 0.94 7.92
2 6 1990 28.01 42.42 2.26 10.81
3 6 1990 30.85 43.23 0.0 11.08
4 6 1990 30.62 41.8 0.0 10.0
5 6 1990 27.71 43.83 0.0 11.33
6 6 1990 29.54 43.48 0.0 12.63
7 6 1990 31.22 43.2 0.25 10.21
8 6 1990 31.73 43.81 3.53 10.47
9 6 1990 30.3 42.38 0.74 10.12
10 6 1990 30.72 42.76 0.0 11.35
11 6 1990 29.19 43.35 0.01 10.34
12 6 1990 28.84 41.8 0.53 9.14
13 6 1990 28.69 41.35 4.33 9.06
14 6 1990 28.07 41.69 0.02 8.74
15 6 1990 29.12 43.93 0.0 10.27
16 6 1990 28.52 43.43 0.0 8.72
17 6 1990 31.16 44.4 0.06 7.91
18 6 1990 31.44 46.12 0.55 8.98
19 6 1990 32.48 45.3 1.27 10.82
20 6 1990 31.71 45.01 1.72 9.94
21 6 1990 31.03 43.36 2.79 7.46
22 6 1990 30.86 42.47 2.61 10.04
23 6 1990 29.72 40.63 3.23 10.24
24 6 1990 30.82 42.05 0.09 11.26
25 6 1990 31.46 42.62 0.19 10.63
26 6 1990 31.06 44.8 0.0 10.29
27 6 1990 34.53 44.94 0.51 9.55
28 6 1990 32.41 42.52 4.42 8.89
29 6 1990 30.3 37.85 4.44 3.7
30 6 1990 29.07 35.55 13.57 5.53
1 7 1990 27.58 34.91 27.75 3.99
2 7 1990 26.77 29.74 18.01 3.64
3 7 1990 26.08 34.73 15.36 3.14
4 7 1990 26.39 32.15 44.3 2.53
5 7 1990 25.6 32.77 7.58 3.9
6 7 1990 24.57 32.8 4.77 3.7
7 7 1990 25.28 33.68 6.68 4.64
8 7 1990 26.18 34.55 0.98 3.92
9 7 1990 25.98 30.57 1.4 4.06
10 7 1990 25.03 34.39 0.96 4.37
11 7 1990 25.79 34.42 0.64 4.71
12 7 1990 27.05 36.26 0.07 5.99
13 7 1990 26.19 36.94 3.24 7.19
14 7 1990 25.58 35.55 0.02 5.93
15 7 1990 26.4 36.26 0.0 4.78
16 7 1990 27.1 32.62 14.85 2.7
17 7 1990 26.48 34.17 18.95 5.18
18 7 1990 26.76 35.3 10.39 5.4
19 7 1990 26.13 33.21 13.86 5.17
20 7 1990 24.69 33.9 29.38 5.87
21 7 1990 24.83 34.46 5.37 5.77
22 7 1990 25.6 35.33 0.2 5.28
23 7 1990 25.76 31.93 2.1 3.63
24 7 1990 25.24 33.51 1.95 3.57
25 7 1990 26.62 33.4 2.07 4.23
26 7 1990 25.77 33.56 1.96 5.11
27 7 1990 25.68 34.09 0.34 5.53
28 7 1990 25.49 35.03 2.98 5.58
29 7 1990 25.23 34.75 0.26 5.41
30 7 1990 25.44 35.32 0.04 6.0
31 7 1990 26.04 35.04 0.88 5.42
1 8 1990 25.74 36.37 3.5 3.04
2 8 1990 25.94 31.79 30.05 2.91
3 8 1990 24.83 32.13 9.7 4.45
4 8 1990 24.74 30.54 19.32 2.12
5 8 1990 24.06 30.26 14.87 3.35
6 8 1990 24.98 30.93 10.17 4.7
7 8 1990 24.73 31.76 2.33 4.83
8 8 1990 25.29 31.8 1.13 3.31
9 8 1990 25.51 30.98 19.49 3.23
10 8 1990 25.29 30.07 3.87 3.36
11 8 1990 24.76 32.1 15.04 3.35
12 8 1990 25.86 30.37 9.65 4.0
13 8 1990 24.37 32.58 2.93 4.16
14 8 1990 25.95 32.24 0.63 4.47
15 8 1990 25.34 29.08 0.19 4.53
16 8 1990 24.14 32.42 0.14 5.05
17 8 1990 26.23 32.66 1.06 4.56
18 8 1990 26.04 32.65 1.17 4.88
19 8 1990 26.36 33.03 0.69 4.86
20 8 1990 25.69 31.76 0.11 4.09
21 8 1990 26.54 31.65 1.69 3.02
22 8 1990 26.13 30.53 18.47 2.78
23 8 1990 25.93 30.44 5.1 4.11
24 8 1990 25.74 31.88 2.72 3.66
25 8 1990 24.18 32.51 1.35 4.71
26 8 1990 25.0 32.4 1.1 4.34
27 8 1990 24.72 33.22 0.15 3.6
28 8 1990 25.12 32.7 1.77 4.68
29 8 1990 24.7 32.51 6.48 4.27
30 8 1990 25.01 33.15 8.2 3.91
31 8 1990 25.5 31.91 2.25 4.46
1 9 1990 25.15 33.49 1.39 5.15
2 9 1990 25.91 34.42 0.16 5.12
3 9 1990 24.8 33.08 0.14 4.14
4 9 1990 23.68 33.44 0.65 4.87
5 9 1990 25.2 32.36 4.7 3.53
6 9 1990 24.77 29.08 5.57 2.9
7 9 1990 25.44 29.69 16.97 2.21
8 9 1990 24.85 31.48 10.76 3.12
9 9 1990 23.94 31.95 9.78 4.23
10 9 1990 23.97 32.45 1.15 4.65
11 9 1990 23.17 33.05 0.08 5.17
12 9 1990 22.48 34.06 0.0 5.41
13 9 1990 22.01 34.37 0.0 5.19
14 9 1990 23.71 34.02 0.0 3.72
15 9 1990 24.51 32.08 0.89 3.13
16 9 1990 24.09 30.01 18.17 1.76
17 9 1990 23.85 32.37 9.46 2.31
18 9 1990 22.39 32.45 45.3 3.04
19 9 1990 22.47 29.26 1.69 2.61
20 9 1990 22.65 30.22 8.33 3.18
21 9 1990 23.54 30.5 7.67 3.4
22 9 1990 23.59 29.52 18.89 3.63
23 9 1990 23.51 31.27 0.69 4.27
24 9 1990 23.96 31.81 0.37 4.1
25 9 1990 23.25 31.61 0.26 3.64
26 9 1990 23.16 31.69 1.53 3.89
27 9 1990 22.57 32.66 0.0 3.93
28 9 1990 22.5 33.74 0.17 4.14
