Day Month Year Tmin(C) Tmax(C) Prcp(mm) Et0(mm)
1 1 1990 8.43 25.9 0.36 3.37
2 1 1990 7.86 26.16 0.0 3.81
3 1 1990 8.09 27.09 0.0 3.98
4 1 1990 9.6 28.5 0.0 3.45
5 1 1990 10.95 27.87 0.0 4.26
6 1 1990 11.22 30.33 0.0 4.07
7 1 1990 11.08 29.26 0.0 3.65
8 1 1990 9.16 27.78 0.49 3.54
9 1 1990 8.44 26.67 0.0 3.56
10 1 1990 8.28 27.45 0.0 3.37
11 1 1990 9.46 28.25 0.0 3.27
12 1 1990 12.06 31.03 0.0 3.2
13 1 1990 11.7 31.86 0.0 4.18
14 1 1990 11.14 30.56 0.0 4.34
15 1 1990 8.9 27.47 0.0 3.73
16 1 1990 10.73 28.86 0.0 3.53
17 1 1990 12.21 31.36 0.0 3.14
18 1 1990 13.0 32.34 0.0 3.62
19 1 1990 10.87 30.69 0.0 4.61
20 1 1990 11.76 31.04 0.0 4.63
21 1 1990 13.15 31.13 0.0 3.56
22 1 1990 14.8 32.27 0.0 3.45
23 1 1990 13.3 32.1 0.0 4.01
24 1 1990 11.96 31.11 0.0 4.33
25 1 1990 13.19 33.03 0.0 4.03
26 1 1990 13.51 33.19 0.0 4.35
27 1 1990 14.59 33.81 0.0 5.85
28 1 1990 12.33 31.2 0.0 4.68
29 1 1990 8.9 28.83 0.0 4.34
30 1 1990 10.23 29.42 0.0 4.21
31 1 1990 12.01 32.28 0.0 5.09
1 2 1990 9.9 28.63 0.0 4.26
2 2 1990 7.78 26.89 0.0 4.19
3 2 1990 7.52 29.08 0.0 4.04
4 2 1990 9.51 29.5 0.0 4.25
5 2 1990 12.08 30.32 0.0 3.97
6 2 1990 15.26 32.64 0.0 4.22
7 2 1990 15.35 33.37 0.0 4.96
8 2 1990 15.95 32.31 0.0 4.93
9 2 1990 16.83 32.67 0.0 3.36
10 2 1990 17.83 30.38 0.61 3.53
11 2 1990 14.75 31.94 0.23 3.92
12 2 1990 19.43 31.44 0.16 3.87
13 2 1990 16.51 25.68 6.39 3.56
14 2 1990 12.56 27.6 0.0 3.26
15 2 1990 10.14 26.81 0.97 3.75
16 2 1990 8.58 26.33 0.06 3.62
17 2 1990 10.26 30.36 0.0 5.61
18 2 1990 11.0 25.06 0.0 4.33
19 2 1990 10.19 24.87 4.49 3.17
20 2 1990 10.5 25.94 0.0 3.76
21 2 1990 10.98 27.48 0.0 3.85
22 2 1990 11.8 28.31 0.0 4.06
23 2 1990 14.55 29.72 0.01 3.93
24 2 1990 14.55 30.29 0.77 4.22
25 2 1990 15.31 29.83 0.54 5.2
26 2 1990 12.5 30.14 1.18 4.64
27 2 1990 15.63 27.01 0.16 3.21
28 2 1990 15.4 28.12 6.03 3.68
1 3 1990 12.06 27.91 1.08 4.0
2 3 1990 9.63 26.05 0.05 4.34
3 3 1990 8.37 27.88 0.0 4.5
4 3 1990 9.86 29.94 0.0 4.92
5 3 1990 9.87 30.9 0.0 5.44
6 3 1990 10.38 30.05 0.0 5.26
7 3 1990 9.62 31.03 0.0 4.79
8 3 1990 13.3 33.23 0.0 5.01
9 3 1990 13.99 34.2 0.0 5.03
10 3 1990 14.65 35.87 0.0 5.28
11 3 1990 15.21 36.02 0.0 6.11
12 3 1990 15.28 33.53 0.0 6.8
13 3 1990 13.4 33.39 0.0 5.31
14 3 1990 15.76 35.86 0.0 5.59
15 3 1990 16.2 37.6 0.0 5.55
16 3 1990 15.58 38.14 0.0 5.92
17 3 1990 18.54 38.87 0.0 6.31
18 3 1990 18.4 38.42 0.0 5.1
19 3 1990 18.43 39.51 0.0 8.1
20 3 1990 18.83 37.76 0.0 8.76
21 3 1990 20.37 35.98 0.0 8.42
22 3 1990 21.25 34.94 0.0 8.4
23 3 1990 15.54 33.01 0.0 8.07
24 3 1990 10.95 31.5 0.0 5.3
25 3 1990 13.79 33.54 0.0 5.61
26 3 1990 15.23 34.08 0.0 5.49
27 3 1990 16.83 27.23 0.0 4.87
28 3 1990 17.48 32.46 0.0 5.57
29 3 1990 19.8 35.5 0.12 7.15
30 3 1990 17.55 34.4 0.0 7.97
31 3 1990 16.99 32.7 0.0 7.23
1 4 1990 16.22 33.85 0.0 7.04
2 4 1990 16.35 33.69 0.0 7.86
3 4 1990 17.25 35.47 0.0 6.75
4 4 1990 16.01 36.55 0.0 6.12
5 4 1990 19.72 39.19 0.0 7.13
6 4 1990 18.7 40.3 0.0 9.48
7 4 1990 21.65 39.28 0.09 6.93
8 4 1990 20.44 38.8 0.03 9.55
9 4 1990 19.26 37.12 0.0 6.93
10 4 1990 20.07 39.75 0.0 7.08
11 4 1990 20.3 40.88 0.0 7.48
12 4 1990 22.08 40.32 0.0 9.57
13 4 1990 23.92 39.61 0.0 9.47
14 4 1990 20.38 38.59 0.0 7.73
15 4 1990 19.21 39.92 0.0 7.29
16 4 1990 21.23 42.52 0.0 7.95
17 4 1990 21.9 42.45 0.0 8.19
18 4 1990 22.92 42.47 0.0 10.6
19 4 1990 25.04 42.15 0.0 11.03
20 4 1990 25.1 43.0 0.0 11.31
21 4 1990 24.27 42.03 0.0 10.28
22 4 1990 24.27 41.59 0.0 9.57
23 4 1990 24.19 42.55 0.0 9.06
24 4 1990 24.88 43.12 0.0 9.68
25 4 1990 24.48 43.76 0.0 8.23
26 4 1990 25.22 43.69 0.0 10.39
27 4 1990 26.37 43.98 0.0 10.21
28 4 1990 26.94 44.09 0.0 10.93
29 4 1990 23.71 43.6 0.0 6.72
30 4 1990 26.39 43.73 0.0 8.71
1 5 1990 23.93 41.43 0.0 7.51
2 5 1990 26.16 42.87 0.01 9.02
3 5 1990 27.02 42.6 0.03 9.28
4 5 1990 28.71 42.2 1.21 8.25
5 5 1990 26.58 43.12 0.87 7.62
6 5 1990 26.73 42.28 0.03 7.38
7 5 1990 27.4 42.4 0.28 9.8
8 5 1990 28.55 41.99 0.0 8.93
9 5 1990 28.31 43.39 0.0 10.38
10 5 1990 28.05 44.12 0.0 8.67
11 5 1990 32.49 44.17 0.16 10.62
12 5 1990 28.59 42.55 0.03 9.79
13 5 1990 28.83 42.44 0.0 8.25
14 5 1990 32.18 44.69 0.0 12.36
15 5 1990 31.94 44.11 2.93 13.31
16 5 1990 29.9 44.48 0.04 12.51
17 5 1990 29.8 44.48 0.0 13.02
18 5 1990 29.19 43.91 0.0 11.61
19 5 1990 28.92 43.6 0.02 11.36
20 5 1990 28.62 43.13 0.03 10.74
21 5 1990 29.25 42.89 0.0 10.84
22 5 1990 27.9 44.04 0.0 10.82
23 5 1990 27.69 44.01 0.0 10.1
24 5 1990 30.12 45.25 0.0 10.72
25 5 1990 32.45 45.62 0.0 11.91
26 5 1990 33.58 45.46 0.0 11.36
27 5 1990 32.69 44.87 0.0 13.05
28 5 1990 31.3 43.72 1.61 12.26
29 5 1990 30.48 43.55 2.9 10.85
30 5 1990 29.26 39.57 1.52 7.26
31 5 1990 28.25 38.71 8.17 7.0
1 6 1990 27.67 36.28 4.5 6.19
2 6 1990 26.34 39.37 0.03 8.36
3 6 1990 28.02 40.05 0.0 9.37
4 6 1990 28.73 39.12 0.0 7.77
5 6 1990 27.66 42.45 0.0 10.41
6 6 1990 27.44 41.7 0.0 12.17
7 6 1990 27.5 42.22 0.0 10.4
8 6 1990 29.52 43.53 0.35 9.67
9 6 1990 29.44 41.32 2.79 7.83
10 6 1990 30.61 42.83 0.06 10.48
11 6 1990 29.68 41.42 0.51 8.97
12 6 1990 27.96 41.41 1.07 8.98
13 6 1990 27.45 41.86 0.77 8.19
14 6 1990 30.02 42.43 0.0 8.28
15 6 1990 28.9 44.3 0.0 10.49
16 6 1990 29.74 44.35 0.16 9.57
