Day Month Year Tmin(C) Tmax(C) Prcp(mm) Et0(mm)
1 1 1990 7.08 23.18 0.0 3.2
2 1 1990 7.8 23.18 0.0 3.24
3 1 1990 7.8 23.98 0.0 4.24
4 1 1990 7.55 25.48 0.0 3.32
5 1 1990 8.2 25.01 0.0 3.47
6 1 1990 8.69 26.28 0.0 3.82
7 1 1990 8.02 24.71 0.0 3.29
8 1 1990 7.94 22.91 0.0 3.15
9 1 1990 6.6 23.15 0.0 3.02
10 1 1990 8.26 25.37 0.0 2.94
11 1 1990 11.0 27.22 0.0 3.32
12 1 1990 12.84 29.05 0.0 3.23
13 1 1990 11.85 28.78 0.0 4.41
14 1 1990 10.71 27.2 0.0 3.71
15 1 1990 8.58 25.5 0.0 3.62
16 1 1990 10.07 27.63 0.0 3.38
17 1 1990 10.9 30.06 0.0 4.23
18 1 1990 10.87 30.55 0.0 4.1
19 1 1990 10.39 27.44 0.0 4.02
20 1 1990 11.72 28.18 0.0 4.11
21 1 1990 16.17 28.84 0.0 3.39
22 1 1990 14.89 29.64 0.0 3.79
23 1 1990 11.94 28.85 0.0 4.17
24 1 1990 14.15 28.7 0.0 4.16
25 1 1990 12.3 31.17 0.0 4.54
26 1 1990 13.67 30.92 0.0 5.19
27 1 1990 12.06 28.92 0.0 6.42
28 1 1990 10.57 26.42 0.0 4.48
29 1 1990 8.62 23.26 0.0 4.23
30 1 1990 8.51 23.95 0.0 3.81
31 1 1990 9.62 27.48 0.0 4.43
1 2 1990 8.49 25.55 0.0 3.87
2 2 1990 7.08 23.86 0.0 3.98
3 2 1990 7.96 26.2 0.0 3.68
4 2 1990 9.75 26.33 0.0 4.26
5 2 1990 13.33 28.89 0.0 3.58
6 2 1990 15.31 28.7 0.0 4.36
7 2 1990 16.65 29.56 0.0 4.96
8 2 1990 16.61 29.23 0.04 3.56
9 2 1990 16.19 29.73 0.01 3.54
10 2 1990 14.01 28.96 0.05 4.3
11 2 1990 13.53 29.24 0.01 5.02
12 2 1990 14.76 29.85 0.73 4.02
13 2 1990 13.33 22.93 4.77 2.97
14 2 1990 10.68 23.65 0.39 3.3
15 2 1990 9.13 23.48 0.08 3.65
16 2 1990 8.66 24.24 0.0 3.82
17 2 1990 9.68 27.2 0.0 5.93
18 2 1990 7.67 23.69 0.0 3.1
19 2 1990 9.29 20.98 10.36 2.62
20 2 1990 10.93 23.05 0.03 3.42
21 2 1990 12.42 25.83 0.0 3.62
22 2 1990 13.15 27.0 0.0 4.07
23 2 1990 14.99 27.39 0.25 4.36
24 2 1990 13.76 27.16 2.12 4.15
25 2 1990 12.27 25.79 4.3 3.81
26 2 1990 14.43 26.19 1.73 4.21
27 2 1990 13.0 19.59 1.53 2.28
28 2 1990 11.01 23.23 13.07 3.26
1 3 1990 10.69 23.42 0.07 4.12
2 3 1990 8.65 23.69 0.0 4.28
3 3 1990 10.57 26.42 0.0 3.88
4 3 1990 9.99 27.76 0.0 4.38
5 3 1990 8.81 27.31 0.0 4.56
6 3 1990 9.69 26.55 0.0 5.04
7 3 1990 13.43 28.68 0.0 4.3
8 3 1990 13.58 31.38 0.0 4.61
9 3 1990 13.36 31.8 0.0 5.28
10 3 1990 14.29 33.15 0.0 5.95
11 3 1990 16.5 34.24 0.0 6.71
12 3 1990 12.99 29.94 0.0 6.28
13 3 1990 13.39 31.9 0.0 5.47
14 3 1990 18.08 35.01 0.0 5.25
15 3 1990 14.63 36.24 0.0 6.17
16 3 1990 16.96 36.58 0.0 6.0
17 3 1990 19.69 35.61 0.0 5.31
18 3 1990 18.73 35.97 0.0 5.83
19 3 1990 17.97 36.45 0.0 7.23
20 3 1990 18.25 35.91 0.0 8.72
21 3 1990 20.21 34.09 0.0 8.15
22 3 1990 16.03 30.15 0.0 8.86
23 3 1990 11.76 28.13 0.0 6.14
24 3 1990 14.4 29.72 0.0 5.89
25 3 1990 13.78 29.9 0.0 4.84
26 3 1990 14.46 29.8 0.0 6.61
27 3 1990 15.05 28.9 0.0 4.94
28 3 1990 13.65 29.41 0.0 5.32
29 3 1990 16.22 32.8 0.36 7.22
30 3 1990 15.08 30.28 0.0 6.8
31 3 1990 14.16 29.66 0.0 5.64
1 4 1990 15.8 32.08 0.0 6.68
