Day Month Year Tmin(C) Tmax(C) Prcp(mm) Et0(mm)
1 1 1990 7.74 24.95 0.0 3.5
2 1 1990 7.66 24.85 0.0 3.8
3 1 1990 9.01 26.05 0.0 4.44
4 1 1990 8.82 27.18 0.0 3.46
5 1 1990 9.01 26.98 0.0 4.08
6 1 1990 11.34 29.08 0.0 5.13
7 1 1990 8.58 26.76 0.0 3.58
8 1 1990 7.91 26.47 0.02 3.28
9 1 1990 7.75 27.15 0.0 3.63
10 1 1990 7.9 28.31 0.0 3.6
11 1 1990 12.61 28.9 0.0 3.61
12 1 1990 12.77 31.36 0.0 3.71
13 1 1990 14.89 30.19 0.0 4.8
14 1 1990 12.48 28.17 0.0 3.66
15 1 1990 8.92 27.48 0.0 3.65
16 1 1990 10.68 29.52 0.0 3.9
17 1 1990 11.9 31.4 0.0 4.49
18 1 1990 14.89 31.36 0.0 3.87
19 1 1990 12.87 29.57 0.0 4.08
20 1 1990 10.69 29.07 0.0 3.78
21 1 1990 14.3 30.8 0.0 4.05
22 1 1990 15.51 30.9 0.0 3.89
23 1 1990 13.06 31.44 0.0 3.99
24 1 1990 13.66 30.55 0.0 4.46
25 1 1990 12.78 32.51 0.0 5.41
26 1 1990 14.96 31.98 0.0 5.34
27 1 1990 14.58 29.34 0.0 5.95
28 1 1990 11.9 28.51 0.0 4.39
29 1 1990 9.81 26.87 0.0 4.51
30 1 1990 9.71 29.3 0.0 4.43
31 1 1990 12.99 28.33 0.0 5.23
1 2 1990 10.9 25.94 0.0 3.92
2 2 1990 7.92 25.62 0.0 4.14
3 2 1990 8.47 28.62 0.0 4.55
4 2 1990 9.6 28.61 0.0 4.7
5 2 1990 12.82 30.23 0.0 4.03
6 2 1990 16.28 32.01 0.0 4.21
7 2 1990 16.09 30.28 0.0 4.54
8 2 1990 19.56 29.44 0.0 3.83
9 2 1990 16.46 28.51 0.0 2.81
10 2 1990 16.57 29.46 0.04 3.98
11 2 1990 15.15 31.08 0.03 5.12
12 2 1990 18.15 31.26 0.23 3.52
13 2 1990 14.87 23.98 2.68 2.99
14 2 1990 11.45 26.07 0.0 3.49
15 2 1990 8.91 25.81 0.3 4.01
16 2 1990 8.06 25.61 0.0 4.06
17 2 1990 10.73 27.7 0.01 6.61
18 2 1990 7.19 23.02 0.0 2.99
19 2 1990 9.11 23.98 2.67 3.8
20 2 1990 8.55 24.92 0.0 3.58
21 2 1990 9.99 26.94 0.0 3.82
22 2 1990 12.62 27.86 0.0 4.35
23 2 1990 14.59 28.37 0.58 4.61
24 2 1990 14.17 27.73 5.13 4.57
25 2 1990 12.07 26.05 2.24 4.41
26 2 1990 13.92 27.61 2.3 4.35
27 2 1990 13.04 18.68 0.43 2.36
28 2 1990 10.37 25.72 5.81 3.74
1 3 1990 11.36 25.01 1.27 4.26
2 3 1990 7.89 24.19 0.0 4.15
3 3 1990 8.93 27.23 0.0 4.29
4 3 1990 8.79 28.73 0.0 4.51
5 3 1990 9.84 27.98 0.0 4.48
6 3 1990 9.81 28.04 0.0 5.36
7 3 1990 10.86 29.24 0.0 5.07
8 3 1990 13.29 32.24 0.0 4.62
9 3 1990 15.99 32.56 0.0 4.94
10 3 1990 16.55 33.62 0.0 5.79
11 3 1990 14.74 34.35 0.0 6.6
12 3 1990 12.82 31.2 0.0 6.38
13 3 1990 13.64 32.73 0.0 5.66
14 3 1990 18.29 35.73 0.0 5.9
15 3 1990 15.8 36.33 0.0 6.0
16 3 1990 18.5 36.34 0.0 5.77
17 3 1990 18.52 36.05 0.0 6.16
18 3 1990 19.84 36.59 0.0 6.51
19 3 1990 18.22 36.73 0.0 8.36
20 3 1990 18.5 33.42 0.0 8.26
21 3 1990 19.55 32.83 0.0 9.05
22 3 1990 17.69 29.91 0.0 7.87
23 3 1990 11.12 28.66 0.0 7.23
24 3 1990 13.26 30.31 0.0 5.79
25 3 1990 13.36 31.85 0.0 5.51
26 3 1990 16.46 30.76 0.0 5.45
27 3 1990 17.26 27.47 0.0 5.18
28 3 1990 14.52 30.35 0.0 5.47
29 3 1990 16.38 32.09 0.0 7.37
30 3 1990 14.99 31.44 0.0 6.55
31 3 1990 14.76 31.07 0.0 6.39
1 4 1990 15.6 33.23 0.0 7.21
2 4 1990 16.79 32.13 0.15 7.04
3 4 1990 19.94 34.45 0.0 7.03
4 4 1990 17.73 36.3 0.1 6.3
5 4 1990 19.87 38.09 0.0 5.66
6 4 1990 20.17 37.9 0.0 7.87
7 4 1990 20.12 37.58 0.17 8.09
8 4 1990 18.71 36.15 0.6 8.17
9 4 1990 20.37 36.28 0.0 6.79
10 4 1990 19.19 38.69 0.0 8.53
