Day Month Year Tmin(C) Tmax(C) Prcp(mm) Et0(mm)
1 1 1990 10.32 27.64 0.29 4.02
2 1 1990 10.01 27.8 0.0 4.91
3 1 1990 10.31 28.94 0.0 4.91
4 1 1990 12.43 30.05 0.0 3.81
5 1 1990 14.08 30.37 0.0 4.92
6 1 1990 13.61 31.44 0.0 5.13
7 1 1990 11.91 30.58 0.01 4.38
8 1 1990 11.4 30.31 0.5 4.11
9 1 1990 11.09 29.76 0.0 4.19
10 1 1990 10.49 29.98 0.0 4.24
11 1 1990 10.62 30.97 0.0 4.21
12 1 1990 12.19 33.01 0.0 3.67
13 1 1990 14.33 32.81 0.0 4.99
14 1 1990 13.8 31.76 0.0 4.45
15 1 1990 12.09 30.03 0.0 4.49
16 1 1990 11.45 31.12 0.0 4.29
17 1 1990 11.76 32.64 0.0 4.66
18 1 1990 13.69 32.94 0.0 4.18
19 1 1990 12.45 32.43 0.0 5.36
20 1 1990 12.21 32.27 0.0 4.95
21 1 1990 13.58 32.73 0.0 4.04
22 1 1990 13.39 33.37 0.0 4.35
23 1 1990 14.41 34.03 0.0 4.55
24 1 1990 14.16 33.64 0.0 5.26
25 1 1990 13.35 34.39 0.0 5.24
26 1 1990 14.2 34.28 0.0 5.3
27 1 1990 16.08 33.51 0.0 5.83
28 1 1990 15.33 32.15 0.0 5.21
29 1 1990 12.73 31.78 0.0 5.52
30 1 1990 12.73 32.56 0.0 5.21
31 1 1990 14.86 32.53 0.0 5.66
1 2 1990 12.96 29.63 0.0 4.7
2 2 1990 10.91 29.05 0.0 5.29
3 2 1990 10.35 31.31 0.0 5.68
4 2 1990 11.28 31.73 0.0 5.53
5 2 1990 14.22 32.51 0.0 4.84
6 2 1990 14.85 34.58 0.0 4.78
7 2 1990 16.69 33.94 0.0 5.08
8 2 1990 19.9 31.4 0.0 3.97
9 2 1990 17.84 32.37 0.0 3.41
10 2 1990 18.12 32.3 1.5 4.69
11 2 1990 17.5 33.37 1.06 5.1
12 2 1990 20.53 34.69 0.13 4.34
13 2 1990 17.54 27.45 2.25 3.61
14 2 1990 13.37 28.91 0.0 4.21
15 2 1990 10.71 28.46 0.55 4.68
16 2 1990 10.45 28.81 0.0 4.67
17 2 1990 10.62 29.14 0.0 6.12
18 2 1990 10.05 27.3 0.0 4.66
19 2 1990 10.14 26.6 2.38 4.26
20 2 1990 10.65 27.87 0.0 4.38
21 2 1990 11.52 28.98 0.0 4.4
22 2 1990 11.92 29.89 0.0 4.33
23 2 1990 14.99 30.55 0.05 4.47
24 2 1990 15.23 30.08 0.16 5.07
25 2 1990 14.57 29.69 1.4 5.59
26 2 1990 13.85 30.91 0.13 5.29
27 2 1990 16.39 29.59 0.05 3.7
28 2 1990 14.82 28.85 0.9 5.16
1 3 1990 11.29 29.35 1.83 5.43
2 3 1990 10.44 28.1 0.04 5.6
3 3 1990 11.13 30.16 0.0 5.61
4 3 1990 10.96 32.08 0.0 5.88
5 3 1990 11.8 31.48 0.0 5.52
6 3 1990 13.2 31.44 0.0 7.47
7 3 1990 12.39 32.47 0.0 6.03
8 3 1990 12.82 34.33 0.0 5.81
9 3 1990 13.94 34.8 0.0 5.61
10 3 1990 15.05 35.61 0.0 6.59
11 3 1990 16.53 36.49 0.0 6.73
12 3 1990 15.8 35.12 0.0 7.24
13 3 1990 14.23 34.97 0.0 6.38
14 3 1990 15.64 37.14 0.0 5.96
15 3 1990 17.51 37.62 0.0 5.98
16 3 1990 19.4 38.03 0.0 5.7
17 3 1990 20.09 38.42 0.0 6.54
18 3 1990 20.78 39.25 0.0 7.41
19 3 1990 20.83 39.51 0.0 9.23
20 3 1990 19.95 36.53 0.0 8.6
21 3 1990 19.79 36.58 0.0 8.95
22 3 1990 19.22 34.98 0.0 8.68
23 3 1990 16.15 33.3 0.0 9.04
24 3 1990 11.83 32.46 0.0 6.0
25 3 1990 12.76 33.85 0.0 6.32
26 3 1990 16.44 33.64 0.0 6.87
27 3 1990 21.29 32.06 0.0 6.54
28 3 1990 20.49 33.48 0.09 6.34
29 3 1990 17.83 34.69 0.03 7.92
30 3 1990 18.46 35.04 0.0 7.05
31 3 1990 17.18 34.0 0.0 7.11
1 4 1990 17.34 35.43 0.0 8.08
2 4 1990 19.19 35.9 0.0 8.41
