Day Month Year Tmin(C) Tmax(C) Prcp(mm) Et0(mm)
1 1 1990 7.08 24.3 0.0 3.19
2 1 1990 6.74 24.11 0.0 3.56
3 1 1990 7.68 25.23 0.0 3.88
4 1 1990 8.11 26.65 0.0 3.41
5 1 1990 8.58 26.55 0.0 3.68
6 1 1990 10.17 28.62 0.0 4.68
7 1 1990 8.25 26.97 0.0 3.57
8 1 1990 7.7 26.93 0.06 3.21
9 1 1990 7.05 27.32 0.0 3.53
10 1 1990 7.16 28.08 0.0 3.39
11 1 1990 11.31 28.98 0.0 3.66
12 1 1990 12.98 31.14 0.0 3.49
13 1 1990 14.91 29.89 0.0 4.87
14 1 1990 12.18 28.19 0.0 3.95
15 1 1990 8.3 27.28 0.0 3.46
16 1 1990 9.28 28.88 0.0 3.53
17 1 1990 11.05 30.26 0.0 4.37
18 1 1990 13.06 30.69 0.0 4.11
19 1 1990 11.92 29.52 0.0 4.21
20 1 1990 10.0 29.02 0.0 4.02
21 1 1990 14.37 30.66 0.0 3.96
22 1 1990 14.44 30.82 0.0 3.95
23 1 1990 12.72 31.44 0.0 3.95
24 1 1990 13.15 30.56 0.0 4.49
25 1 1990 12.37 31.65 0.0 5.0
26 1 1990 15.04 31.56 0.0 5.32
27 1 1990 14.12 29.58 0.0 5.8
28 1 1990 12.21 28.97 0.0 4.9
29 1 1990 10.12 27.91 0.0 4.66
30 1 1990 9.68 29.14 0.0 4.27
31 1 1990 13.01 28.3 0.0 5.19
1 2 1990 9.97 25.6 0.0 4.1
2 2 1990 7.48 25.48 0.0 4.11
3 2 1990 7.53 27.83 0.0 4.51
4 2 1990 8.8 28.62 0.0 4.61
5 2 1990 11.73 29.84 0.0 3.94
6 2 1990 15.23 31.11 0.0 4.11
7 2 1990 15.91 29.41 0.0 4.53
8 2 1990 19.01 29.14 0.0 3.99
9 2 1990 15.98 27.8 0.0 2.9
10 2 1990 16.45 28.15 0.23 3.78
11 2 1990 14.94 30.23 0.19 4.94
12 2 1990 18.33 29.9 0.13 3.31
13 2 1990 13.51 23.0 2.4 3.36
14 2 1990 10.4 25.77 0.0 3.66
15 2 1990 8.15 25.65 0.33 3.96
16 2 1990 7.51 25.61 0.0 3.85
17 2 1990 9.15 26.5 0.01 6.06
18 2 1990 6.56 22.47 0.0 3.19
19 2 1990 7.79 23.84 2.29 3.96
20 2 1990 7.83 24.73 0.0 3.63
21 2 1990 9.01 26.34 0.0 3.8
22 2 1990 11.65 27.17 0.0 4.33
23 2 1990 13.96 27.31 0.47 4.38
24 2 1990 13.15 26.98 4.76 4.5
25 2 1990 11.4 25.69 2.23 4.48
26 2 1990 12.07 27.22 0.76 4.43
27 2 1990 13.08 21.36 0.27 2.73
28 2 1990 10.3 25.58 1.66 4.04
1 3 1990 10.05 24.74 4.08 4.43
2 3 1990 7.54 23.9 0.0 4.22
3 3 1990 7.62 26.84 0.0 4.2
4 3 1990 8.73 28.16 0.0 4.7
5 3 1990 9.72 27.42 0.0 4.6
6 3 1990 9.9 27.8 0.0 5.46
7 3 1990 9.98 29.27 0.0 5.12
8 3 1990 12.26 31.69 0.0 4.7
9 3 1990 15.27 32.0 0.0 4.69
10 3 1990 16.4 32.89 0.0 5.62
11 3 1990 14.34 33.74 0.0 6.45
12 3 1990 13.05 30.9 0.0 6.72
13 3 1990 12.46 32.42 0.0 5.83
14 3 1990 18.39 34.95 0.0 5.56
15 3 1990 16.44 35.79 0.0 5.57
16 3 1990 18.37 35.86 0.0 5.23
17 3 1990 18.45 35.09 0.0 6.36
18 3 1990 18.34 36.45 0.0 6.92
19 3 1990 17.99 36.06 0.0 8.56
20 3 1990 18.37 32.06 0.0 7.91
21 3 1990 19.08 31.8 0.0 8.78
22 3 1990 17.94 29.32 0.0 7.45
23 3 1990 11.94 28.48 0.0 7.87
24 3 1990 11.65 29.76 0.0 5.92
25 3 1990 12.1 31.43 0.0 5.66
26 3 1990 17.67 29.06 0.0 5.48
27 3 1990 17.43 27.12 0.0 5.15
28 3 1990 15.44 29.85 0.0 5.02
29 3 1990 15.71 31.33 0.0 7.08
30 3 1990 14.63 30.95 0.0 6.52
31 3 1990 14.24 30.6 0.0 6.32
1 4 1990 15.17 32.63 0.0 7.24
2 4 1990 16.23 31.52 0.05 7.33
3 4 1990 18.8 33.81 0.0 7.04
4 4 1990 16.49 35.53 0.03 6.5
5 4 1990 20.64 37.2 0.0 5.06
6 4 1990 19.19 37.25 0.0 7.8
7 4 1990 19.55 37.05 0.06 8.08
8 4 1990 18.37 35.31 0.32 8.69
9 4 1990 19.27 35.54 0.0 7.03
10 4 1990 19.08 37.52 0.0 8.02
11 4 1990 20.23 37.55 0.0 8.53
12 4 1990 21.05 34.48 0.0 8.6
13 4 1990 20.3 36.01 0.0 8.61
14 4 1990 19.48 36.8 0.0 7.73
15 4 1990 21.99 38.34 0.0 7.54
16 4 1990 20.05 38.8 0.0 8.13
17 4 1990 20.4 39.23 0.0 9.01
18 4 1990 21.42 39.06 0.0 10.73
19 4 1990 21.8 39.6 0.0 10.56
20 4 1990 21.99 39.34 0.0 11.01
21 4 1990 20.16 38.76 0.0 10.1
22 4 1990 20.85 38.56 0.0 9.47
23 4 1990 21.44 38.9 0.0 8.44
24 4 1990 22.82 39.69 0.0 8.76
25 4 1990 22.19 40.11 0.0 8.22
26 4 1990 24.05 37.28 0.0 10.12
27 4 1990 23.69 39.62 0.0 9.55
28 4 1990 24.84 40.81 0.0 10.22
29 4 1990 22.62 40.9 0.0 8.98
30 4 1990 22.81 40.67 0.0 9.29
1 5 1990 23.63 39.79 0.0 8.48
2 5 1990 23.79 39.3 0.0 9.15
3 5 1990 23.77 38.99 0.05 8.82
4 5 1990 24.21 39.31 0.33 9.46
5 5 1990 24.76 40.46 1.14 8.51
6 5 1990 24.69 40.12 0.18 8.04
7 5 1990 26.4 40.7 0.0 9.59
8 5 1990 26.58 41.05 0.0 7.73
9 5 1990 26.87 42.4 0.0 8.12
10 5 1990 26.65 42.21 0.0 9.02
11 5 1990 27.69 42.62 0.28 8.98
12 5 1990 28.37 40.65 0.03 8.02
13 5 1990 28.15 41.8 0.0 8.36
14 5 1990 26.29 40.72 0.0 12.21
15 5 1990 25.22 39.81 0.02 11.1
16 5 1990 24.29 40.44 0.03 11.67
17 5 1990 23.51 39.8 0.0 10.82
18 5 1990 23.9 39.77 0.0 9.69
19 5 1990 23.65 39.18 0.0 10.54
20 5 1990 23.37 39.17 0.0 9.96
21 5 1990 23.4 39.44 0.0 9.42
22 5 1990 23.44 41.06 0.0 9.86
23 5 1990 24.95 40.3 0.0 9.61
24 5 1990 28.33 39.95 0.0 9.12
25 5 1990 28.22 41.48 0.0 9.86
26 5 1990 27.48 41.87 0.0 10.58
27 5 1990 26.47 39.82 0.0 10.94
28 5 1990 24.73 38.56 0.09 9.69
29 5 1990 24.62 39.83 2.13 8.64
30 5 1990 26.35 38.6 0.09 6.62
31 5 1990 26.19 35.58 14.76 5.62
1 6 1990 25.12 30.99 2.6 5.81
2 6 1990 23.75 34.36 0.44 5.34
3 6 1990 23.96 37.15 0.03 8.65
4 6 1990 23.73 38.34 0.0 8.37
5 6 1990 23.54 38.33 0.01 9.52
6 6 1990 23.68 37.06 0.0 8.77
7 6 1990 24.01 38.25 0.03 9.13
8 6 1990 25.12 39.29 0.03 8.65
9 6 1990 24.59 38.27 1.29 8.73
10 6 1990 24.76 38.99 0.01 9.33
11 6 1990 24.99 39.18 0.15 8.79
12 6 1990 26.16 38.12 0.35 7.97
13 6 1990 25.11 38.86 1.45 9.17
14 6 1990 25.8 38.4 0.96 7.74
15 6 1990 25.95 40.55 0.0 8.3
16 6 1990 27.77 40.63 0.15 9.98
17 6 1990 25.67 41.66 0.0 9.76
18 6 1990 26.84 41.8 0.19 10.93
19 6 1990 25.65 41.88 1.62 10.56
20 6 1990 25.87 40.36 1.97 9.42
21 6 1990 25.95 38.9 4.69 9.0
22 6 1990 24.21 37.26 0.41 8.8
23 6 1990 24.72 37.77 0.08 9.27
24 6 1990 24.5 37.54 0.23 8.7
25 6 1990 25.23 38.55 0.02 8.75
26 6 1990 26.41 38.76 0.01 7.8
27 6 1990 26.67 41.26 0.0 8.96
28 6 1990 26.48 37.55 0.31 6.34
29 6 1990 27.1 35.66 0.45 5.48
30 6 1990 25.02 30.69 17.96 4.2
1 7 1990 24.0 34.38 5.67 4.47
2 7 1990 24.98 33.13 3.21 5.19
3 7 1990 24.2 30.26 9.22 2.5
4 7 1990 24.28 32.41 22.01 3.58
5 7 1990 24.17 28.54 11.87 2.14
6 7 1990 23.37 29.19 6.47 2.84
7 7 1990 22.55 32.3 4.26 3.62
8 7 1990 23.06 33.53 0.56 5.51
9 7 1990 23.19 30.87 0.14 5.79
10 7 1990 23.27 33.37 0.08 5.18
11 7 1990 23.35 33.9 0.07 6.27
12 7 1990 23.15 34.09 0.03 6.29
13 7 1990 22.93 34.64 5.21 6.24
14 7 1990 22.55 34.53 0.6 6.07
15 7 1990 23.65 33.65 0.0 5.41
16 7 1990 23.32 32.03 3.57 3.81
17 7 1990 23.09 31.63 3.46 4.51
18 7 1990 22.87 33.12 1.52 5.99
19 7 1990 23.17 33.59 0.57 6.2
20 7 1990 23.1 34.2 0.92 5.76
21 7 1990 22.45 35.06 0.31 5.77
22 7 1990 22.92 35.26 0.02 5.73
23 7 1990 23.28 34.94 0.01 5.7
24 7 1990 24.03 34.87 2.39 5.34
25 7 1990 23.43 32.15 0.89 5.61
26 7 1990 22.91 31.92 16.29 5.07
27 7 1990 22.6 33.98 3.75 6.04
28 7 1990 22.94 34.08 0.01 5.38
29 7 1990 22.67 34.03 0.04 6.23
30 7 1990 22.63 34.4 0.03 5.26
31 7 1990 22.94 33.75 0.06 5.74
1 8 1990 22.77 34.11 0.07 5.84
2 8 1990 23.39 33.88 4.51 3.96
3 8 1990 22.35 31.1 9.42 2.44
4 8 1990 23.04 31.3 3.29 3.51
5 8 1990 23.35 28.6 21.53 1.88
6 8 1990 22.24 29.8 38.43 3.79
7 8 1990 22.08 31.18 9.16 4.64
8 8 1990 22.78 31.17 2.81 4.54
9 8 1990 23.17 30.95 2.84 2.85
10 8 1990 23.22 31.77 8.01 3.68
11 8 1990 23.49 31.57 7.51 4.63
12 8 1990 23.2 31.21 0.63 5.28
13 8 1990 22.07 31.15 0.26 4.32
14 8 1990 22.33 32.41 0.14 4.22
15 8 1990 22.86 32.3 0.75 4.9
16 8 1990 23.01 32.06 0.43 5.17
17 8 1990 24.17 30.46 3.68 4.21
18 8 1990 23.48 30.4 12.87 3.95
19 8 1990 23.62 33.19 1.94 4.63
20 8 1990 24.46 30.98 0.83 4.13
21 8 1990 24.07 29.94 25.14 3.59
22 8 1990 23.08 29.89 2.56 4.12
23 8 1990 23.32 28.16 20.0 3.8
24 8 1990 23.52 28.87 13.33 3.9
25 8 1990 22.44 29.85 15.73 3.56
26 8 1990 22.45 29.62 3.75 3.28
27 8 1990 22.19 30.15 3.01 2.23
28 8 1990 22.73 30.84 4.5 3.09
29 8 1990 22.78 30.05 0.86 4.28
30 8 1990 22.59 29.71 4.35 2.43
31 8 1990 22.58 29.04 8.75 2.72
1 9 1990 23.04 30.34 13.33 3.16
2 9 1990 22.83 27.86 6.14 3.51
3 9 1990 21.66 29.06 1.61 3.46
4 9 1990 21.79 29.73 0.9 4.13
5 9 1990 21.21 31.04 0.45 3.83
6 9 1990 22.9 29.64 5.52 4.37
7 9 1990 22.78 26.76 11.38 3.1
8 9 1990 22.66 28.8 6.89 4.01
9 9 1990 22.42 28.92 2.43 4.18
10 9 1990 22.31 29.72 2.33 4.09
11 9 1990 21.83 30.08 0.29 4.23
12 9 1990 20.37 30.08 0.01 4.24
13 9 1990 20.24 29.76 0.05 4.2
14 9 1990 19.73 31.3 0.5 4.21
15 9 1990 20.98 30.29 0.92 4.37
16 9 1990 20.86 27.6 7.65 4.11
17 9 1990 19.88 29.73 1.76 4.29
18 9 1990 19.45 28.97 0.38 3.92
19 9 1990 19.4 27.6 0.1 3.69
20 9 1990 19.8 28.29 2.22 2.17
21 9 1990 21.23 29.06 18.08 4.18
22 9 1990 21.4 30.37 3.39 4.29
23 9 1990 21.3 30.8 1.45 4.21
24 9 1990 20.87 30.93 2.3 4.11
25 9 1990 21.3 31.55 0.2 3.88
26 9 1990 21.62 31.64 2.03 4.17
27 9 1990 20.98 30.42 9.41 4.06
28 9 1990 21.17 30.48 1.99 4.18
29 9 1990 21.41 30.22 0.86 3.89
30 9 1990 19.72 30.19 0.56 3.34
1 10 1990 21.01 29.36 2.14 3.57
2 10 1990 20.26 30.39 2.68 4.16
3 10 1990 19.01 31.19 0.3 4.32
4 10 1990 19.28 31.97 0.1 4.62
5 10 1990 18.27 32.47 0.01 4.96
6 10 1990 16.63 32.58 0.0 4.99
7 10 1990 17.56 32.55 0.0 4.95
8 10 1990 17.85 32.97 0.0 5.03
9 10 1990 19.65 33.45 0.01 4.36
10 10 1990 20.98 33.93 0.05 4.12
11 10 1990 18.49 33.7 0.0 4.22
12 10 1990 19.3 32.67 0.0 4.27
13 10 1990 20.31 32.08 0.0 4.25
14 10 1990 18.06 33.26 0.0 4.71
15 10 1990 17.32 33.15 0.0 4.78
16 10 1990 16.92 34.16 0.0 5.1
17 10 1990 17.65 33.54 0.0 5.82
18 10 1990 17.07 32.8 0.0 4.91
19 10 1990 16.1 31.83 0.0 4.34
20 10 1990 17.25 31.8 0.0 3.72
21 10 1990 12.95 31.36 0.0 4.0
22 10 1990 14.97 30.45 0.0 3.87
23 10 1990 17.84 30.37 0.0 3.42
24 10 1990 18.33 30.58 0.0 3.6
25 10 1990 17.19 30.33 0.0 3.75
26 10 1990 17.94 31.25 0.0 3.9
27 10 1990 15.42 30.89 0.01 4.31
28 10 1990 16.38 31.55 0.0 4.04
29 10 1990 14.45 31.37 0.0 3.69
30 10 1990 15.76 31.68 0.0 3.29
