Day Month Year Tmin(C) Tmax(C) Prcp(mm) Et0(mm)
1 1 1990 6.43 22.05 0.0 2.94
2 1 1990 7.57 22.26 0.0 2.99
3 1 1990 7.56 23.0 0.0 3.66
4 1 1990 7.65 24.48 0.0 3.21
5 1 1990 7.83 24.19 0.0 3.08
6 1 1990 8.42 24.67 0.0 3.46
7 1 1990 7.8 23.83 0.0 2.98
8 1 1990 7.26 21.65 0.0 2.92
9 1 1990 6.16 21.62 0.0 2.83
10 1 1990 7.83 24.51 0.0 3.1
11 1 1990 9.16 26.08 0.0 3.43
12 1 1990 13.9 27.94 0.0 3.06
13 1 1990 11.59 27.73 0.0 4.18
14 1 1990 10.61 26.42 0.0 3.66
15 1 1990 8.01 24.44 0.0 3.76
16 1 1990 11.98 26.73 0.0 3.26
17 1 1990 12.41 29.0 0.0 4.0
18 1 1990 11.38 29.69 0.0 3.89
19 1 1990 10.04 26.4 0.0 4.06
20 1 1990 11.54 27.26 0.0 4.46
21 1 1990 15.02 27.65 0.0 3.29
22 1 1990 15.17 28.56 0.0 3.72
23 1 1990 11.23 27.35 0.0 4.02
24 1 1990 12.5 27.25 0.0 4.21
25 1 1990 14.96 30.0 0.0 3.98
26 1 1990 13.19 30.2 0.0 5.01
27 1 1990 11.51 28.48 0.0 6.3
28 1 1990 9.83 25.69 0.0 4.4
29 1 1990 8.37 22.4 0.0 4.07
30 1 1990 7.96 22.06 0.0 3.54
31 1 1990 10.89 26.5 0.0 4.15
1 2 1990 8.77 25.06 0.0 3.66
2 2 1990 6.76 22.75 0.0 3.85
3 2 1990 8.82 24.33 0.0 3.47
4 2 1990 9.14 25.37 0.0 4.27
5 2 1990 12.46 27.99 0.0 3.8
6 2 1990 14.52 28.89 0.0 4.21
7 2 1990 16.15 27.01 0.0 4.79
8 2 1990 15.92 29.04 0.14 3.42
9 2 1990 14.51 29.26 0.0 3.56
10 2 1990 14.37 28.4 0.14 4.1
11 2 1990 13.16 28.21 0.01 4.9
12 2 1990 13.9 28.08 0.84 3.8
13 2 1990 12.54 21.98 6.27 2.33
