Day Month Year Tmin(C) Tmax(C) Prcp(mm) Et0(mm)
1 1 1990 6.54 24.85 0.01 3.14
2 1 1990 6.29 24.41 0.0 3.34
3 1 1990 6.44 25.37 0.0 3.51
4 1 1990 8.01 27.31 0.0 3.28
5 1 1990 8.14 26.01 0.0 3.78
6 1 1990 8.98 28.59 0.0 3.65
7 1 1990 8.69 27.37 0.0 3.83
8 1 1990 7.55 25.79 0.04 3.24
9 1 1990 6.68 25.87 0.0 3.22
10 1 1990 7.28 27.14 0.0 3.34
11 1 1990 9.01 28.86 0.0 3.61
12 1 1990 11.58 30.7 0.0 3.11
13 1 1990 12.68 31.01 0.0 3.93
14 1 1990 10.58 30.06 0.0 4.04
15 1 1990 8.83 27.36 0.0 3.86
16 1 1990 9.87 28.5 0.0 2.79
17 1 1990 13.3 31.06 0.0 3.07
18 1 1990 12.92 31.81 0.0 3.7
19 1 1990 9.76 30.8 0.0 4.76
20 1 1990 12.22 31.07 0.0 4.9
21 1 1990 12.78 31.08 0.0 3.55
22 1 1990 12.86 31.52 0.0 3.55
23 1 1990 12.4 31.52 0.0 4.28
24 1 1990 11.98 30.65 0.0 4.52
25 1 1990 13.44 32.05 0.0 3.96
26 1 1990 13.44 32.41 0.0 4.11
27 1 1990 14.6 32.34 0.0 5.67
28 1 1990 10.91 30.03 0.0 4.62
29 1 1990 8.97 26.46 0.0 4.19
30 1 1990 9.17 28.51 0.0 4.12
31 1 1990 10.5 29.87 0.0 4.31
1 2 1990 9.91 28.46 0.0 4.23
2 2 1990 8.57 26.86 0.0 4.31
3 2 1990 7.55 28.09 0.0 3.6
4 2 1990 8.9 28.65 0.0 4.15
5 2 1990 12.18 30.16 0.0 3.46
6 2 1990 15.12 30.7 0.0 3.43
7 2 1990 14.63 31.51 0.0 4.13
8 2 1990 14.44 32.15 0.0 4.19
9 2 1990 18.39 31.62 0.0 3.46
10 2 1990 16.42 30.62 0.57 3.91
11 2 1990 14.03 30.87 0.0 3.7
12 2 1990 18.69 31.44 0.32 4.09
13 2 1990 15.36 25.32 5.77 2.47
14 2 1990 11.65 26.63 0.33 3.21
15 2 1990 9.73 25.9 0.64 3.82
16 2 1990 7.99 25.66 0.14 3.46
17 2 1990 9.28 29.33 0.0 5.08
18 2 1990 10.31 24.39 0.31 3.76
19 2 1990 8.7 23.73 5.38 2.8
20 2 1990 10.51 25.05 0.01 3.51
21 2 1990 10.75 27.35 0.0 3.81
22 2 1990 10.15 27.92 0.0 3.73
23 2 1990 15.58 29.38 0.03 3.46
24 2 1990 13.4 29.87 0.51 3.34
25 2 1990 14.33 28.89 0.99 4.4
26 2 1990 12.87 28.76 4.86 4.11
27 2 1990 14.65 20.05 0.89 1.69
28 2 1990 13.17 26.13 15.23 3.27
1 3 1990 11.36 26.79 0.2 3.92
2 3 1990 8.96 25.12 0.0 4.57
3 3 1990 8.76 27.08 0.0 3.98
4 3 1990 11.29 28.7 0.0 4.08
5 3 1990 9.19 28.98 0.0 4.63
6 3 1990 9.93 29.01 0.0 4.96
7 3 1990 9.52 29.26 0.0 4.36
8 3 1990 13.73 31.69 0.0 4.28
9 3 1990 14.14 32.78 0.0 4.63
10 3 1990 15.37 34.58 0.0 5.2
11 3 1990 15.46 34.96 0.0 5.51
12 3 1990 14.13 32.01 0.0 5.67
13 3 1990 12.87 32.8 0.0 5.15
14 3 1990 13.78 35.25 0.0 5.32
15 3 1990 15.61 36.83 0.0 5.41
16 3 1990 15.08 37.3 0.0 5.57
17 3 1990 17.38 37.26 0.0 6.05
18 3 1990 16.84 38.0 0.0 5.81
19 3 1990 18.82 39.05 0.0 7.45
20 3 1990 17.42 37.52 0.0 8.14
21 3 1990 20.13 36.5 0.0 8.47
22 3 1990 21.51 33.16 0.0 8.21
23 3 1990 14.68 31.66 0.0 7.45
24 3 1990 12.18 31.12 0.0 5.02
25 3 1990 12.9 32.76 0.0 5.73
26 3 1990 15.16 33.87 0.0 5.72
27 3 1990 17.79 27.49 0.0 4.84
28 3 1990 14.21 31.79 0.0 5.84
29 3 1990 18.07 34.12 0.01 6.21
30 3 1990 16.02 34.03 0.0 7.86
31 3 1990 16.58 31.94 0.0 7.07
1 4 1990 15.8 33.41 0.0 7.19
2 4 1990 16.85 32.63 0.0 8.01
3 4 1990 16.18 35.03 0.0 6.85
4 4 1990 17.24 36.4 0.0 5.11
5 4 1990 18.39 38.72 0.0 7.03
6 4 1990 18.22 39.55 0.0 9.44
7 4 1990 20.74 38.92 0.27 6.76
8 4 1990 19.26 38.51 1.0 8.9
9 4 1990 19.38 37.47 0.04 7.95
10 4 1990 20.02 39.5 0.0 8.19
11 4 1990 20.62 40.48 0.0 7.88
12 4 1990 22.24 39.07 0.0 9.53
13 4 1990 23.81 38.97 0.0 9.81
14 4 1990 19.41 38.12 0.0 8.28
15 4 1990 19.73 39.86 0.0 7.09
16 4 1990 23.32 42.04 0.0 7.11
17 4 1990 22.41 42.12 0.0 9.06
18 4 1990 23.73 41.83 0.0 11.69
19 4 1990 24.52 41.91 0.0 11.19
20 4 1990 23.37 42.84 0.0 10.63
21 4 1990 24.74 42.09 0.0 9.79
22 4 1990 23.88 41.87 0.0 9.18
23 4 1990 24.25 42.69 0.0 9.8
24 4 1990 23.77 43.14 0.01 10.37
25 4 1990 25.14 43.81 0.0 9.14
