Day Month Year Tmin(C) Tmax(C) Prcp(mm) Et0(mm)
1 1 1990 6.23 24.51 0.0 3.04
2 1 1990 5.79 23.96 0.0 3.27
3 1 1990 6.05 24.98 0.0 3.59
4 1 1990 7.42 26.76 0.0 3.14
5 1 1990 7.33 25.58 0.0 3.66
6 1 1990 8.55 28.12 0.0 3.61
7 1 1990 7.97 26.63 0.0 3.53
8 1 1990 7.2 25.66 0.01 3.12
9 1 1990 6.58 25.75 0.0 3.21
10 1 1990 7.29 27.11 0.0 3.22
11 1 1990 8.96 28.64 0.0 3.6
12 1 1990 11.88 30.59 0.0 2.94
13 1 1990 13.79 31.0 0.0 4.27
14 1 1990 11.36 29.76 0.0 4.2
15 1 1990 8.6 27.22 0.0 3.85
16 1 1990 10.15 28.28 0.0 2.76
17 1 1990 13.87 30.75 0.0 2.93
18 1 1990 12.05 31.61 0.0 3.74
19 1 1990 9.76 30.3 0.0 4.58
20 1 1990 12.25 30.46 0.0 4.88
21 1 1990 13.06 31.08 0.0 3.63
22 1 1990 12.62 31.27 0.0 3.55
23 1 1990 12.4 31.31 0.0 4.3
24 1 1990 11.92 30.8 0.0 4.53
25 1 1990 13.52 32.07 0.0 3.76
26 1 1990 14.73 32.51 0.0 3.86
27 1 1990 13.39 32.22 0.0 6.21
28 1 1990 10.23 29.47 0.0 4.64
29 1 1990 9.25 26.04 0.0 4.27
30 1 1990 8.99 28.2 0.0 4.04
31 1 1990 10.21 29.9 0.0 4.46
1 2 1990 10.0 27.93 0.0 4.39
2 2 1990 8.51 26.46 0.0 4.35
3 2 1990 7.37 27.9 0.0 3.47
4 2 1990 8.83 28.36 0.0 4.13
5 2 1990 12.48 30.01 0.0 3.38
6 2 1990 15.26 30.31 0.0 3.7
7 2 1990 14.71 30.71 0.0 4.05
8 2 1990 15.12 32.09 0.0 4.07
9 2 1990 15.86 31.2 0.0 3.64
10 2 1990 15.9 29.87 0.12 4.07
11 2 1990 13.33 30.41 0.0 4.06
12 2 1990 17.87 31.65 0.55 3.54
13 2 1990 14.99 24.1 4.32 2.54
14 2 1990 11.1 26.62 0.02 3.31
15 2 1990 9.58 25.8 0.76 3.88
16 2 1990 8.17 25.55 0.03 3.61
17 2 1990 8.87 28.64 0.0 5.51
18 2 1990 9.76 24.39 0.0 3.81
19 2 1990 8.78 23.58 5.31 2.78
20 2 1990 10.15 24.86 0.0 3.51
21 2 1990 10.92 27.12 0.0 3.71
22 2 1990 10.23 27.92 0.0 3.81
23 2 1990 15.9 29.01 0.15 3.8
24 2 1990 13.72 29.6 1.06 3.89
25 2 1990 13.35 28.26 1.06 4.45
26 2 1990 12.35 28.28 5.14 4.02
27 2 1990 14.44 19.57 0.62 1.73
28 2 1990 12.05 26.02 13.63 2.97
1 3 1990 10.84 26.44 0.34 3.99
2 3 1990 8.71 24.86 0.0 4.58
3 3 1990 9.15 26.87 0.0 4.01
4 3 1990 11.16 28.28 0.0 4.02
5 3 1990 8.53 28.23 0.0 4.16
6 3 1990 9.69 28.54 0.0 5.1
7 3 1990 9.32 28.74 0.0 4.24
8 3 1990 12.89 31.61 0.0 4.02
9 3 1990 13.73 32.64 0.0 4.54
10 3 1990 16.05 34.31 0.0 4.65
11 3 1990 15.58 34.8 0.0 5.5
12 3 1990 13.55 31.95 0.0 6.12
13 3 1990 12.52 32.75 0.0 5.55
14 3 1990 14.85 35.35 0.0 5.06
15 3 1990 17.34 36.98 0.0 4.35
16 3 1990 18.14 37.4 0.0 4.77
17 3 1990 18.95 36.91 0.0 5.38
18 3 1990 17.83 37.84 0.0 5.89
19 3 1990 17.65 38.75 0.0 7.9
20 3 1990 18.73 37.07 0.0 8.71
21 3 1990 20.44 36.09 0.0 8.73
22 3 1990 20.32 32.37 0.0 8.18
23 3 1990 13.44 30.94 0.0 7.34
24 3 1990 11.8 30.87 0.0 4.83
25 3 1990 14.67 32.29 0.0 5.18
26 3 1990 15.07 32.84 0.0 5.98
27 3 1990 17.02 27.19 0.0 4.63
28 3 1990 14.02 31.37 0.0 5.76
29 3 1990 18.08 34.35 0.02 7.33
30 3 1990 16.6 33.28 0.0 7.92
31 3 1990 15.94 31.58 0.0 6.61
1 4 1990 15.48 33.3 0.0 6.99
2 4 1990 17.35 32.55 0.03 7.77
3 4 1990 16.76 34.98 0.0 6.63
4 4 1990 17.2 36.3 0.02 4.96
5 4 1990 17.97 38.45 0.0 6.77
6 4 1990 16.83 39.19 0.0 8.48
7 4 1990 20.3 38.52 0.05 7.24
8 4 1990 20.04 37.97 1.36 9.27
9 4 1990 18.99 37.19 0.0 7.8
10 4 1990 19.82 39.42 0.0 8.06
11 4 1990 20.99 40.19 0.0 8.76
12 4 1990 22.33 37.99 0.0 9.27
13 4 1990 23.34 38.33 0.0 9.94
14 4 1990 19.01 37.9 0.0 8.03
15 4 1990 19.68 39.81 0.0 6.84
16 4 1990 23.71 41.51 0.0 6.62
17 4 1990 23.3 41.62 0.0 9.97
18 4 1990 23.72 41.4 0.0 11.82
19 4 1990 24.52 41.58 0.0 11.36
20 4 1990 23.98 42.44 0.0 11.1
21 4 1990 24.44 41.9 0.0 10.13
22 4 1990 24.66 41.45 0.0 9.77
23 4 1990 24.75 42.21 0.0 9.86
24 4 1990 24.55 42.51 0.0 10.77
25 4 1990 25.17 43.3 0.0 9.69
26 4 1990 26.55 43.38 0.0 11.82
27 4 1990 26.44 43.01 0.0 10.62
28 4 1990 26.23 43.0 0.0 11.79
29 4 1990 21.78 42.79 0.0 7.46
30 4 1990 24.76 43.09 0.0 7.34
1 5 1990 24.26 40.64 0.0 6.74
2 5 1990 25.9 42.28 0.0 9.44
3 5 1990 25.32 41.96 0.38 8.98
4 5 1990 25.76 41.61 0.06 7.56
5 5 1990 26.5 42.54 5.54 5.29
6 5 1990 25.77 40.0 0.01 6.6
7 5 1990 25.65 40.9 0.2 8.89
8 5 1990 27.4 41.71 0.0 8.33
9 5 1990 26.56 42.26 0.0 9.64
10 5 1990 27.42 43.55 0.0 10.12
11 5 1990 29.74 44.2 0.0 9.24
12 5 1990 29.13 42.31 0.0 9.59
13 5 1990 29.01 42.36 0.0 8.04
14 5 1990 29.68 44.33 0.0 10.82
15 5 1990 31.89 43.89 0.1 13.81
16 5 1990 29.51 44.33 0.07 13.64
17 5 1990 29.63 44.52 0.0 12.62
18 5 1990 29.31 44.08 0.0 11.74
19 5 1990 28.64 42.94 0.0 12.44
20 5 1990 28.64 42.53 0.07 12.73
21 5 1990 28.34 42.75 0.0 12.02
22 5 1990 28.01 43.37 0.0 12.23
23 5 1990 28.08 43.48 0.0 11.66
24 5 1990 29.87 45.19 0.0 11.38
25 5 1990 30.69 45.05 0.0 11.74
26 5 1990 32.32 45.26 0.0 12.51
27 5 1990 31.05 44.57 0.0 14.06
28 5 1990 29.76 43.12 0.12 11.93
29 5 1990 30.29 43.97 2.12 9.77
30 5 1990 30.62 41.48 0.03 8.02
31 5 1990 30.78 40.24 5.35 7.61
1 6 1990 29.55 38.55 0.74 8.58
2 6 1990 28.11 40.15 0.13 10.11
3 6 1990 29.57 41.2 0.0 10.47
4 6 1990 29.03 40.94 0.0 9.85
5 6 1990 28.02 43.03 0.0 11.47
6 6 1990 28.65 41.87 0.0 11.31
7 6 1990 28.89 42.16 0.0 9.88
8 6 1990 30.12 43.11 0.16 10.41
9 6 1990 29.01 41.4 4.72 9.36
10 6 1990 29.67 42.02 0.02 10.73
11 6 1990 28.62 42.05 0.23 10.56
12 6 1990 27.9 41.15 0.46 9.0
