Day Month Year Tmin(C) Tmax(C) Prcp(mm) Et0(mm)
1 1 1990 8.23 25.21 0.02 3.39
2 1 1990 7.98 25.12 0.0 4.0
3 1 1990 8.74 26.09 0.0 4.12
4 1 1990 9.57 27.68 0.0 3.96
5 1 1990 10.76 27.62 0.0 4.23
6 1 1990 11.08 29.42 0.0 4.7
7 1 1990 10.37 28.69 0.0 3.98
8 1 1990 9.5 28.23 0.14 3.79
9 1 1990 8.55 28.18 0.0 3.84
10 1 1990 8.41 28.69 0.0 3.69
11 1 1990 10.8 30.15 0.0 3.75
12 1 1990 12.07 31.5 0.0 3.8
13 1 1990 14.46 30.8 0.0 5.14
14 1 1990 12.78 29.78 0.0 4.44
15 1 1990 10.07 28.17 0.0 3.79
16 1 1990 9.92 29.41 0.0 3.73
17 1 1990 10.71 30.25 0.0 4.29
18 1 1990 12.01 31.25 0.0 4.6
19 1 1990 11.92 30.76 0.0 4.55
20 1 1990 11.53 30.8 0.0 4.62
21 1 1990 13.87 31.27 0.0 4.11
22 1 1990 13.81 31.99 0.0 4.29
23 1 1990 14.01 32.36 0.0 4.34
24 1 1990 13.71 32.06 0.0 4.9
25 1 1990 12.94 32.17 0.0 4.91
26 1 1990 14.92 32.37 0.0 5.42
27 1 1990 14.41 31.06 0.0 5.95
28 1 1990 14.33 30.22 0.0 5.38
29 1 1990 11.87 29.79 0.0 5.3
30 1 1990 11.45 30.12 0.0 4.86
31 1 1990 14.35 29.94 0.0 5.51
1 2 1990 10.8 27.08 0.0 4.39
2 2 1990 9.83 26.96 0.0 4.57
3 2 1990 8.87 28.58 0.0 5.23
4 2 1990 10.03 29.89 0.0 4.92
5 2 1990 12.58 30.8 0.0 4.21
6 2 1990 14.48 32.01 0.0 4.29
7 2 1990 15.64 30.58 0.0 4.55
8 2 1990 19.41 30.11 0.0 4.08
9 2 1990 16.31 28.95 0.0 3.51
10 2 1990 16.61 29.46 0.49 3.92
11 2 1990 15.75 30.91 0.48 4.97
12 2 1990 19.34 31.51 0.04 4.29
13 2 1990 14.45 24.41 1.91 3.76
14 2 1990 11.0 26.96 0.0 4.11
15 2 1990 9.69 26.77 0.32 4.41
16 2 1990 9.23 26.59 0.0 4.4
17 2 1990 9.22 27.01 0.01 6.05
18 2 1990 7.93 24.72 0.0 4.59
19 2 1990 8.67 25.08 2.16 4.34
20 2 1990 9.4 26.03 0.0 4.14
21 2 1990 10.3 27.34 0.0 4.26
22 2 1990 11.48 28.23 0.0 4.66
23 2 1990 14.99 27.76 0.31 4.44
24 2 1990 13.75 27.72 3.09 4.74
25 2 1990 12.19 27.08 1.92 4.9
26 2 1990 11.82 28.47 0.1 4.96
27 2 1990 14.4 24.61 0.13 2.84
28 2 1990 11.46 26.69 0.06 4.73
1 3 1990 10.15 26.32 3.97 4.82
2 3 1990 9.39 25.4 0.0 4.87
3 3 1990 8.92 27.84 0.0 4.53
4 3 1990 9.14 29.12 0.0 5.28
5 3 1990 10.84 28.86 0.0 5.56
6 3 1990 12.57 29.18 0.0 6.35
7 3 1990 11.55 30.62 0.0 5.54
8 3 1990 12.33 32.3 0.0 5.49
9 3 1990 14.27 32.83 0.0 5.52
10 3 1990 15.75 33.45 0.0 6.15
11 3 1990 15.35 34.58 0.0 6.87
12 3 1990 15.19 32.81 0.0 7.36
13 3 1990 13.26 33.36 0.0 6.08
14 3 1990 17.23 35.56 0.0 5.7
15 3 1990 17.48 36.19 0.0 5.88
16 3 1990 18.62 36.5 0.0 6.04
17 3 1990 18.72 35.83 0.0 6.68
18 3 1990 19.05 37.58 0.0 7.5
19 3 1990 18.99 36.83 0.0 9.03
20 3 1990 19.37 32.9 0.0 8.04
21 3 1990 19.29 33.19 0.0 8.73
22 3 1990 18.11 30.87 0.0 7.98
23 3 1990 13.92 29.88 0.0 8.56
24 3 1990 11.39 30.68 0.0 6.24
25 3 1990 12.4 32.07 0.0 6.0
26 3 1990 17.06 29.76 0.0 6.02
27 3 1990 19.12 29.28 0.0 6.06
28 3 1990 18.24 30.88 0.01 5.63
29 3 1990 16.57 32.03 0.0 7.65
30 3 1990 16.13 32.39 0.0 6.87
31 3 1990 15.66 31.82 0.0 6.59
1 4 1990 16.22 33.46 0.0 7.62
2 4 1990 17.4 33.13 0.01 7.83
3 4 1990 18.33 35.09 0.0 7.16
4 4 1990 17.46 36.55 0.01 6.88
5 4 1990 19.28 37.89 0.0 5.82
6 4 1990 19.62 37.51 0.0 8.09
7 4 1990 20.37 37.58 0.01 8.35
8 4 1990 19.88 36.44 0.12 9.31
9 4 1990 18.57 36.63 0.0 6.68
10 4 1990 19.12 37.82 0.0 8.07
11 4 1990 20.66 38.47 0.0 8.72
12 4 1990 21.63 36.4 0.0 8.99
13 4 1990 22.18 37.33 0.0 8.71
14 4 1990 20.24 38.14 0.0 8.14
15 4 1990 22.07 39.15 0.0 7.8
16 4 1990 21.07 39.52 0.0 8.24
17 4 1990 21.32 40.23 0.0 8.92
18 4 1990 22.33 39.76 0.0 10.84
19 4 1990 22.38 40.08 0.0 10.6
20 4 1990 22.49 39.56 0.0 11.19
21 4 1990 19.69 38.8 0.0 9.82
22 4 1990 20.57 38.48 0.0 9.07
23 4 1990 21.87 39.71 0.0 8.85
24 4 1990 23.49 40.56 0.0 8.95
25 4 1990 22.84 40.75 0.0 8.84
